osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,junction,geometry,access
224223994,2,A1085,Corporation Road,primary,30 mph,False,True,33.039,,"LINESTRING (-1.0681401 54.614039, -1.068651 54.6140115)",
4686710,,A1085,,primary,,True,False,21.298,roundabout,"LINESTRING (-1.0681401 54.614039, -1.0681417 54.6140709, -1.0681271 54.6141017, -1.0680974 54.6141286, -1.0680554 54.6141493, -1.0680047 54.6141618, -1.0679499 54.6141652)",
4686710,,A1085,,primary,,True,False,17.209999999999997,roundabout,"LINESTRING (-1.0679499 54.6141652, -1.0678974 54.6141594, -1.0678499 54.6141452, -1.0678115 54.6141237, -1.0677853 54.6140967, -1.0677734 54.6140665)",
"[56640592, 446860417, 446860418]",2,,West Dyke Road,unclassified,30 mph,False,True,95.71,,"LINESTRING (-1.0679499 54.6141652, -1.0679529 54.6143988, -1.067983 54.6146376, -1.0680418 54.6150238)",
4686710,,A1085,,primary,,True,False,16.052,roundabout,"LINESTRING (-1.0677734 54.6140665, -1.0677791 54.6140306, -1.067805 54.6139977, -1.0678483 54.6139718, -1.067904 54.6139556)",
26374833,2,A1085,Thrush Road,primary,30 mph,False,False,128.532,,"LINESTRING (-1.0677734 54.6140665, -1.0675878 54.6140786, -1.0669788 54.6140739, -1.0666488 54.6140706, -1.0664222 54.6140442, -1.0662143 54.6140163, -1.0659353 54.6139736, -1.0657999 54.6139611)",
4686710,,A1085,,primary,,True,False,20.019,roundabout,"LINESTRING (-1.067904 54.6139556, -1.0679657 54.613951, -1.0680265 54.6139585, -1.0680795 54.6139773, -1.0681189 54.6140051, -1.0681401 54.614039)",
26374833,2,A1085,Thrush Road,primary,30 mph,False,True,6.844,,"LINESTRING (-1.0631026 54.6144821, -1.0632001 54.6144576)",
64722636,,,,unclassified,,False,True,27.979,,"LINESTRING (-1.0631026 54.6144821, -1.0631602 54.6147315)",
26374833,2,A1085,Thrush Road,primary,30 mph,False,False,38.623000000000005,,"LINESTRING (-1.0631026 54.6144821, -1.0629621 54.6144993, -1.0625082 54.6145259)",
50651643,,,Newcomen Terrace,tertiary,30 mph,False,False,100.376,,"LINESTRING (-1.0752167 54.6194379, -1.0755945 54.6185621)",
308379180,,,Newcomen Terrace,tertiary,30 mph,False,True,97.26200000000001,,"LINESTRING (-1.0752167 54.6194379, -1.0751365 54.6196296, -1.075064 54.6197782, -1.0749924 54.6198928, -1.074921 54.61998, -1.0748199 54.620071, -1.0746066 54.6202238)",
26654481,,,Turner Street,residential,,False,False,45.811,,"LINESTRING (-1.0718109 54.6205866, -1.0717159 54.6201783)",
308379180,,,Newcomen Terrace,tertiary,30 mph,False,False,96.411,,"LINESTRING (-1.0718109 54.6205866, -1.0723137 54.6206551, -1.0726051 54.6206851, -1.072859 54.6206934, -1.0729645 54.6206919, -1.0730807 54.6206874, -1.0732863 54.6206666)",
520768279,,,Newcomen Terrace,tertiary,20 mph,False,True,102.49000000000001,,"LINESTRING (-1.0718109 54.6205866, -1.0710386 54.620478, -1.0705089 54.6203984, -1.070275 54.6203474)",
98868505,,,Lobster Road,tertiary,30 mph,False,True,40.691,,"LINESTRING (-1.0759143 54.6173022, -1.0758799 54.6176676)",
171271857,2,,Coatham Road,unclassified,30 mph,False,False,60.152,,"LINESTRING (-1.0759143 54.6173022, -1.0749925 54.6173902)",
64682591,,,Peirson Street,residential,,False,False,62.748,,"LINESTRING (-1.0758799 54.6176676, -1.0749113 54.61773)",
98868505,,,Lobster Road,tertiary,30 mph,False,False,40.691,,"LINESTRING (-1.0758799 54.6176676, -1.0759143 54.6173022)",
98868505,,,Lobster Road,tertiary,30 mph,False,True,17.48,,"LINESTRING (-1.0758799 54.6176676, -1.075863 54.6178245)",
50826982,,,Moore Street,tertiary,,False,True,87.845,,"LINESTRING (-1.0638853 54.6179147, -1.0636541 54.6182954, -1.063427 54.6186588)",
227136419,2,,High Street,unclassified,30 mph,False,True,127.04899999999999,,"LINESTRING (-1.0638853 54.6179147, -1.063349 54.6177962, -1.0628984 54.6177135, -1.0624093 54.6176306, -1.0622259 54.6176056, -1.0620036 54.6175749)",
497525043,,,,unclassified,,False,False,56.95700000000001,,"LINESTRING (-1.0638853 54.6179147, -1.0640161 54.6178232, -1.0641641 54.617608, -1.0643155 54.617472)",no
