osmid,ref,name,highway,oneway,reversed,length,lanes,maxspeed,access,geometry,bridge,tunnel
68032794,A388,St Thomas Road,primary,False,True,43.649,,,,"LINESTRING (-4.3644738 50.6409807, -4.3641413 50.6406496)",,
179708578,A388,Dockacre Road,primary,False,False,107.152,2,30 mph,yes,"LINESTRING (-4.3587656 50.6371081, -4.3587889 50.6371415, -4.3587663 50.6372175, -4.3587098 50.6373337, -4.3586801 50.637443, -4.3586442 50.6376233, -4.3586423 50.637746, -4.3586759 50.6378082, -4.3588659 50.6380239)",,
189843300,A388,Tavistock Road,primary,False,True,152.171,2,30 mph,yes,"LINESTRING (-4.3587656 50.6371081, -4.3587082 50.6370845, -4.3585635 50.6370802, -4.3584166 50.6370902, -4.358254 50.6371092, -4.3578644 50.6372231, -4.3577071 50.6372691, -4.357657 50.6372838, -4.3574917 50.637313, -4.3573179 50.6373167, -4.3571659 50.6373146, -4.3569927 50.6372952, -4.3568186 50.6372286, -4.3568009 50.6372124, -4.3567632 50.6371779)",,
34039983,A388,,primary,False,False,8.505,,,,"LINESTRING (-4.364006 50.6404157, -4.363984 50.6403405)",,
24704860,,Tredydan Road,residential,False,True,64.422,,,,"LINESTRING (-4.364006 50.6404157, -4.3643325 50.6403825, -4.3645836 50.6403265, -4.3648851 50.640265)",,
"[68032794, 42229103]",A388,St Thomas Road,primary,False,False,27.851,,,,"LINESTRING (-4.364006 50.6404157, -4.3640601 50.6405464, -4.3641413 50.6406496)",yes,
42229193,,Westgate Street,unclassified,False,False,66.648,,,,"LINESTRING (-4.3639529 50.6350557, -4.3630933 50.6353047)",,
34040076,A388,Western Road,primary,False,False,134.648,2,30 mph,,"LINESTRING (-4.3639529 50.6350557, -4.3637183 50.6353702, -4.3636471 50.6354731, -4.3635452 50.6355724, -4.3634511 50.6356665, -4.3633388 50.6357481, -4.3631297 50.6358687, -4.3629982 50.6359304, -4.3628207 50.6359942)",,
843426903,A388,Western Road,primary,False,True,149.07600000000002,2,30 mph,,"LINESTRING (-4.3639529 50.6350557, -4.3641563 50.6348274, -4.3644396 50.6344928, -4.3649 50.6339834, -4.3649657 50.63388)",,
1230800514,,,residential,False,False,12.14,,,,"LINESTRING (-4.3624492 50.6361611, -4.362621 50.6361542)",,
42229127,,,residential,False,False,10.949,,,,"LINESTRING (-4.3624492 50.6361611, -4.362389 50.6361724, -4.3623045 50.6361962)",,
1230800516,A388,Western Road,primary,True,False,33.202,2,30 mph,,"LINESTRING (-4.3624492 50.6361611, -4.3624654 50.6361354, -4.3625151 50.6360946, -4.3626217 50.6360478, -4.3628207 50.6359942)",,
42229193,,Westgate Street,unclassified,False,False,31.205000000000002,,,,"LINESTRING (-4.3616205 50.6356905, -4.3615287 50.6356765, -4.3614737 50.6356731, -4.3614033 50.6356837, -4.3613262 50.6357088, -4.3612625 50.6357454, -4.3612377 50.6357513, -4.3612164 50.6357507)",,
42229193,,Westgate Street,unclassified,False,True,113.116,,,,"LINESTRING (-4.3616205 50.6356905, -4.3616413 50.6356688, -4.3617111 50.6356391, -4.3620088 50.6355731, -4.3622594 50.6355187, -4.3630933 50.6353047)",,
67802398,,Dockey,unclassified,False,True,77.95100000000001,,,,"LINESTRING (-4.3616205 50.6356905, -4.3615991 50.6357186, -4.3615991 50.6357484, -4.3616118 50.6357764, -4.3616433 50.6358079, -4.3619243 50.6359563, -4.3622696 50.6361592, -4.3623045 50.6361962)",,
42229193,,Westgate Street,unclassified,False,True,89.097,,,,"LINESTRING (-4.3609321 50.6365279, -4.3609312 50.636465, -4.3609896 50.6362889, -4.3611445 50.6358726, -4.3611816 50.6357936, -4.3612164 50.6357507)",,
67805858,,Broad Street,residential,True,False,46.027,,,,"LINESTRING (-4.3609321 50.6365279, -4.3607495 50.6366508, -4.3606067 50.6367367, -4.3604574 50.6368108)",,
67805860,,Church Street,unclassified,False,True,4.225,,,,"LINESTRING (-4.3600565 50.636974, -4.3600726 50.6370106)",,
67805857,,Southgate Street,residential,True,False,46.697,,,,"LINESTRING (-4.3600565 50.636974, -4.3600233 50.6369617, -4.3597276 50.636701, -4.3596505 50.6366449)",,
91095282,,Race Hill,residential,True,False,46.339,,,,"LINESTRING (-4.3583092 50.6356368, -4.3587197 50.6359622)",,
1049339097,,Race Hill,residential,True,False,42.823,,,,"LINESTRING (-4.35795 50.6353263, -4.3583092 50.6356368)",,
67805859,,Bounsall's Lane,residential,False,False,30.134,,,,"LINESTRING (-4.35795 50.6353263, -4.3580353 50.6352851, -4.3581279 50.6352698, -4.3583519 50.6352778)",,
34040080,,Hendra Vale,residential,False,False,20.072,,,,"LINESTRING (-4.3656443 50.632302, -4.3658296 50.632439)",,
34040081,,Hendra Park,residential,False,False,137.902,,,,"LINESTRING (-4.3656443 50.632302, -4.3653569 50.6325433, -4.3653472 50.6325776, -4.3652922 50.6327726, -4.3651523 50.6328667, -4.364864 50.6329451, -4.3646339 50.6330724, -4.3647103 50.6332487)",,
843426903,A388,Western Road,primary,False,False,24.576,2,30 mph,,"LINESTRING (-4.3659318 50.6322277, -4.3658296 50.632439)",,
182209042,,Carboth Lane,unclassified,False,True,89.736,,,,"LINESTRING (-4.3659318 50.6322277, -4.3659905 50.6323289, -4.365996 50.6325412, -4.3660108 50.6326964, -4.3660495 50.6329188, -4.3660874 50.6330237)",,
34040081,,Hendra Park,residential,False,True,137.902,,,,"LINESTRING (-4.3647103 50.6332487, -4.3646339 50.6330724, -4.364864 50.6329451, -4.3651523 50.6328667, -4.3652922 50.6327726, -4.3653472 50.6325776, -4.3653569 50.6325433, -4.3656443 50.632302)",,
42229193,,Westgate Street,unclassified,False,True,66.648,,,,"LINESTRING (-4.3630933 50.6353047, -4.3639529 50.6350557)",,
34040220,,Dunheved Road,residential,False,False,311.92599999999993,,,,"LINESTRING (-4.3630933 50.6353047, -4.3634386 50.6350923, -4.363553 50.6350119, -4.3636151 50.6349428, -4.3636853 50.6348464, -4.3637338 50.634722, -4.3637546 50.6345578, -4.3638095 50.6341706, -4.3638067 50.6340907, -4.3637937 50.6337146, -4.3636528 50.6332047, -4.363625 50.6331382, -4.3635821 50.6330357, -4.3634303 50.6326724)",,
42229193,,Westgate Street,unclassified,False,False,113.11599999999999,,,,"LINESTRING (-4.3630933 50.6353047, -4.3622594 50.6355187, -4.3620088 50.6355731, -4.3617111 50.6356391, -4.3616413 50.6356688, -4.3616205 50.6356905)",,
