osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,tunnel,access
43320004,4,A8,West Coates,primary,30 mph,False,True,114.322,"LINESTRING (-3.2275122 55.9458019, -3.2278453 55.9457811, -3.2281857 55.9457599, -3.2282402 55.9457565, -3.2288351 55.9457194, -3.2293369 55.9456881)",,,
333611894,4,A8,West Coates,primary,30 mph,False,False,220.969,"LINESTRING (-3.2275122 55.9458019, -3.2274188 55.9458072, -3.2266727 55.9458438, -3.2250565 55.9459232, -3.2246114 55.9459462, -3.2245589 55.9459489, -3.2245063 55.9459516, -3.2243998 55.945956, -3.2242636 55.9459603, -3.22413 55.9459628, -3.2239759 55.9459638)",,,
"[4755832, 478693354]",,,Stanhope Street,residential,"['20 mph', '30 mph']",False,True,95.749,"LINESTRING (-3.2275122 55.9458019, -3.2274961 55.9456922, -3.2274181 55.9451611, -3.2273862 55.9449437)",,,
4261978,1,,,primary_link,20 mph,True,False,79.58500000000001,"LINESTRING (-3.216245 55.9461838, -3.2163979 55.9461719, -3.2165364 55.9461519, -3.2166007 55.9461363, -3.2166637 55.9461127, -3.2166956 55.9460928, -3.2167231 55.9460719, -3.2168262 55.9459553, -3.2169186 55.9458545, -3.2169756 55.9457941, -3.2170802 55.9457093)",,,
241941714,2,A8,Morrison Street,primary,20 mph,True,False,38.414,"LINESTRING (-3.216245 55.9461838, -3.2164497 55.9462129, -3.2165656 55.9462134, -3.2166141 55.9462097, -3.2167113 55.9461993, -3.2168462 55.9461746)",,,
48605566,,,Drysdale Road,residential,20 mph,False,True,150.328,"LINESTRING (-3.2158349 55.9429206, -3.2157629 55.9428751, -3.2152673 55.9425584, -3.2150544 55.94242, -3.214245 55.9419033)",,,
"[368003200, 368003202]",2,,West Approach Road,tertiary,"['40 mph', '30 mph']",True,False,462.562,"LINESTRING (-3.2158349 55.9429206, -3.2164048 55.9426233, -3.2173088 55.9421433, -3.2182135 55.9416839, -3.2191223 55.9412294, -3.2198799 55.9408448, -3.2206152 55.940472, -3.2213156 55.9401131)",,,
"[368003201, 23186963]",1,,West Approach Road,tertiary,"['40 mph', '30 mph']",True,False,366.028,"LINESTRING (-3.2199881 55.9409625, -3.2198194 55.9410293, -3.2195805 55.941128, -3.2194194 55.9411951, -3.2192103 55.9412807, -3.2185382 55.941611, -3.2164852 55.9426675, -3.2159069 55.9429646, -3.2157476 55.9430354, -3.2155401 55.9431074)",,,
23186963,1,,West Approach Road,tertiary,40 mph,True,False,203.88600000000002,"LINESTRING (-3.2228136 55.9404461, -3.2226849 55.9403615, -3.2226185 55.9403431, -3.2225368 55.9403193, -3.2224689 55.940302, -3.2224027 55.9402891, -3.2223299 55.940279, -3.2222585 55.9402707, -3.222177 55.9402685, -3.2220949 55.9402711, -3.2219991 55.94028, -3.2219092 55.9402956, -3.2218134 55.9403207, -3.2209517 55.9406319, -3.2205179 55.9407884, -3.2202815 55.9408705, -3.2201322 55.9409204, -3.2199881 55.9409625)",,,
4265010,,A8,West Maitland Street,primary,20 mph,True,False,25.394,"LINESTRING (-3.2166804 55.9464062, -3.2163568 55.9465452)",,,
9234350,4,A8,Haymarket Terrace,primary,20 mph,False,False,85.946,"LINESTRING (-3.2191503 55.9458946, -3.2195142 55.9458995, -3.2201607 55.9459081, -3.2202492 55.9459093, -3.2205302 55.9459131)",,,
"[224830909, 9234350]",4,A8,"['Haymarket', 'Haymarket Terrace']",primary,20 mph,False,True,46.044,"LINESTRING (-3.2191503 55.9458946, -3.2190327 55.945893, -3.2189293 55.9458918, -3.2188518 55.945891, -3.2185277 55.9458873, -3.218411 55.945886)",,,
1158802547,,A8,Morrison Street,primary,20 mph,True,False,19.305,"LINESTRING (-3.2142297 55.9461523, -3.2145397 55.9461552)",,,
4936477,,,Morrison Link,tertiary,20 mph,True,False,31.686,"LINESTRING (-3.2142297 55.9461523, -3.2142376 55.9460871, -3.2142642 55.945868)",,,
61883421,4,A8,Haymarket Terrace,primary,20 mph,False,True,114.801,"LINESTRING (-3.2233681 55.9459549, -3.2215252 55.9459245)",,,
"[333611888, 478332037]",4,A8,West Coates,primary,"['20 mph', '30 mph']",False,True,37.863,"LINESTRING (-3.2233681 55.9459549, -3.2238158 55.9459631, -3.2238653 55.9459639, -3.2239075 55.9459645, -3.2239759 55.9459638)",,,
1270401402,,,Magdala Crescent,residential,20 mph,True,False,17.848,"LINESTRING (-3.2233681 55.9459549, -3.2233663 55.9460381, -3.2233659 55.9460574, -3.2233646 55.9461154)",,,
4196473,,,Orwell Terrace,residential,20 mph,False,False,87.12899999999999,"LINESTRING (-3.2206377 55.9430925, -3.2205677 55.9430464, -3.2205209 55.9430107, -3.2204754 55.9429702, -3.2204354 55.942928, -3.2201024 55.9423755)",,,
574218753,,A70,Dalry Road,primary,20 mph,False,False,14.852,"LINESTRING (-3.2206377 55.9430925, -3.220538 55.9431585, -3.2204833 55.9431943)",,,
