osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,ref,name,bridge,junction
554920016,True,1,residential,30 mph,False,97.44300000000001,"LINESTRING (-5.7507298 54.5488237, -5.7516897 54.5491897, -5.7517578 54.5492029, -5.7518513 54.5492045, -5.7519392 54.5491963, -5.7520446 54.5491833)",,,,
554920032,False,2,trunk,60 mph,False,87.181,"LINESTRING (-5.7507298 54.5488237, -5.7510911 54.5489914, -5.7514467 54.549169, -5.7517588 54.5493318)",A22,Comber Bypass,,
"[554920032, 26195510]",False,2,trunk,"['60 mph', '30 mph']",True,530.173,"LINESTRING (-5.7507298 54.5488237, -5.7504056 54.5486942, -5.7499301 54.5485103, -5.7493616 54.5482977, -5.748825 54.5481296, -5.7482574 54.5479671, -5.7476389 54.5478209, -5.7471243 54.5477078, -5.746448 54.5475734, -5.7456761 54.5474354, -5.7449849 54.5473376, -5.7443921 54.5472668, -5.7438114 54.5472031, -5.7433924 54.5471652, -5.7431307 54.5471486)",A22,Comber Bypass,,
554920014,False,2,residential,30 mph,False,24.747,"LINESTRING (-5.7517588 54.5493318, -5.7518258 54.5492966, -5.7520446 54.5491833)",,The Mill Village,,
554920032,False,2,trunk,60 mph,True,87.181,"LINESTRING (-5.7517588 54.5493318, -5.7514467 54.549169, -5.7510911 54.5489914, -5.7507298 54.5488237)",A22,Comber Bypass,,
26950495,True,1,residential,30 mph,False,69.432,"LINESTRING (-5.7518842 54.5482405, -5.7519949 54.5480818, -5.7522247 54.5477912, -5.7523205 54.5476698)",,Carnesure Terrace,,
"[26191296, 26950501, 26191294]",False,2,primary,30 mph,False,169.452,"LINESTRING (-5.7518842 54.5482405, -5.7518686 54.5482515, -5.751713 54.5483414, -5.7514768 54.5484715, -5.7512905 54.5485618, -5.7512286 54.5485847, -5.7510875 54.5486367, -5.7509045 54.548698, -5.7503313 54.548854, -5.750235 54.5488803, -5.7496813 54.5490461)",A21,"['Braeside', 'High Street']",yes,
554920001,False,2,primary,30 mph,True,49.132999999999996,"LINESTRING (-5.7518842 54.5482405, -5.7520577 54.5481524, -5.7522311 54.5480644, -5.7524795 54.547966)",A21,Ballygowan Road,,
26191294,False,2,primary,30 mph,True,55.57,"LINESTRING (-5.7474948 54.549882, -5.7482058 54.5495997)",A21,High Street,,
26191294,False,2,primary,30 mph,False,129.489,"LINESTRING (-5.7474948 54.549882, -5.7469183 54.5500898, -5.7463854 54.5502626, -5.7458753 54.5503909, -5.7457239 54.5504252)",A21,High Street,,
27299933,False,2,residential,30 mph,False,24.718000000000004,"LINESTRING (-5.7474948 54.549882, -5.7474607 54.5498542, -5.7474097 54.54981, -5.7473388 54.5497398, -5.7473045 54.54969)",,Hillside Park,,
60322069,False,,primary,,True,5.67,"LINESTRING (-5.7456431 54.5504453, -5.7457239 54.5504252)",A21,High Street,,
15092921,False,2,primary,30 mph,False,45.84,"LINESTRING (-5.7456431 54.5504453, -5.7454503 54.5504917, -5.7449887 54.5506062)",A221,The Square,,
15092938,False,2,primary,30 mph,False,59.874,"LINESTRING (-5.7456431 54.5504453, -5.7455365 54.5503015, -5.7452834 54.5499489)",A21,The Square,,
15092925,False,2,primary,30 mph,False,25.78,"LINESTRING (-5.741737 54.551364, -5.7413839 54.5514727)",A221,Newtownards Road,,
39227075,False,2,residential,30 mph,False,43.525999999999996,"LINESTRING (-5.741737 54.551364, -5.7417748 54.5513912, -5.7419597 54.5515081, -5.7420272 54.5515502, -5.7421922 54.5516529)",,Darragh Road,,
"[271949450, 271949451, 553520173]",False,2,primary,30 mph,True,85.367,"LINESTRING (-5.741737 54.551364, -5.7418824 54.5513293, -5.7422451 54.5512495, -5.7427366 54.5511389, -5.7429739 54.5510908)",A221,Bridge Street,yes,
15092925,False,2,primary,30 mph,False,47.7,"LINESTRING (-5.7392646 54.551965, -5.7385838 54.5521327)",A221,Newtownards Road,,
15092925,False,2,primary,30 mph,True,128.853,"LINESTRING (-5.7392646 54.551965, -5.7405906 54.5516575, -5.7409268 54.5515809, -5.7411197 54.5515346)",A221,Newtownards Road,,
27302757,False,2,residential,30 mph,False,14.391,"LINESTRING (-5.7392646 54.551965, -5.7392423 54.5519335, -5.7391963 54.5518791, -5.7391598 54.5518515)",,De Wind Drive,,
26195513,False,2,primary,30 mph,True,54.798,"LINESTRING (-5.7423716 54.5465708, -5.7423978 54.5466083, -5.7427406 54.5470146)",A22,Killinchy Road,,
554920030,False,2,residential,30 mph,False,33.168,"LINESTRING (-5.7423716 54.5465708, -5.742278 54.5465895, -5.7421773 54.5466096, -5.7420534 54.5466135, -5.7418692 54.5466058)",,Riverside Court,,
15092938,False,2,primary,30 mph,True,59.874,"LINESTRING (-5.7452834 54.5499489, -5.7455365 54.5503015, -5.7456431 54.5504453)",A21,The Square,,
27300020,False,2,primary,30 mph,False,195.85100000000003,"LINESTRING (-5.7452834 54.5499489, -5.7447857 54.5492838, -5.744723 54.5492001, -5.7446378 54.5490909, -5.7442776 54.5486293, -5.7441726 54.5485091, -5.7440294 54.5483452)",A21,Killinchy Street,,
27300220,False,2,residential,30 mph,False,47.768,"LINESTRING (-5.7452834 54.5499489, -5.7452013 54.5499716, -5.7448912 54.5500584, -5.7448179 54.5500841, -5.7447619 54.5501165, -5.7447278 54.5501499, -5.74471 54.5501914)",,The Square,,
15092953,False,2,residential,30 mph,True,252.42300000000003,"LINESTRING (-5.7491919 54.5513859, -5.7488134 54.551341, -5.7487092 54.5513286, -5.7486246 54.5513156, -5.74816 54.5512443, -5.7477764 54.5511601, -5.7477282 54.5511495, -5.7472027 54.5510144, -5.7470442 54.5509736, -5.7468926 54.5509367, -5.7467047 54.550885, -5.7465475 54.5508417, -5.746298 54.5507455, -5.7460753 54.5506344, -5.7459632 54.5505704, -5.7457239 54.5504252)",,Castle Street,,
39227142,False,2,residential,30 mph,False,65.94999999999999,"LINESTRING (-5.7491919 54.5513859, -5.749179 54.5514239, -5.74914 54.5515449, -5.7491245 54.5516276, -5.7491186 54.5516873, -5.7491378 54.5517283, -5.7491783 54.5517781, -5.7493491 54.5519411)",,Castle Lane,,
"[554920032, 26195510]",False,2,trunk,"['60 mph', '30 mph']",False,530.1730000000001,"LINESTRING (-5.7431307 54.5471486, -5.7433924 54.5471652, -5.7438114 54.5472031, -5.7443921 54.5472668, -5.7449849 54.5473376, -5.7456761 54.5474354, -5.746448 54.5475734, -5.7471243 54.5477078, -5.7476389 54.5478209, -5.7482574 54.5479671, -5.748825 54.5481296, -5.7493616 54.5482977, -5.7499301 54.5485103, -5.7504056 54.5486942, -5.7507298 54.5488237)",A22,Comber Bypass,,
26195516,True,2,trunk,30 mph,False,18.301000000000002,"LINESTRING (-5.7431307 54.5471486, -5.7431177 54.547189, -5.7430862 54.5472259, -5.7430384 54.5472563, -5.7429781 54.547278)",A21,,,roundabout
26195516,True,2,trunk,30 mph,False,32.971,"LINESTRING (-5.7429781 54.547278, -5.7428955 54.5472902, -5.7428106 54.5472861, -5.7427327 54.5472661, -5.7426704 54.5472324, -5.7426305 54.5471887, -5.7426174 54.5471399)",A21,,,roundabout
27300020,False,2,primary,30 mph,True,136.711,"LINESTRING (-5.7429781 54.547278, -5.7430053 54.5473159, -5.7433581 54.5476737, -5.7434142 54.5477306, -5.7440294 54.5483452)",A21,Killinchy Street,,
26195516,True,2,trunk,30 mph,False,16.69,"LINESTRING (-5.7426174 54.5471399, -5.7426226 54.547112, -5.7426366 54.5470852, -5.7426789 54.5470451, -5.7427406 54.5470146)",A21,,,roundabout
26195513,False,2,primary,30 mph,False,54.798,"LINESTRING (-5.7427406 54.5470146, -5.7423978 54.5466083, -5.7423716 54.5465708)",A22,Killinchy Road,,
26195516,True,2,trunk,30 mph,False,35.697,"LINESTRING (-5.7427406 54.5470146, -5.7428136 54.546997, -5.7428924 54.5469932, -5.7429695 54.5470035, -5.7430375 54.5470268, -5.7430901 54.5470611, -5.7431221 54.547103, -5.7431307 54.5471486)",A21,,,roundabout
554920001,False,2,primary,30 mph,False,49.132999999999996,"LINESTRING (-5.7524795 54.547966, -5.7522311 54.5480644, -5.7520577 54.5481524, -5.7518842 54.5482405)",A21,Ballygowan Road,,
555487776,False,2,residential,30 mph,True,35.789,"LINESTRING (-5.7524795 54.547966, -5.7524476 54.5479361, -5.7523521 54.5478534, -5.7523193 54.5477912, -5.7523086 54.5477321, -5.7523205 54.5476698)",,Carnesure Terrace,,
555487776,False,2,residential,30 mph,False,35.789,"LINESTRING (-5.7523205 54.5476698, -5.7523086 54.5477321, -5.7523193 54.5477912, -5.7523521 54.5478534, -5.7524476 54.5479361, -5.7524795 54.547966)",,Carnesure Terrace,,
60322069,False,,primary,,False,5.67,"LINESTRING (-5.7457239 54.5504252, -5.7456431 54.5504453)",A21,High Street,,
