osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,junction,ref,name,bridge,tunnel
22907150,True,1,motorway_link,70 mph,False,441.17699999999996,"LINESTRING (-4.0796698 55.8873279, -4.0795068 55.8875648, -4.079058 55.8880482, -4.0788831 55.8882307, -4.0784166 55.888653, -4.0782066 55.8888929, -4.0779515 55.8891852, -4.0776762 55.889501, -4.0774957 55.8897086, -4.0773324 55.8899092, -4.0771675 55.8901482, -4.0770555 55.8903349, -4.0769388 55.8905608, -4.0768891 55.8907091, -4.0768844 55.890785, -4.0768876 55.8907994, -4.0769031 55.8908696, -4.0769511 55.8909326)",,,,,
203156472,True,1,primary,30 mph,False,9.16,"LINESTRING (-4.081979 55.8920417, -4.0820543 55.8920487, -4.0821183 55.8920654)",roundabout,,,,
203156472,True,1,primary,30 mph,False,9.388,"LINESTRING (-4.0817305 55.8921344, -4.0817679 55.8920978, -4.0818225 55.8920687)",roundabout,,,,
23847212,True,1,primary,30 mph,False,25.387999999999998,"LINESTRING (-4.0821242 55.8925035, -4.0820153 55.8923922, -4.081973 55.8923612, -4.0818788 55.8923281)",,A752,Lochend Road,,
162588424,False,2,primary,30 mph,False,56.031000000000006,"LINESTRING (-4.0821242 55.8925035, -4.082186 55.8926603, -4.0822121 55.8927561, -4.0822148 55.8930025)",,A752,Lochend Road,,
1150445680,True,1,primary,30 mph,False,5.387,"LINESTRING (-4.0818788 55.8923281, -4.0818067 55.8923014)",roundabout,,,,
30818429,True,,tertiary,30 mph,False,15.902000000000001,"LINESTRING (-4.0769511 55.8909326, -4.0770186 55.8909616, -4.0770716 55.8909989, -4.077107 55.8910422)",roundabout,,,,
30818429,True,,tertiary,30 mph,False,36.909,"LINESTRING (-4.0770445 55.8912262, -4.0769834 55.891259, -4.0769102 55.8912827, -4.0768289 55.8912958, -4.0767444 55.8912976, -4.0766616 55.8912881, -4.0765853 55.8912676, -4.07652 55.8912375)",roundabout,,,,
30818429,True,,tertiary,30 mph,False,13.433,"LINESTRING (-4.07652 55.8912375, -4.0764759 55.8912057, -4.0764444 55.8911695, -4.0764267 55.8911305)",roundabout,,,,
11406711,True,1,primary,30 mph,False,21.419,"LINESTRING (-4.0821183 55.8920654, -4.0822602 55.8920212, -4.0823133 55.8920076, -4.08242 55.8919735)",,A752,,,
203156474,True,1,primary,30 mph,False,18.645,"LINESTRING (-4.0821183 55.8920654, -4.0821792 55.8920974, -4.0822176 55.892135, -4.0822349 55.8921772, -4.0822316 55.8922114)",roundabout,,,,
32514941,False,,residential,30 mph,False,35.012,"LINESTRING (-4.0812141 55.8867471, -4.0813453 55.8869374, -4.0814165 55.8870408)",,,Lochend Road,,
32514941,False,,residential,30 mph,True,65.637,"LINESTRING (-4.0812141 55.8867471, -4.0809527 55.8863186, -4.0808293 55.8861999)",,,Lochend Road,,
33788798,False,,residential,30 mph,True,14.143,"LINESTRING (-4.0812141 55.8867471, -4.0813973 55.8867119, -4.0814282 55.8867052)",,,New Abbey Road,,
47075749,False,,residential,30 mph,False,68.965,"LINESTRING (-4.0828057 55.8904426, -4.082783 55.8901649, -4.0827135 55.8898249)",,,Lochend Road,,
60099521,False,,residential,30 mph,False,24.081000000000003,"LINESTRING (-4.0828057 55.8904426, -4.0828626 55.8904865, -4.0829388 55.8905052, -4.0831308 55.8905474)",,,Lochend Road,,
32514941,False,,residential,30 mph,False,65.637,"LINESTRING (-4.0808293 55.8861999, -4.0809527 55.8863186, -4.0812141 55.8867471)",,,Lochend Road,,
32514979,False,,residential,30 mph,False,94.957,"LINESTRING (-4.0875251 55.8870751, -4.086084 55.8873509)",,,Old Gartloch Road,,
32514987,False,,residential,30 mph,True,65.181,"LINESTRING (-4.0839557 55.887752, -4.0829693 55.8879459)",,,Old Gartloch Road,,
32514979,False,,residential,30 mph,True,105.513,"LINESTRING (-4.0839557 55.887752, -4.0847256 55.8876142, -4.0855577 55.8874471)",,,Old Gartloch Road,,
"[60099522, 23059113, 47075762]",False,2,primary,30 mph,True,221.916,"LINESTRING (-4.0839557 55.887752, -4.0838548 55.887108, -4.0837781 55.886906, -4.0835861 55.8864709, -4.0834453 55.8861764, -4.0831996 55.885812)",,A752,Coatbridge Road,yes,
203156473,False,2,primary,30 mph,True,145.064,"LINESTRING (-4.0839557 55.887752, -4.0839814 55.8879177, -4.083988 55.8881821, -4.0839704 55.8885578, -4.0839348 55.8888568, -4.0839112 55.8890547)",,A752,,,
32514987,False,,residential,30 mph,False,65.181,"LINESTRING (-4.0829693 55.8879459, -4.0839557 55.887752)",,,Old Gartloch Road,,
32514987,False,,residential,30 mph,True,55.911,"LINESTRING (-4.0829693 55.8879459, -4.0821268 55.8881179)",,,Old Gartloch Road,,
34063764,False,,residential,30 mph,True,35.715,"LINESTRING (-4.0829693 55.8879459, -4.0827704 55.8876447)",,,Cadder Court,,
47075757,False,,residential,30 mph,False,53.394,"LINESTRING (-4.0829693 55.8879459, -4.0830018 55.888025, -4.0831609 55.8882032, -4.0832816 55.8883911)",,,Old Gartloch Road,,
238009614,False,,residential,30 mph,True,8.829,"LINESTRING (-4.0820902 55.8880412, -4.0821268 55.8881179)",,,Lochend Road,,
32514941,False,,residential,30 mph,True,118.916,"LINESTRING (-4.0820902 55.8880412, -4.0816623 55.8873927, -4.0816275 55.8873467, -4.0814165 55.8870408)",,,Lochend Road,,
33788776,False,,residential,30 mph,False,119.675,"LINESTRING (-4.0820902 55.8880412, -4.0816458 55.8881144, -4.0802431 55.8883332)",,,Woodneuk Road,,
162588424,False,2,primary,30 mph,True,56.031,"LINESTRING (-4.0822148 55.8930025, -4.0822121 55.8927561, -4.082186 55.8926603, -4.0821242 55.8925035)",,A752,Lochend Road,,
703508894,False,2,secondary,30 mph,True,92.505,"LINESTRING (-4.0822148 55.8930025, -4.0820623 55.8930217, -4.0815585 55.8930852, -4.0807601 55.8931649)",,B804,Johnston Road,,
47075735,False,2,primary,30 mph,False,58.401,"LINESTRING (-4.0828486 55.8910482, -4.0831308 55.8905474)",,A752,,,
32514945,True,,residential,30 mph,False,67.411,"LINESTRING (-4.0828486 55.8910482, -4.0828255 55.8908143, -4.0828075 55.8906304, -4.0828057 55.8904426)",,,Lochend Road,,
203156469,False,2,primary,30 mph,True,106.34700000000001,"LINESTRING (-4.0828486 55.8910482, -4.0827402 55.8913036, -4.0825417 55.8917461, -4.0824883 55.8918604, -4.08242 55.8919735)",,A752,,,
47075735,False,2,primary,30 mph,True,58.401,"LINESTRING (-4.0831308 55.8905474, -4.0828486 55.8910482)",,A752,,,
60099521,False,,residential,30 mph,True,24.081,"LINESTRING (-4.0831308 55.8905474, -4.0829388 55.8905052, -4.0828626 55.8904865, -4.0828057 55.8904426)",,,Lochend Road,,
203156473,False,2,primary,30 mph,False,173.18699999999998,"LINESTRING (-4.0831308 55.8905474, -4.0833537 55.8901737, -4.0835496 55.8898421, -4.0838056 55.8893648, -4.0839112 55.8890547)",,A752,,,
32514979,False,,residential,30 mph,True,34.52,"LINESTRING (-4.0855577 55.8874471, -4.086084 55.8873509)",,,Old Gartloch Road,,
32514979,False,,residential,30 mph,False,105.513,"LINESTRING (-4.0855577 55.8874471, -4.0847256 55.8876142, -4.0839557 55.887752)",,,Old Gartloch Road,,
33788753,False,,residential,30 mph,True,102.07600000000001,"LINESTRING (-4.0855577 55.8874471, -4.0853366 55.887098, -4.085269 55.8869323, -4.085219 55.8868985, -4.0850819 55.886904, -4.0848675 55.8869135, -4.0846469 55.8868572)",,,Dunree Place,,
33788755,False,,residential,30 mph,False,40.361000000000004,"LINESTRING (-4.0858508 55.8870137, -4.0859903 55.8872544, -4.086084 55.8873509)",,,Old Gartloch Road,,
32514979,False,,residential,30 mph,False,34.52,"LINESTRING (-4.086084 55.8873509, -4.0855577 55.8874471)",,,Old Gartloch Road,,
32514979,False,,residential,30 mph,True,94.957,"LINESTRING (-4.086084 55.8873509, -4.0875251 55.8870751)",,,Old Gartloch Road,,
33788755,False,,residential,30 mph,True,40.361000000000004,"LINESTRING (-4.086084 55.8873509, -4.0859903 55.8872544, -4.0858508 55.8870137)",,,Old Gartloch Road,,
33788776,False,,residential,30 mph,False,48.262,"LINESTRING (-4.0802431 55.8883332, -4.0794958 55.8884461)",,,Woodneuk Road,,
33788759,False,,residential,30 mph,True,69.67999999999999,"LINESTRING (-4.0802431 55.8883332, -4.0799574 55.8879117, -4.079929 55.8878562, -4.0799411 55.8878103, -4.0799702 55.8877406)",,,Woodneuk Lane,,
33788776,False,,residential,30 mph,True,119.675,"LINESTRING (-4.0802431 55.8883332, -4.0816458 55.8881144, -4.0820902 55.8880412)",,,Woodneuk Road,,
33788776,False,,residential,30 mph,True,48.262,"LINESTRING (-4.0794958 55.8884461, -4.0802431 55.8883332)",,,Woodneuk Road,,
33788798,False,,residential,30 mph,False,26.213,"LINESTRING (-4.0828203 55.886438, -4.0824211 55.8865118)",,,New Abbey Road,,
33788799,False,,residential,30 mph,False,28.441,"LINESTRING (-4.082228 55.8862744, -4.082269 55.8863757, -4.0822709 55.8863803, -4.0823524 55.8865202)",,,New Abbey Road,,
33788798,False,,residential,30 mph,False,61.201,"LINESTRING (-4.0823524 55.8865202, -4.0816029 55.8866671, -4.0814282 55.8867052)",,,New Abbey Road,,
33788798,False,,residential,30 mph,True,4.536,"LINESTRING (-4.0823524 55.8865202, -4.0823911 55.8865102, -4.0824211 55.8865118)",,,New Abbey Road,,
33788799,False,,residential,30 mph,True,28.440999999999995,"LINESTRING (-4.0823524 55.8865202, -4.0822709 55.8863803, -4.082269 55.8863757, -4.082228 55.8862744)",,,New Abbey Road,,
33788810,False,,residential,30 mph,False,73.717,"LINESTRING (-4.0826873 55.8867449, -4.082764 55.8867546, -4.0828329 55.8867771, -4.0829155 55.8868997, -4.0829172 55.8869335, -4.0828948 55.8869668, -4.0828562 55.8869878, -4.0827754 55.886995, -4.082727 55.8869837, -4.082689 55.8869571, -4.0826075 55.8868243, -4.0826326 55.8867772, -4.0826873 55.8867449)",,,New Abbey Road,,
33788810,False,,residential,30 mph,True,73.717,"LINESTRING (-4.0826873 55.8867449, -4.0826326 55.8867772, -4.0826075 55.8868243, -4.082689 55.8869571, -4.082727 55.8869837, -4.0827754 55.886995, -4.0828562 55.8869878, -4.0828948 55.8869668, -4.0829172 55.8869335, -4.0829155 55.8868997, -4.0828329 55.8867771, -4.082764 55.8867546, -4.0826873 55.8867449)",,,New Abbey Road,,
33788810,False,,residential,30 mph,True,31.903,"LINESTRING (-4.0826873 55.8867449, -4.0825461 55.8865581, -4.0824211 55.8865118)",,,New Abbey Road,,
33788798,False,,residential,30 mph,True,26.213,"LINESTRING (-4.0824211 55.8865118, -4.0828203 55.886438)",,,New Abbey Road,,
33788798,False,,residential,30 mph,False,4.536,"LINESTRING (-4.0824211 55.8865118, -4.0823911 55.8865102, -4.0823524 55.8865202)",,,New Abbey Road,,
33788810,False,,residential,30 mph,False,31.903,"LINESTRING (-4.0824211 55.8865118, -4.0825461 55.8865581, -4.0826873 55.8867449)",,,New Abbey Road,,
33788824,False,,residential,30 mph,False,45.554,"LINESTRING (-4.0790428 55.8890385, -4.0794128 55.888994, -4.0797565 55.8890369)",,,Kirkhill Road,,
33788824,False,,residential,30 mph,False,172.433,"LINESTRING (-4.0797565 55.8890369, -4.0809182 55.8891144, -4.0825051 55.8892062)",,,Kirkhill Road,,
33788824,False,,residential,30 mph,True,45.554,"LINESTRING (-4.0797565 55.8890369, -4.0794128 55.888994, -4.0790428 55.8890385)",,,Kirkhill Road,,
