osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,bridge,tunnel
4693481,True,3,A249,Andrew Broughton Way,trunk,30 mph,False,17.118000000000002,"LINESTRING (0.5296089 51.2731806, 0.5296202 51.2732244, 0.5296479 51.2733326)",,
4760314,True,,,Ashford Road,unclassified,,False,18.04,"LINESTRING (0.5296089 51.2731806, 0.5295391 51.2731894, 0.5294649 51.2731949, 0.5293552 51.2732129)",,
190774420,True,1,A249,Andrew Broughton Way,trunk,30 mph,False,41.396,"LINESTRING (0.5297545 51.273717, 0.5297668 51.2740892)",,
4693475,True,3,,,trunk,30 mph,False,40.355000000000004,"LINESTRING (0.5297545 51.273717, 0.5298101 51.2737811, 0.5298862 51.2738474, 0.5299732 51.2738891, 0.5300121 51.2739077, 0.5301622 51.2739634)",,
24975449,True,4,A229,,trunk,30 mph,False,10.601,"LINESTRING (0.5185048 51.2727809, 0.5185546 51.2726908)",,
24975452,True,,A229,,trunk,30 mph,False,27.209,"LINESTRING (0.5185546 51.2726908, 0.5187335 51.2724732)",,
4436421,True,4,A229,,trunk,30 mph,False,59.843999999999994,"LINESTRING (0.5185546 51.2726908, 0.5186597 51.2724485, 0.5187767 51.2722584, 0.5187864 51.2721752)",,
24293955,True,2,A229,Palace Avenue,trunk,30 mph,False,19.035,"LINESTRING (0.5213273 51.2716134, 0.5214802 51.2715968, 0.5215978 51.2716056)",,
296225325,True,2,A229,Palace Avenue,trunk,30 mph,False,221.90099999999998,"LINESTRING (0.5215978 51.2716056, 0.5221739 51.2717804, 0.5229022 51.2719855, 0.5232809 51.2720922, 0.5234944 51.272142, 0.5235818 51.2721501, 0.5238651 51.2721534, 0.5243509 51.27217, 0.5244778 51.2721696, 0.5245945 51.2721463)",,
23555496,True,2,A229,Lower Stone Street,trunk,30 mph,False,53.646,"LINESTRING (0.5245945 51.2721463, 0.5247047 51.2720715, 0.5247629 51.272019, 0.5248015 51.2719647, 0.5248278 51.2719049, 0.5248822 51.2717125)",,
