osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,width,junction,bridge,access
144147212,False,2,A6079,Priestpopple,primary,20 mph,False,175.52,"LINESTRING (-2.0971248 54.9702972, -2.0970496 54.970369, -2.0969825 54.9704094, -2.0968453 54.970492, -2.0966809 54.9705749, -2.096637 54.970597, -2.0965957 54.9706178, -2.0964727 54.970693, -2.0962946 54.9707859, -2.0961451 54.970854, -2.0959466 54.9709176, -2.0956112 54.9709967, -2.0950741 54.9710541, -2.0949419 54.9710789, -2.0948782 54.9711148)",,,,
280833732,False,2,A695,Corbridge Road,primary,20 mph,True,41.58,"LINESTRING (-2.0971248 54.9702972, -2.0969452 54.9702539, -2.0964921 54.9702212)",,,,
505822466,False,,B6305,Priestpopple,secondary,20 mph,True,54.418,"LINESTRING (-2.0971248 54.9702972, -2.0975121 54.9702707, -2.0976036 54.9702637, -2.0979687 54.9702284)",,,,
144147212,False,2,A6079,Priestpopple,primary,20 mph,True,175.52,"LINESTRING (-2.0948782 54.9711148, -2.0949419 54.9710789, -2.0950741 54.9710541, -2.0956112 54.9709967, -2.0959466 54.9709176, -2.0961451 54.970854, -2.0962946 54.9707859, -2.0964727 54.970693, -2.0965957 54.9706178, -2.096637 54.970597, -2.0966809 54.9705749, -2.0968453 54.970492, -2.0969825 54.9704094, -2.0970496 54.970369, -2.0971248 54.9702972)",,,,
733884353,False,2,A6079,Station Road,primary,,True,149.75799999999998,"LINESTRING (-2.0948782 54.9711148, -2.0948441 54.9711814, -2.0948146 54.9712523, -2.0947103 54.9716669, -2.0947098 54.9716777, -2.0946977 54.9719521, -2.0946721 54.9721143, -2.0946464 54.9722362, -2.0946466 54.9722489, -2.0946487 54.9723568, -2.0946095 54.9724481)",,,,
151889050,False,2,B6305,Hencotes,secondary,20 mph,False,71.955,"LINESTRING (-2.1080594 54.969643, -2.1084367 54.9696499, -2.1087397 54.96965, -2.108899 54.9696453, -2.1091862 54.9696402)",,,,
151889050,False,2,B6305,Hencotes,secondary,20 mph,True,34.712,"LINESTRING (-2.1080594 54.969643, -2.107928 54.9696512, -2.1075269 54.9697044)",,,,
197769575,False,2,,St Cuthbert's Lane,residential,30 mph,True,134.184,"LINESTRING (-2.1080594 54.969643, -2.1081635 54.9694272, -2.1084597 54.968823, -2.1084803 54.9686976, -2.108479 54.9684684)",,,,
103434144,False,,,,residential,,False,48.509,"LINESTRING (-2.0941949 54.9727838, -2.0943861 54.9725685, -2.094517 54.9724486, -2.0946095 54.9724481)",,,,
103434144,False,,,,residential,,True,48.509,"LINESTRING (-2.0946095 54.9724481, -2.094517 54.9724486, -2.0943861 54.9725685, -2.0941949 54.9727838)",,,,
733884353,False,2,A6079,Station Road,primary,,False,149.75799999999995,"LINESTRING (-2.0946095 54.9724481, -2.0946487 54.9723568, -2.0946466 54.9722489, -2.0946464 54.9722362, -2.0946721 54.9721143, -2.0946977 54.9719521, -2.0947098 54.9716777, -2.0947103 54.9716669, -2.0948146 54.9712523, -2.0948441 54.9711814, -2.0948782 54.9711148)",,,,
733884362,False,2,A6079,Station Road,primary,,True,76.275,"LINESTRING (-2.0946095 54.9724481, -2.0947207 54.972547, -2.0947743 54.9726425, -2.0949031 54.9728303, -2.0949889 54.9729196, -2.0951292 54.9730007, -2.0951908 54.9730358)",,,,
37334282,False,,B6306,Eastgate,secondary,,True,284.21799999999996,"LINESTRING (-2.1011005 54.9700128, -2.1010468 54.9695994, -2.1010369 54.9692981, -2.10105 54.9690899, -2.1010839 54.9688618, -2.101126 54.9686244, -2.1011096 54.9682469, -2.1010651 54.967901, -2.1010201 54.9676935, -2.1008998 54.9674734)",5.8,,,
