osmid,oneway,lanes,ref,name,highway,maxspeed,area,junction,reversed,length,geometry,bridge,tunnel
638584304,True,4,A4150,Bilston Street Island,trunk,30 mph,no,circular,False,13.048,"LINESTRING (-2.1203845 52.5835384, -2.1204177 52.5834228)",,
497743880,True,4,A4150,Bilston Street Island,trunk,30 mph,no,circular,False,46.684,"LINESTRING (-2.1204177 52.5834228, -2.12059 52.5832832, -2.1206423 52.583254, -2.120716 52.5832267, -2.120938 52.5831617)",,
311810292,True,4,A4150,Bilston Street Island,trunk,30 mph,no,circular,False,11.524999999999999,"LINESTRING (-2.120938 52.5831617, -2.1210378 52.5831497, -2.1211053 52.5831415)",,
7984140,True,2,A4150,Ring Road St. George's,trunk,40 mph,,,False,362.295,"LINESTRING (-2.1211053 52.5831415, -2.1212873 52.5830967, -2.1214465 52.5830594, -2.1215884 52.5829735, -2.1217214 52.582775, -2.121875 52.5825711, -2.1222596 52.5821443, -2.1223154 52.5820885, -2.1225416 52.5818768, -2.1229117 52.5815969, -2.1235268 52.5811454, -2.123912 52.5809322, -2.1241508 52.5808193, -2.1244576 52.5806933)",,
311810292,True,4,A4150,Bilston Street Island,trunk,30 mph,no,circular,False,70.518,"LINESTRING (-2.1211053 52.5831415, -2.1213634 52.5831537, -2.1215535 52.5831738, -2.1218092 52.5832514, -2.1218942 52.5832891, -2.12201 52.5833888)",,
311810292,True,4,A4150,Bilston Street Island,trunk,30 mph,no,circular,False,6.627,"LINESTRING (-2.12201 52.5833888, -2.1220402 52.5834455)",,
"[22779027, 24930294]",True,"['2', '3']",,Bilston Street,unclassified,20 mph,,,False,72.9,"LINESTRING (-2.1220402 52.5834455, -2.1221868 52.5835787, -2.1222267 52.5836149, -2.1223022 52.5836809, -2.1224309 52.5837526, -2.1225628 52.5838061, -2.1226752 52.5838405, -2.1228165 52.5838749)",,
627857121,True,4,A4150,Bilston Street Island,trunk,30 mph,no,circular,False,51.882000000000005,"LINESTRING (-2.1220402 52.5834455, -2.1220585 52.5836423, -2.1220229 52.5837016, -2.1219959 52.5837451, -2.1219846 52.5837587, -2.121854 52.5838796)",,
627857124,True,4,A4150,Bilston Street Island,trunk,30 mph,no,circular,False,6.577,"LINESTRING (-2.121854 52.5838796, -2.121784 52.5839207)",,
"[636402736, 146803779, 7984132]",True,2,A4150,Ring Road St. Davids,trunk,40 mph,,,False,450.556,"LINESTRING (-2.121784 52.5839207, -2.1215589 52.5841201, -2.121511 52.5841709, -2.1214252 52.5843245, -2.1213702 52.5844613, -2.1213236 52.5846316, -2.1212959 52.5848423, -2.121282 52.5850382, -2.1212967 52.5852994, -2.1213646 52.5856933, -2.1214335 52.5859231, -2.1215132 52.5861435, -2.1216123 52.586345, -2.121727 52.5865584, -2.1218564 52.5867897, -2.1219467 52.5869288, -2.1221046 52.5871507, -2.1223515 52.5874444, -2.1225067 52.5876247, -2.1226406 52.5877486)",,
