osmid,highway,oneway,reversed,length,bridge,geometry,ref,name
494975816,tertiary,False,False,340.53399999999993,,"LINESTRING (31.9599971 41.2165185, 31.9601746 41.2165755, 31.9603339 41.2166616, 31.9607213 41.2168321, 31.9609745 41.2169927, 31.9610354 41.2170826, 31.9610231 41.2171717, 31.9610045 41.2173346, 31.9609241 41.217423, 31.9607178 41.2174314, 31.9600005 41.2173434, 31.9592686 41.2172778, 31.9590907 41.2172043, 31.9589128 41.217114, 31.9588309 41.2170757, 31.958749 41.2170267)",,
494975816,tertiary,False,True,167.13400000000001,,"LINESTRING (31.9599971 41.2165185, 31.9597972 41.2163658, 31.9592171 41.2158896, 31.9586977 41.2153791)",,
494975816,tertiary,False,False,91.05199999999999,,"LINESTRING (31.9580656 41.2147143, 31.9582031 41.2148466, 31.9583161 41.2150003, 31.9586977 41.2153791)",,
494975849,residential,False,True,135.211,,"LINESTRING (31.9580656 41.2147143, 31.9578862 41.2147469, 31.9576711 41.21474, 31.9575656 41.2146993, 31.9574515 41.2146854, 31.9572736 41.2147469, 31.957196 41.2148946, 31.9571867 41.2149841, 31.9570942 41.2150401, 31.9570323 41.2151146, 31.956814 41.2150903)",,
494975835,unclassified,False,True,29.756,,"LINESTRING (31.9554519 41.2149184, 31.9550996 41.2149555)",,
494975784,residential,False,False,120.264,,"LINESTRING (31.9554519 41.2149184, 31.9555783 41.2149051, 31.9562589 41.2149517, 31.956597 41.2149472, 31.956814 41.2150903)",,
494975835,unclassified,False,False,29.756,,"LINESTRING (31.9550996 41.2149555, 31.9554519 41.2149184)",,
494975804,tertiary,False,False,108.977,,"LINESTRING (31.9550996 41.2149555, 31.955071 41.2152356, 31.9551679 41.2156688, 31.9552852 41.2159132)",,
494975784,residential,False,False,205.18800000000002,,"LINESTRING (31.956814 41.2150903, 31.9571946 41.2152904, 31.957781 41.2157196, 31.9578554 41.2157747, 31.957931 41.2158054, 31.9580532 41.2156638, 31.9582265 41.2155427, 31.9584492 41.2154729, 31.9586977 41.2153791)",,
494975784,residential,False,True,120.264,,"LINESTRING (31.956814 41.2150903, 31.956597 41.2149472, 31.9562589 41.2149517, 31.9555783 41.2149051, 31.9554519 41.2149184)",,
494975849,residential,False,False,135.211,,"LINESTRING (31.956814 41.2150903, 31.9570323 41.2151146, 31.9570942 41.2150401, 31.9571867 41.2149841, 31.957196 41.2148946, 31.9572736 41.2147469, 31.9574515 41.2146854, 31.9575656 41.2146993, 31.9576711 41.21474, 31.9578862 41.2147469, 31.9580656 41.2147143)",,
1093525719,trunk,True,False,58.305,,"LINESTRING (31.9521525 41.215429, 31.9518948 41.2159162)",D750,Devrek - Ankara Yolu
494975819,residential,False,True,42.787000000000006,,"LINESTRING (31.9521525 41.215429, 31.9526085 41.2154543, 31.9526611 41.2154644)",,
494975784,residential,False,True,205.18800000000002,,"LINESTRING (31.9586977 41.2153791, 31.9584492 41.2154729, 31.9582265 41.2155427, 31.9580532 41.2156638, 31.957931 41.2158054, 31.9578554 41.2157747, 31.957781 41.2157196, 31.9571946 41.2152904, 31.956814 41.2150903)",,
494975816,tertiary,False,False,167.13400000000001,,"LINESTRING (31.9586977 41.2153791, 31.9592171 41.2158896, 31.9597972 41.2163658, 31.9599971 41.2165185)",,
494975816,tertiary,False,True,91.05199999999999,,"LINESTRING (31.9586977 41.2153791, 31.9583161 41.2150003, 31.9582031 41.2148466, 31.9580656 41.2147143)",,
1041389722,tertiary,True,False,38.667,,"LINESTRING (31.9501132 41.2156808, 31.9503199 41.2156376, 31.9504739 41.2156074, 31.9505502 41.2156031, 31.9505613 41.2156067)",,
494975792,unclassified,False,False,19.194,,"LINESTRING (31.9510187 41.2155609, 31.9509413 41.2157234)",,
1041389719,tertiary,True,False,19.709,,"LINESTRING (31.9510187 41.2155609, 31.9508228 41.2156594)",,
494975847,residential,False,False,90.858,,"LINESTRING (31.9552423 41.2183327, 31.9542276 41.218041)",,
494975804,tertiary,False,True,70.695,,"LINESTRING (31.9552423 41.2183327, 31.9553182 41.2181232, 31.9554226 41.217712)",,
494975822,unclassified,False,True,51.846000000000004,,"LINESTRING (31.9552423 41.2183327, 31.9554271 41.2185514, 31.955613 41.2187042)",,
1211225832,residential,False,False,31.068,,"LINESTRING (31.9603918 41.2186104, 31.960665 41.2184211)",,
494975787,residential,False,True,146.06,,"LINESTRING (31.9603918 41.2186104, 31.9599591 41.2190148, 31.9596116 41.2192762, 31.9591943 41.2195624)",,
727330978,residential,False,True,124.826,,"LINESTRING (31.9603918 41.2186104, 31.9602021 41.2184676, 31.9599903 41.2183365, 31.9598829 41.218279, 31.9597342 41.2182184, 31.9594109 41.2181256, 31.9591154 41.2180761)",,
1211225833,residential,False,False,121.59,,"LINESTRING (31.9603918 41.2186104, 31.9610631 41.2190476, 31.9614467 41.2193604)",,
494975799,tertiary,False,False,45.234,,"LINESTRING (31.9558688 41.2188772, 31.9563698 41.2190304)",,
494975822,unclassified,False,False,28.918,,"LINESTRING (31.9558688 41.2188772, 31.9557327 41.2188027, 31.955613 41.2187042)",,
494975812,tertiary,False,True,111.374,,"LINESTRING (31.9591943 41.2195624, 31.9579836 41.2191454)",,
494975787,residential,False,False,146.06,,"LINESTRING (31.9591943 41.2195624, 31.9596116 41.2192762, 31.9599591 41.2190148, 31.9603918 41.2186104)",,
494975787,residential,False,True,245.296,,"LINESTRING (31.9591943 41.2195624, 31.9588249 41.2198532, 31.958379 41.2200701, 31.9579857 41.2203216, 31.9575333 41.2207211, 31.9571531 41.2209381, 31.9569868 41.2209812)",,
494975812,tertiary,False,False,201.327,,"LINESTRING (31.9591943 41.2195624, 31.9593804 41.2196198, 31.9602785 41.2201838, 31.9606573 41.2204546, 31.9610331 41.2207177)",,
494975830,residential,False,False,138.894,,"LINESTRING (31.9545703 41.2175754, 31.953592 41.2171645, 31.9531491 41.216932)",,
494975830,residential,False,True,72.91799999999999,,"LINESTRING (31.9545703 41.2175754, 31.9550563 41.2176626, 31.9554226 41.217712)",,
727330985,residential,False,True,59.278000000000006,,"LINESTRING (31.9545703 41.2175754, 31.9543201 41.2178855, 31.9542276 41.218041)",,
494975804,tertiary,False,False,70.695,,"LINESTRING (31.9554226 41.217712, 31.9553182 41.2181232, 31.9552423 41.2183327)",,
494975804,tertiary,False,True,148.453,,"LINESTRING (31.9554226 41.217712, 31.9553989 41.2173998, 31.9553288 41.2163788)",,
494975830,residential,False,False,72.91799999999999,,"LINESTRING (31.9554226 41.217712, 31.9550563 41.2176626, 31.9545703 41.2175754)",,
494975846,residential,False,False,58.790000000000006,,"LINESTRING (31.9596016 41.2222809, 31.9593428 41.2221413, 31.9589768 41.2220528)",,
494975846,residential,False,True,82.656,,"LINESTRING (31.9596016 41.2222809, 31.9596903 41.2223287, 31.960468 41.2226371)",,
494975800,residential,False,False,206.003,,"LINESTRING (31.9610331 41.2207177, 31.9586413 41.22116)",,
494975812,tertiary,False,False,48.712,,"LINESTRING (31.9610331 41.2207177, 31.9615218 41.220956)",,
494975812,tertiary,False,True,201.32700000000003,,"LINESTRING (31.9610331 41.2207177, 31.9606573 41.2204546, 31.9602785 41.2201838, 31.9593804 41.2196198, 31.9591943 41.2195624)",,
494975812,tertiary,False,False,16.185,,"LINESTRING (31.9615218 41.220956, 31.9616975 41.221017)",,
494975812,tertiary,False,True,48.712,,"LINESTRING (31.9615218 41.220956, 31.9610331 41.2207177)",,
494975825,residential,False,False,249.07999999999998,,"LINESTRING (31.9615218 41.220956, 31.959946 41.221303, 31.9595657 41.2214608, 31.9587855 41.221801)",,
494975787,residential,False,True,5.204,,"LINESTRING (31.9569868 41.2209812, 31.956928 41.2209965)",,
494975778,residential,False,False,126.96799999999999,,"LINESTRING (31.9569868 41.2209812, 31.9579463 41.2212389, 31.9583317 41.2214776)",,
494975787,residential,False,False,245.296,,"LINESTRING (31.9569868 41.2209812, 31.9571531 41.2209381, 31.9575333 41.2207211, 31.9579857 41.2203216, 31.958379 41.2200701, 31.9588249 41.2198532, 31.9591943 41.2195624)",,
494975800,residential,False,True,206.003,,"LINESTRING (31.9586413 41.22116, 31.9610331 41.2207177)",,
1093525719,trunk,True,False,7.09,,"LINESTRING (31.9544656 41.2212959, 31.9545374 41.2213298)",D750,Devrek - Ankara Yolu
494975828,tertiary,True,False,293.479,,"LINESTRING (31.9544656 41.2212959, 31.9555407 41.2194894, 31.9558688 41.2188772)",,
77512848,tertiary,True,False,9.363,,"LINESTRING (31.9545374 41.2213298, 31.9544664 41.2213949)",,
1093525719,trunk,True,False,37.016,,"LINESTRING (31.9545374 41.2213298, 31.9549124 41.2215066)",D750,Devrek - Ankara Yolu
494975778,residential,False,False,32.248,,"LINESTRING (31.9587855 41.221801, 31.9589768 41.2220528)",,
494975778,residential,False,True,52.303999999999995,,"LINESTRING (31.9587855 41.221801, 31.9583922 41.221515, 31.9583317 41.2214776)",,
494975825,residential,False,True,249.08,,"LINESTRING (31.9587855 41.221801, 31.9595657 41.2214608, 31.959946 41.221303, 31.9615218 41.220956)",,
494975778,residential,False,True,32.248,,"LINESTRING (31.9589768 41.2220528, 31.9587855 41.221801)",,
494975778,residential,False,False,139.769,,"LINESTRING (31.9589768 41.2220528, 31.9593887 41.222595, 31.9595985 41.2229303, 31.9598332 41.2231238)",,
494975846,residential,False,True,58.790000000000006,,"LINESTRING (31.9589768 41.2220528, 31.9593428 41.2221413, 31.9596016 41.2222809)",,
31902355,tertiary,False,False,18.205,,"LINESTRING (31.9541956 41.2221187, 31.9541343 41.222071, 31.9540379 41.222006)",,
494975846,residential,False,False,17.465,,"LINESTRING (31.9616411 41.2232336, 31.961475 41.2231384)",,
494975812,tertiary,False,False,111.374,,"LINESTRING (31.9579836 41.2191454, 31.9591943 41.2195624)",,
494975812,tertiary,False,True,63.474999999999994,,"LINESTRING (31.9579836 41.2191454, 31.9576176 41.2190194, 31.9573349 41.2189568, 31.9572732 41.218956)",,
727330976,residential,False,True,221.206,,"LINESTRING (31.9579836 41.2191454, 31.9582736 41.2187753, 31.9583783 41.218632, 31.958389 41.2185634, 31.9583836 41.2185291, 31.9583407 41.2184706, 31.9582093 41.2184121, 31.9577399 41.2183072, 31.9574797 41.2185796, 31.9572732 41.218956)",,
727331238,residential,False,True,113.639,,"LINESTRING (31.9579836 41.2191454, 31.9578069 41.2194511, 31.957536 41.2201089)",,
494975812,tertiary,False,False,63.474999999999994,,"LINESTRING (31.9572732 41.218956, 31.9573349 41.2189568, 31.9576176 41.2190194, 31.9579836 41.2191454)",,
727330976,residential,False,False,221.206,,"LINESTRING (31.9572732 41.218956, 31.9574797 41.2185796, 31.9577399 41.2183072, 31.9582093 41.2184121, 31.9583407 41.2184706, 31.9583836 41.2185291, 31.958389 41.2185634, 31.9583783 41.218632, 31.9582736 41.2187753, 31.9579836 41.2191454)",,
494975812,tertiary,False,True,58.695,,"LINESTRING (31.9572732 41.218956, 31.9570503 41.2189528, 31.9566306 41.2190007, 31.9565769 41.2190068)",,
494975816,tertiary,False,False,70.656,,"LINESTRING (31.958749 41.2170267, 31.9584281 41.2168303, 31.9581296 41.2165964)",,
494975816,tertiary,False,True,340.534,,"LINESTRING (31.958749 41.2170267, 31.9588309 41.2170757, 31.9589128 41.217114, 31.9590907 41.2172043, 31.9592686 41.2172778, 31.9600005 41.2173434, 31.9607178 41.2174314, 31.9609241 41.217423, 31.9610045 41.2173346, 31.9610231 41.2171717, 31.9610354 41.2170826, 31.9609745 41.2169927, 31.9607213 41.2168321, 31.9603339 41.2166616, 31.9601746 41.2165755, 31.9599971 41.2165185)",,
727330977,residential,False,True,290.098,,"LINESTRING (31.958749 41.2170267, 31.9584346 41.2172318, 31.9580188 41.2174477, 31.9577587 41.2176474, 31.9576058 41.2177806, 31.9575468 41.2178815, 31.9574931 41.2180146, 31.9573885 41.2181639, 31.9572249 41.2183052, 31.9569942 41.2185311, 31.9565769 41.2190068)",,
494975812,tertiary,False,True,17.52,,"LINESTRING (31.9565769 41.2190068, 31.9563698 41.2190304)",,
