osmid,oneway,name,highway,reversed,length,geometry,lanes,ref,bridge
87990458,True,İstasyon Caddesi,primary,False,86.206,"LINESTRING (36.409628 39.3511872, 36.4097094 39.3507458, 36.4096778 39.3504873, 36.4096561 39.3504196)",,,
457456886,False,,residential,True,105.546,"LINESTRING (36.409628 39.3511872, 36.40932 39.3511139, 36.4091906 39.3510043, 36.4089996 39.3509423, 36.4087408 39.3509614, 36.408496 39.3509411)",,,
87990868,False,,primary,False,19.734,"LINESTRING (36.4096561 39.3504196, 36.4098844 39.3504378)",,,
87990868,False,,primary,True,28.371,"LINESTRING (36.4096561 39.3504196, 36.4093301 39.3503802)",,,
87990868,False,,primary,True,19.734,"LINESTRING (36.4098844 39.3504378, 36.4096561 39.3504196)",,,
90812484,False,,secondary,False,73.428,"LINESTRING (36.4098844 39.3504378, 36.4107372 39.3504723)",2,58-52,
87990150,True,İstasyon Caddesi,primary,False,137.37,"LINESTRING (36.4098844 39.3504378, 36.4097821 39.3509194, 36.4097101 39.3513315, 36.4096148 39.3516547)",,,
457453895,False,,residential,False,105.022,"LINESTRING (36.4050913 39.3529279, 36.4048887 39.3519965)",,,
87990485,False,Timur Kaynak Sokak,residential,True,131.414,"LINESTRING (36.4050913 39.3529279, 36.4054264 39.3528065, 36.4059038 39.3524829, 36.4062686 39.3521926)",,,
231907895,False,Gazeteci Burak ERDOĞMUŞ Caddesi,residential,True,10.038,"LINESTRING (36.4079099 39.3548083, 36.4077933 39.3548037)",,,
231908033,False,Hastane Caddesi,tertiary,False,83.58500000000001,"LINESTRING (36.4079099 39.3548083, 36.4080161 39.3548245, 36.408541 39.3549424, 36.4088581 39.3549513)",,,
90812484,False,,secondary,False,19.597,"LINESTRING (36.4107372 39.3504723, 36.4109623 39.3504447)",2,58-52,
90812484,False,,secondary,True,73.428,"LINESTRING (36.4107372 39.3504723, 36.4098844 39.3504378)",2,58-52,
396313633,False,,residential,False,47.102000000000004,"LINESTRING (36.4107372 39.3504723, 36.4106713 39.3506664, 36.4105309 39.3508611)",,,
90812484,False,,secondary,True,159.744,"LINESTRING (36.4129483 39.3502376, 36.4111069 39.3504281)",2,58-52,
457433626,False,,residential,True,41.089,"LINESTRING (36.4129483 39.3502376, 36.4130455 39.3498758)",,,
1085550973,True,Muhsin Yazıcıoğlu Bulvarı,secondary,False,103.834,"LINESTRING (36.4129483 39.3502376, 36.4136118 39.3501786, 36.4141508 39.3501573)",2,58-52,
87990868,False,,primary,False,28.371,"LINESTRING (36.4093301 39.3503802, 36.4096561 39.3504196)",,,
87990868,False,,primary,True,54.738,"LINESTRING (36.4093301 39.3503802, 36.4087022 39.3502991)",,,
229389479,False,Osman Fazıl Cd.,tertiary,True,61.67099999999999,"LINESTRING (36.4093301 39.3503802, 36.4094016 39.3500772, 36.4094392 39.3498323)",,,
229389479,False,Osman Fazıl Cd.,tertiary,False,69.009,"LINESTRING (36.409533 39.3491603, 36.4095142 39.3493429, 36.4094476 39.3497773)",,,
229389479,False,Osman Fazıl Cd.,tertiary,True,63.268,"LINESTRING (36.409533 39.3491603, 36.4095786 39.3487165, 36.4096105 39.3485952)",,,
229389484,False,,residential,True,133.90300000000002,"LINESTRING (36.409533 39.3491603, 36.4100024 39.3491978, 36.4110377 39.3492392, 36.4110862 39.3492423)",,,
90812484,False,,secondary,True,19.597,"LINESTRING (36.4109623 39.3504447, 36.4107372 39.3504723)",2,58-52,
90812484,False,,secondary,False,12.57,"LINESTRING (36.4109623 39.3504447, 36.4110234 39.3504372, 36.4111069 39.3504281)",2,58-52,
229389514,False,,tertiary,True,68.13900000000001,"LINESTRING (36.4109623 39.3504447, 36.4110109 39.3503178, 36.4112469 39.3500772, 36.4114111 39.3499518)",,,
229389514,False,,tertiary,False,18.281,"LINESTRING (36.4144617 39.3473702, 36.4143189 39.347492)",,,
457433573,False,,residential,False,17.663,"LINESTRING (36.4144617 39.3473702, 36.4146173 39.3472665)",,,
229489141,False,Setkenarı Sk.,residential,True,213.651,"LINESTRING (36.4144617 39.3473702, 36.4143034 39.3473633, 36.4139253 39.3474075, 36.4131635 39.3475569, 36.4125573 39.347702, 36.4120527 39.3478089)",,,
229389514,False,,tertiary,True,48.839,"LINESTRING (36.41211 39.3493185, 36.4124996 39.3489989)",,,
229389484,False,,residential,False,66.69,"LINESTRING (36.41211 39.3493185, 36.4119845 39.3492988, 36.4113391 39.3492582)",,,
229389514,False,,tertiary,False,92.759,"LINESTRING (36.41211 39.3493185, 36.4116814 39.3497453, 36.4114111 39.3499518)",,,
457433577,False,,residential,True,21.266,"LINESTRING (36.4154755 39.3487952, 36.4152344 39.3488378)",,,
