osmid,oneway,lanes,highway,reversed,length,geometry,name,maxspeed,tunnel,access
91286736,True,1,primary_link,False,88.046,"LINESTRING (28.9423154 41.0157154, 28.9422459 41.0158415, 28.9421871 41.0159233, 28.9421308 41.0160159, 28.9421257 41.0160342, 28.9421214 41.0160496, 28.9421196 41.016063, 28.9421081 41.01615, 28.9421074 41.0162205, 28.9421203 41.0162716, 28.9421478 41.0163418, 28.9421755 41.0163821, 28.9422186 41.0164594)",,,,
91286659,False,,residential,True,54.651,"LINESTRING (28.947015 41.018729, 28.9474083 41.0183372)",Cazip Sokağı,,,
228496762,False,,residential,False,19.881,"LINESTRING (28.947015 41.018729, 28.9471994 41.0188413)",Şehit Teğmen Mehmet Sarper Alus Sokağı,,,
228496762,False,,residential,True,49.341,"LINESTRING (28.947015 41.018729, 28.9465493 41.018458)",Şehit Teğmen Mehmet Sarper Alus Sokağı,,,
91286659,False,,residential,False,54.651,"LINESTRING (28.9474083 41.0183372, 28.947015 41.018729)",Cazip Sokağı,,,
91286672,False,,residential,False,16.164,"LINESTRING (28.9474083 41.0183372, 28.9475753 41.0184097)",Ocaklı Sokağı,,,
91286672,False,,residential,True,48.365,"LINESTRING (28.9474083 41.0183372, 28.9469527 41.0180707)",Ocaklı Sokağı,,,
91286662,False,,residential,False,76.685,"LINESTRING (28.9489301 41.0170534, 28.9496468 41.0174814)",Şehit Kubilay Sokağı,,,
330016843,True,,residential,False,141.546,"LINESTRING (28.9489301 41.0170534, 28.9486092 41.0173127, 28.9479083 41.0180633)",Okumuş Adam Sokağı,,,
91286662,False,,residential,True,76.685,"LINESTRING (28.9496468 41.0174814, 28.9489301 41.0170534)",Şehit Kubilay Sokağı,,,
975116850,True,,primary,False,33.856,"LINESTRING (28.9496468 41.0174814, 28.9497237 41.0174041, 28.9498126 41.0173172, 28.9498989 41.0172439)",Fevzipaşa Caddesi,,,
91286663,False,,residential,False,58.475,"LINESTRING (28.9438899 41.0167693, 28.944437 41.0170951)",Hemdem Sokağı,,,
228486086,False,,residential,False,68.601,"LINESTRING (28.9438899 41.0167693, 28.9433929 41.0172592)",Yaran Sokağı,,,
228486086,False,,residential,True,103.724,"LINESTRING (28.9438899 41.0167693, 28.9445891 41.016)",Yaran Sokağı,,,
91286663,False,,residential,True,58.475,"LINESTRING (28.944437 41.0170951, 28.9438899 41.0167693)",Hemdem Sokağı,,,
330019242,False,1,residential,False,97.627,"LINESTRING (28.944437 41.0170951, 28.945108 41.0163778)",Vatandaş Sokağı,30,,
330019242,False,1,residential,True,74.753,"LINESTRING (28.944437 41.0170951, 28.9438808 41.0176203)",Vatandaş Sokağı,30,,
290773645,True,,primary_link,False,11.804,"LINESTRING (28.9531132 41.0153002, 28.9531905 41.0153889)",,,,
1041142286,True,,primary,False,59.196,"LINESTRING (28.9531132 41.0153002, 28.9531832 41.0152586, 28.9536859 41.0149894)",Macar Kardeşler Caddesi,,,
228506939,True,1,residential,False,37.398,"LINESTRING (28.9531905 41.0153889, 28.9532755 41.0154547, 28.9534131 41.0155638, 28.9534563 41.0155991, 28.9534989 41.0156317)",İtfaiye Caddesi,30,,
