osmid,highway,oneway,reversed,length,name,maxspeed,geometry,ref
173270108,residential,False,False,128.849,,,"LINESTRING (30.1074148 39.0562808, 30.1088496 39.0565992)",
173270286,residential,False,False,13.346,,,"LINESTRING (30.1074148 39.0562808, 30.1073751 39.0563968)",
173270286,residential,False,False,119.359,,,"LINESTRING (30.1073751 39.0563968, 30.10702 39.0574342)",
173270286,residential,False,True,13.346,,,"LINESTRING (30.1073751 39.0563968, 30.1074148 39.0562808)",
312263252,tertiary,False,True,8.631,Hürriyet Caddesi,50,"LINESTRING (30.1089171 39.0564228, 30.1088886 39.0564972)",
173270107,residential,False,True,66.115,,,"LINESTRING (30.1114623 39.0564631, 30.1106966 39.0564641)",
173270249,residential,False,False,128.308,,,"LINESTRING (30.1114623 39.0564631, 30.1114928 39.0568827, 30.1115015 39.0576163)",
173270107,residential,False,False,66.115,,,"LINESTRING (30.1106966 39.0564641, 30.1114623 39.0564631)",
173270281,residential,False,True,37.906,,,"LINESTRING (30.1106966 39.0564641, 30.1107318 39.0568039)",
"[173270281, 173270263]",residential,False,False,276.421,,,"LINESTRING (30.1106966 39.0564641, 30.1105881 39.0554185, 30.1102753 39.0555236, 30.1101484 39.0556286, 30.1098271 39.0563246, 30.1098271 39.0566135)",
173270161,residential,False,False,34.276,,,"LINESTRING (30.1088886 39.0564972, 30.1092806 39.0565458)",
312263252,tertiary,False,False,8.631,Hürriyet Caddesi,50,"LINESTRING (30.1088886 39.0564972, 30.1089171 39.0564228)",
312263252,tertiary,False,True,11.831,Hürriyet Caddesi,50,"LINESTRING (30.1088886 39.0564972, 30.1088496 39.0565992)",
173270131,residential,False,True,26.492,,,"LINESTRING (30.1092806 39.0565458, 30.1092376 39.0567817)",
173270161,residential,False,False,47.785,,,"LINESTRING (30.1092806 39.0565458, 30.1098271 39.0566135)",
173270161,residential,False,True,34.276,,,"LINESTRING (30.1092806 39.0565458, 30.1088886 39.0564972)",
173270108,residential,False,True,128.849,,,"LINESTRING (30.1088496 39.0565992, 30.1074148 39.0562808)",
312263252,tertiary,False,False,11.831,Hürriyet Caddesi,50,"LINESTRING (30.1088496 39.0565992, 30.1088886 39.0564972)",
312263252,tertiary,False,True,88.154,Hürriyet Caddesi,50,"LINESTRING (30.1088496 39.0565992, 30.108824 39.0566659, 30.108621 39.0570535, 30.1085702 39.0573557)",
173270161,residential,False,False,80.935,,,"LINESTRING (30.1098271 39.0566135, 30.1107318 39.0568039)",
