osmid,bridge,ref,name,highway,oneway,reversed,length,geometry,lanes
48075371,yes,D010,Hopa-Artvin yolu,tertiary,False,True,120.83,"LINESTRING (41.674721 41.3620601, 41.6761686 41.3620417)",
96580370,,,,tertiary,True,False,13.769,"LINESTRING (41.674721 41.3620601, 41.6746077 41.3620947, 41.6745682 41.3621068)",
48075371,yes,D010,Hopa-Artvin yolu,tertiary,False,False,120.83,"LINESTRING (41.6761686 41.3620417, 41.674721 41.3620601)",
96580424,,,,tertiary,True,False,29.934,"LINESTRING (41.6761686 41.3620417, 41.6763263 41.3620289, 41.6765262 41.3620229)",
96569072,,D010,,primary,True,False,250.887,"LINESTRING (41.6745421 41.3622529, 41.6752303 41.364027, 41.6752644 41.3641396, 41.6753027 41.3642657, 41.6753107 41.3644293)",
"[96569081, 96569089]",yes,,,tertiary,False,False,98.196,"LINESTRING (41.6791353 41.3593224, 41.6789174 41.3599626, 41.6787406 41.360141)",
96568953,,,,residential,False,True,145.16,"LINESTRING (41.674711 41.3569117, 41.6745959 41.3570969, 41.6744753 41.3573931, 41.6744588 41.3576483, 41.6743273 41.358175)",
96568893,,,,residential,False,True,57.089,"LINESTRING (41.6728964 41.3597016, 41.6735104 41.3599279)",
96568953,,,,residential,False,False,213.769,"LINESTRING (41.6728964 41.3597016, 41.673006 41.3596111, 41.6734227 41.3593683, 41.6736365 41.3592325, 41.6738777 41.3588786, 41.674097 41.358677, 41.6742944 41.358356, 41.6743273 41.358175)",
96568953,,,,residential,False,True,302.18499999999995,"LINESTRING (41.6728964 41.3597016, 41.672869 41.3598127, 41.6728854 41.3599279, 41.6729841 41.3600802, 41.6731376 41.360323, 41.6731979 41.3605122, 41.6732747 41.3608538, 41.6733788 41.3611336, 41.6734117 41.361434, 41.6733953 41.3616685, 41.673335 41.3621005, 41.6733733 41.3623474)",
96568928,,,,residential,False,False,169.356,"LINESTRING (41.674267 41.361615, 41.6741981 41.3612164, 41.6741299 41.3608373, 41.674097 41.3604053, 41.6741354 41.3601008)",
96569032,,D010,,primary,True,False,541.87,"LINESTRING (41.674267 41.361615, 41.6743218 41.361434, 41.6744314 41.3612241, 41.6746562 41.3609566, 41.6749742 41.3606357, 41.6758404 41.3598662, 41.6761858 41.3595288, 41.6763776 41.3592572, 41.6765037 41.3589198, 41.6765202 41.3586523, 41.6765037 41.3584301, 41.6763886 41.3581215, 41.6763009 41.3576935, 41.6763585 41.3572844)",
96568893,,,,residential,False,False,55.593,"LINESTRING (41.6741354 41.3601008, 41.6735104 41.3599279)",
96568928,,,,residential,False,False,233.947,"LINESTRING (41.6741354 41.3601008, 41.6742067 41.359965, 41.6743821 41.3598539, 41.6747439 41.3597839, 41.6749597 41.3597449, 41.6751219 41.3596626, 41.6752272 41.3595474, 41.6754142 41.3591913, 41.6755414 41.358849, 41.675532 41.3585352)",
96568928,,,,residential,False,True,169.356,"LINESTRING (41.6741354 41.3601008, 41.674097 41.3604053, 41.6741299 41.3608373, 41.6741981 41.3612164, 41.674267 41.361615)",
96568953,,,,residential,False,False,302.185,"LINESTRING (41.6733733 41.3623474, 41.673335 41.3621005, 41.6733953 41.3616685, 41.6734117 41.361434, 41.6733788 41.3611336, 41.6732747 41.3608538, 41.6731979 41.3605122, 41.6731376 41.360323, 41.6729841 41.3600802, 41.6728854 41.3599279, 41.672869 41.3598127, 41.6728964 41.3597016)",
