osmid,name,highway,oneway,reversed,length,geometry,junction,ref
819757677,Elbiz Caddesi,tertiary,False,False,23.532,"LINESTRING (35.4864192 38.3913954, 35.4866483 38.3912834)",,
819757677,Elbiz Caddesi,tertiary,False,True,147.495,"LINESTRING (35.4864192 38.3913954, 35.4852229 38.3919577, 35.4849565 38.3920614)",,
819806963,,residential,False,True,78.46300000000001,"LINESTRING (35.4864192 38.3913954, 35.4862952 38.3911627, 35.4861816 38.3909268, 35.4860993 38.3907361)",,
819806953,,residential,False,False,47.217,"LINESTRING (35.4875567 38.385648, 35.48808 38.3857578)",,
769950073,2. Tirem Sokak,residential,False,False,95.45400000000001,"LINESTRING (35.4875567 38.385648, 35.4876386 38.3853342, 35.4879976 38.3848755)",,
819806952,,residential,False,False,111.707,"LINESTRING (35.4875567 38.385648, 35.4869851 38.3855371, 35.4863065 38.3856464)",,
819806954,2. Tirem Sokak,residential,False,True,84.842,"LINESTRING (35.4875567 38.385648, 35.4874331 38.3863297, 35.4874094 38.3864018)",,
819410949,Aşık Seyrani Caddesi,secondary,False,False,51.79,"LINESTRING (35.4925977 38.3890786, 35.4923804 38.3895121)",,
819410951,,secondary,False,False,42.846,"LINESTRING (35.4925977 38.3890786, 35.4926232 38.3886938)",,
819410952,,secondary,False,True,44.222,"LINESTRING (35.4925977 38.3890786, 35.4928449 38.3887313)",,
819757677,Elbiz Caddesi,tertiary,False,True,75.523,"LINESTRING (35.4925977 38.3890786, 35.4925229 38.3891085, 35.4924454 38.3891338, 35.4923657 38.3891543, 35.4922772 38.3891709, 35.4921873 38.3891816, 35.4917585 38.3892276)",,
888188199,,residential,False,True,196.615,"LINESTRING (35.4925977 38.3890786, 35.4926932 38.3891028, 35.4927847 38.389135, 35.4928713 38.3891748, 35.4929519 38.3892217, 35.4930255 38.3892752, 35.493091 38.3893344, 35.4931502 38.3893976, 35.4932025 38.3894644, 35.4932487 38.3895361, 35.493287 38.3896105, 35.4933701 38.3898365, 35.4934011 38.3899106, 35.4934419 38.3899816, 35.4934922 38.3900488, 35.4935458 38.3901062, 35.4936062 38.3901592, 35.4939374 38.3902906, 35.4939826 38.3903058, 35.4940218 38.390329)",,
819408980,Cumhuriyet Caddesi,secondary,True,False,104.538,"LINESTRING (35.4891805 38.383688, 35.4898812 38.384451)",,
819834805,,residential,False,True,27.097,"LINESTRING (35.4891805 38.383688, 35.4894313 38.383544)",,
819834808,Pazar Caddesi,residential,False,True,14.27,"LINESTRING (35.4918493 38.3905839, 35.4918039 38.3904606)",,
819410949,Aşık Seyrani Caddesi,secondary,False,False,30.662999999999997,"LINESTRING (35.4918493 38.3905839, 35.491852 38.3906354, 35.4919066 38.3908555)",,
819410949,Aşık Seyrani Caddesi,secondary,False,True,97.293,"LINESTRING (35.4918493 38.3905839, 35.4918543 38.3905325, 35.4918668 38.3904819, 35.4918859 38.3904344, 35.4919117 38.3903888, 35.4919439 38.3903458, 35.4921028 38.3900657, 35.4922502 38.3897718)",,
819410952,,secondary,False,False,44.222,"LINESTRING (35.4928449 38.3887313, 35.4925977 38.3890786)",,
819410953,,secondary,True,False,23.619999999999997,"LINESTRING (35.4928449 38.3887313, 35.492828 38.388743, 35.4928087 38.3887522, 35.4927878 38.3887588, 35.4927657 38.3887626, 35.4927431 38.3887633, 35.4927207 38.3887611, 35.4926991 38.3887559, 35.492679 38.3887479, 35.4926608 38.3887374, 35.4926452 38.3887246, 35.4926325 38.3887099, 35.4926232 38.3886938)",roundabout,
819419031,Hadibey Caddesi,secondary,False,False,7.29,"LINESTRING (35.4928815 38.3886679, 35.4929641 38.3886782)",,38-28
819410953,,secondary,True,False,7.878,"LINESTRING (35.4928815 38.3886679, 35.4928777 38.3886853, 35.4928701 38.388702, 35.4928591 38.3887175, 35.4928449 38.3887313)",roundabout,
819410953,,secondary,True,False,9.844000000000001,"LINESTRING (35.492845 38.3885868, 35.4928591 38.3886006, 35.4928702 38.388616, 35.4928777 38.3886327, 35.4928815 38.3886502, 35.4928815 38.3886679)",roundabout,
819410951,,secondary,False,True,42.846,"LINESTRING (35.4926232 38.3886938, 35.4925977 38.3890786)",,
819410953,,secondary,True,False,9.845,"LINESTRING (35.4926232 38.3886938, 35.4926175 38.3886767, 35.4926156 38.388659, 35.4926175 38.3886414, 35.4926232 38.3886242, 35.4926325 38.3886081)",roundabout,
819408981,Cumhuriyet Caddesi,secondary,True,False,188.33499999999998,"LINESTRING (35.4926325 38.3886081, 35.4926193 38.3884799, 35.492591 38.3882818, 35.4924005 38.3879675, 35.4920961 38.3872106, 35.4920182 38.3870429, 35.4919973 38.3870002)",,
