osmid,oneway,name,highway,reversed,length,geometry,bridge,lanes,access
169707020,True,Ziya Paşa Bulvarı,tertiary,False,83.682,"LINESTRING (35.8282964 40.650813, 35.8289522 40.65097, 35.8292302 40.6510638)",,,
301465788,False,Şehit Özcan Özen Sokak,residential,False,95.951,"LINESTRING (35.8282964 40.650813, 35.8283584 40.6504759, 35.8284381 40.6500912, 35.8284654 40.6499597)",,,
"[190818168, 37994442, 37994437]",False,"['Şehit Ahmet Özsoy Caddesi', 'Hükümet Köprüsü']",tertiary,False,62.275,"LINESTRING (35.8336447 40.6524211, 35.8336122 40.652501, 35.8334375 40.6529084, 35.8334169 40.6529538)",yes,,
190818250,True,,tertiary,False,50.260000000000005,"LINESTRING (35.8336447 40.6524211, 35.8338657 40.6524437, 35.8342217 40.6525276)",,,
190818262,False,Mehmet Paşa Caddesi,tertiary,True,40.912,"LINESTRING (35.8348297 40.6531851, 35.8349776 40.6535355)",,,
499879285,False,Hitit Sokak,residential,True,49.19,"LINESTRING (35.8348297 40.6531851, 35.8353361 40.6529658)",,,
1103964413,False,Mehmet Paşa Caddesi,tertiary,True,27.49,"LINESTRING (35.8348297 40.6531851, 35.8347082 40.6529995, 35.8346847 40.6529637)",,,
190818262,False,Mehmet Paşa Caddesi,tertiary,False,67.602,"LINESTRING (35.835192 40.6541213, 35.8349776 40.6535355)",,,
498879832,True,Mehmet Paşa Caddesi,tertiary,False,79.207,"LINESTRING (35.8345503 40.6518803, 35.834368 40.6525105, 35.8343426 40.6525748)",,,
1103964414,True,,trunk,False,9.545,"LINESTRING (35.8345503 40.6518803, 35.8345266 40.6518867, 35.8344889 40.6518868, 35.8344567 40.6518786, 35.8344435 40.6518713)",,2,
187819949,False,Çelebi Mehmet Caddesi,tertiary,False,8.4,"LINESTRING (35.830551 40.6505707, 35.8305949 40.6505029)",,,
498879830,True,Mustafa Kemal Paşa Caddesi,trunk,False,6.71,"LINESTRING (35.830551 40.6505707, 35.8304773 40.650548)",,,
169707020,True,Ziya Paşa Bulvarı,tertiary,False,38.865,"LINESTRING (35.8307663 40.6516591, 35.8311765 40.6518182)",,,
"[169706987, 169707004, 169706981]",False,"['Kaya Mezarları Sk.', 'Alçak Köprü']",residential,"[False, True]",89.43100000000001,"LINESTRING (35.8307663 40.6516591, 35.8307411 40.6516974, 35.8307258 40.6517205, 35.8303798 40.6522916, 35.8303046 40.6523822)",yes,,no
1103964415,True,,trunk,False,1.54,"LINESTRING (35.8345825 40.6517433, 35.8345959 40.6517527)",,2,
358161937,False,Saraydüzü Caddesi,tertiary,False,170.792,"LINESTRING (35.8345825 40.6517433, 35.8346836 40.6517104, 35.8347494 40.6516956, 35.8348723 40.651689, 35.8351086 40.6517225, 35.8354684 40.6518184, 35.8358161 40.6520226, 35.835955 40.6520989, 35.836154 40.6521491, 35.8363467 40.6521683, 35.8364233 40.6521974)",,2,
1103964415,True,,trunk,False,16.984,"LINESTRING (35.8345959 40.6517527, 35.8346133 40.6517781, 35.8346186 40.6518064, 35.834611 40.6518345, 35.8345914 40.651859, 35.8345622 40.6518771, 35.8345503 40.6518803)",,2,
169707004,False,Kaya Mezarları Sk.,residential,True,19.517,"LINESTRING (35.8301676 40.6525214, 35.8302109 40.6524952, 35.8303046 40.6523822)",,,
37994442,False,Şehit Ahmet Özsoy Caddesi,tertiary,False,62.492000000000004,"LINESTRING (35.8334169 40.6529538, 35.8333471 40.6530695, 35.8333144 40.6531759, 35.8333496 40.6534092, 35.8333632 40.6534993)",,,
"[190818168, 37994442, 37994437]",False,"['Şehit Ahmet Özsoy Caddesi', 'Hükümet Köprüsü']",tertiary,True,62.275,"LINESTRING (35.8334169 40.6529538, 35.8334375 40.6529084, 35.8336122 40.652501, 35.8336447 40.6524211)",yes,,
169706976,False,H. Teyfik Hafız Sk.,residential,False,284.85900000000004,"LINESTRING (35.8334169 40.6529538, 35.8332613 40.6529154, 35.8330536 40.6528957, 35.832569 40.6529154, 35.832383 40.6529219, 35.8322618 40.6528989, 35.8321753 40.6529121, 35.8320325 40.6529876, 35.8319503 40.653004, 35.8317858 40.6530007, 35.8316171 40.6529416, 35.8313834 40.6528136, 35.8311108 40.652725, 35.8305657 40.6524788, 35.8303046 40.6523822)",,,
358161885,False,İbni Sina Caddesi,tertiary,True,42.836,"LINESTRING (35.8297586 40.6481396, 35.8292516 40.6481604)",,,
358161879,False,,residential,False,160.69400000000002,"LINESTRING (35.8297586 40.6481396, 35.8298148 40.6479832, 35.8299061 40.6479285, 35.8306311 40.6477282, 35.8311784 40.6476262, 35.8314103 40.6475806)",,,
358161885,False,İbni Sina Caddesi,tertiary,False,64.313,"LINESTRING (35.8297586 40.6481396, 35.8299528 40.6481526, 35.8304841 40.6483036)",,,
358161885,False,İbni Sina Caddesi,tertiary,False,42.836,"LINESTRING (35.8292516 40.6481604, 35.8297586 40.6481396)",,,
