osmid,ref,highway,oneway,reversed,length,geometry,name,bridge,access,lanes,maxspeed
104631814,33-56,secondary,False,False,89.211,"LINESTRING (33.926091 36.3778219, 33.9257212 36.3770769)",,,,,
217674158,,secondary,False,True,35.436,"LINESTRING (33.926091 36.3778219, 33.9264777 36.3777539)",,,,,
679583898,33-56,secondary,False,True,20.378,"LINESTRING (33.926091 36.3778219, 33.9258683 36.3778598)",,,,,
217674156,,residential,False,True,64.687,"LINESTRING (33.926091 36.3778219, 33.926129 36.3779666, 33.926135 36.377987, 33.9261719 36.3781135, 33.9261955 36.3781978, 33.9262492 36.3783895)",,,,,
104631814,33-56,secondary,False,True,18.661,"LINESTRING (33.9253027 36.3762654, 33.925375 36.3764228)",,,,,
104631814,33-56,secondary,False,False,90.812,"LINESTRING (33.9253027 36.3762654, 33.9249967 36.3757266, 33.9249104 36.3755134)",,,,,
104631835,,primary,True,False,66.09100000000001,"LINESTRING (33.9253027 36.3762654, 33.9255231 36.376242, 33.9260318 36.3761728)",İnönü Bulvarı,,,,
104648232,,residential,False,True,55.157,"LINESTRING (33.9253027 36.3762654, 33.9250052 36.3762755, 33.924701 36.376351)",,,,,
104631831,33-56,secondary,False,False,64.291,"LINESTRING (33.9255564 36.3800375, 33.925774 36.3805885)",,,,,
104631831,33-56,secondary,False,True,16.308,"LINESTRING (33.9255564 36.3800375, 33.9255076 36.3798962)",,,,,
52084678,,primary,True,False,83.344,"LINESTRING (33.9310165 36.3802347, 33.9300856 36.3802447)",,,,,
302987822,,residential,False,True,135.41,"LINESTRING (33.9310165 36.3802347, 33.9309849 36.3814522)",,,,,
217674125,,residential,False,False,8.764,"LINESTRING (33.927174 36.3802431, 33.9271762 36.3801643)",,,,,
217674125,,residential,False,True,7.684,"LINESTRING (33.927174 36.3802431, 33.9271742 36.3803122)",,,,,
52084678,,primary,True,False,146.724,"LINESTRING (33.927174 36.3802431, 33.9265154 36.3801853, 33.9258953 36.3800863, 33.9255564 36.3800375)",,,,,
52084678,,primary,True,False,151.124,"LINESTRING (33.9300856 36.3802447, 33.9283975 36.3802458)",,,,,
1103055230,,residential,False,True,10.279,"LINESTRING (33.9300856 36.3802447, 33.9301113 36.3801546)",,,,,
217674150,,residential,False,True,70.84,"LINESTRING (33.9300856 36.3802447, 33.930121 36.3803285, 33.9301317 36.380877)",,,,,
52084678,,primary,True,False,109.532,"LINESTRING (33.9283975 36.3802458, 33.927174 36.3802431)",,,,,
302987823,,residential,False,False,69.719,"LINESTRING (33.9283975 36.3802458, 33.9284172 36.3808726)",,,,,
1210700695,,secondary,False,False,9.186,"LINESTRING (33.9283975 36.3802458, 33.9283957 36.3801632)",,,,,
104631814,33-56,secondary,False,False,67.156,"LINESTRING (33.9256682 36.3769787, 33.925375 36.3764228)",,,,,
104631814,33-56,secondary,False,True,11.906,"LINESTRING (33.9256682 36.3769787, 33.9257212 36.3770769)",,,,,
217674147,,residential,False,True,101.982,"LINESTRING (33.9256682 36.3769787, 33.9260706 36.3768692, 33.9259936 36.3762974)",,,,,
679583898,33-56,secondary,False,False,29.323,"LINESTRING (33.9252472 36.3783001, 33.9254892 36.3781224)",,,,,
679583898,33-56,secondary,False,True,22.709,"LINESTRING (33.9252472 36.3783001, 33.9250334 36.37841)",,,,,
679583902,,secondary,False,False,21.063,"LINESTRING (33.9252472 36.3783001, 33.925177 36.3784809)",,,,,
104648239,,residential,False,True,22.99,"LINESTRING (33.9242951 36.3742179, 33.9245304 36.3741351)",,,,,
104631814,33-56,secondary,False,False,50.509,"LINESTRING (33.9242951 36.3742179, 33.9240507 36.3741013, 33.9238128 36.3739823)",,,,,
104631814,33-56,secondary,False,True,154.769,"LINESTRING (33.9242951 36.3742179, 33.9244083 36.3743564, 33.9246119 36.3747755, 33.9246625 36.3749007, 33.9249104 36.3755134)",,,,,
679075893,,residential,False,False,64.755,"LINESTRING (33.9242951 36.3742179, 33.9241324 36.3742936, 33.9240788 36.3744318, 33.9241109 36.3747169)",,,,,
104648229,,residential,False,False,26.138,"LINESTRING (33.9258478 36.3742177, 33.9255563 36.3742307)",,,,,
