osmid,oneway,name,highway,maxspeed,reversed,length,geometry,junction,lanes,access
1056642449,True,İstiklal Caddesi,secondary,50,False,72.181,"LINESTRING (34.6301014 36.800313, 34.6294322 36.7999466)",,,
662378057,True,Sakarya Caddesi,tertiary,,False,91.033,"LINESTRING (34.6265801 36.7947251, 34.6258391 36.7948362, 34.6257705 36.7948548, 34.6257198 36.7948685, 34.6255969 36.7949263)",,,
1065710845,True,,tertiary,,False,69.312,"LINESTRING (34.6265801 36.7947251, 34.6265562 36.7947249, 34.626517 36.7947142, 34.6264841 36.7946941, 34.6264607 36.7946668, 34.6264492 36.7946349, 34.6264508 36.7946018, 34.6264653 36.7945708, 34.6264931 36.7945437, 34.6265306 36.7945256, 34.6265734 36.7945184, 34.6266168 36.7945231, 34.6266558 36.794539, 34.626686 36.7945643, 34.6267039 36.7945963, 34.6267076 36.7946312, 34.6266966 36.7946651, 34.6266721 36.7946942, 34.626637 36.7947151, 34.6266134 36.7947211)",,,
662455015,True,,tertiary,30,False,7.941,"LINESTRING (34.6255969 36.7949263, 34.6255649 36.7949512, 34.6255252 36.7949674)",roundabout,,
"[47037019, 1064516398]",True,"['Soğuksu Caddesi', '4701. Sokak']",residential,,False,160.708,"LINESTRING (34.6274456 36.7975225, 34.6282873 36.7970369, 34.6284751 36.7969229, 34.6285426 36.7969455, 34.6287515 36.7970749, 34.6289253 36.7971449)",,,
662424640,True,Silifke Caddesi,residential,,False,87.84800000000001,"LINESTRING (34.6274456 36.7975225, 34.6277719 36.7977359, 34.6277871 36.797751, 34.6279528 36.7978579, 34.6280209 36.7978981, 34.6282232 36.7980069)",,,
47037017,True,Uray Caddesi,residential,,False,110.747,"LINESTRING (34.6289253 36.7971449, 34.6290482 36.7972237, 34.6294045 36.7974983, 34.6295846 36.7976371, 34.6297501 36.7977764, 34.6297848 36.7978005, 34.629821 36.7978086, 34.6298392 36.7978078)",,,
47037013,True,4706. Sokak,residential,,False,108.029,"LINESTRING (34.629717 36.79641, 34.6296638 36.7964644, 34.6296134 36.7965159, 34.6295496 36.7965722, 34.6290648 36.797, 34.6289629 36.7970976, 34.6289253 36.7971449)",,,
662456278,True,İsmet İnönü Bulvarı,primary,50,False,294.36400000000003,"LINESTRING (34.629717 36.79641, 34.6291826 36.79605, 34.6288865 36.795813, 34.628787 36.7957333, 34.6287517 36.7957029, 34.6287032 36.7956612, 34.6282935 36.7953086, 34.6282412 36.7952627, 34.6276581 36.794751, 34.6275876 36.7946903, 34.6274117 36.7945184)",,,
211507395,False,Silifke Caddesi,tertiary,,True,62.16,"LINESTRING (34.6250402 36.7946505, 34.62442 36.7943939)",,,
1063616743,True,Silifke Caddesi,tertiary,,False,35.388,"LINESTRING (34.6250402 36.7946505, 34.6254197 36.794745)",,,
1155720925,True,5234. Sokak,residential,,False,19.444,"LINESTRING (34.6324301 36.801596, 34.632277 36.8017207)",,,
1068152926,True,İstiklal Caddesi,secondary,50,False,123.548,"LINESTRING (34.6324301 36.801596, 34.6321527 36.8014359, 34.6321298 36.8014227, 34.6316704 36.8011729, 34.6312875 36.8009657)",,,
1063981531,True,Uray Caddesi,residential,50,False,7.784,"LINESTRING (34.6341412 36.8008653, 34.6340639 36.8008326)",,,
"[1063983304, 1063983305]",False,118. Cadde,"['residential', 'unclassified']",,False,56.664,"LINESTRING (34.6341412 36.8008653, 34.6342234 36.8007676, 34.6343865 36.8008478, 34.634553 36.80065)",,,
1068152928,True,,secondary,,False,31.611,"LINESTRING (34.6333984 36.8020273, 34.6333928 36.8020745, 34.6333703 36.8021183, 34.6333327 36.8021549, 34.6332834 36.8021811, 34.6332267 36.8021945, 34.6331675 36.8021941)",,,
1068152926,True,İstiklal Caddesi,secondary,50,False,72.065,"LINESTRING (34.6330046 36.8019982, 34.6329984 36.8018952, 34.6328934 36.8018303, 34.6324301 36.801596)",,,
1068152928,True,,secondary,,False,15.982,"LINESTRING (34.6330046 36.8019982, 34.6330273 36.8019539, 34.6330654 36.8019169, 34.6331154 36.8018906)",,,
665111505,True,5212 Sokak,residential,,False,84.932,"LINESTRING (34.6316166 36.7993736, 34.6310837 36.8000071)",,,
665111507,True,Uray Caddesi,residential,50,False,67.577,"LINESTRING (34.6316166 36.7993736, 34.6312463 36.7991076, 34.6311085 36.7990086, 34.63107 36.7989558)",,,
"[1132441334, 1056642444, 212317494]",False,"['5212 Sokak', '5205 Sokak']",residential,,True,136.536,"LINESTRING (34.6316166 36.7993736, 34.6318553 36.7990673, 34.6314124 36.7988184, 34.6311813 36.7986885, 34.6309685 36.7988069)",,,
653815088,True,Kuvayi Milliye Caddesi,tertiary,50,False,93.114,"LINESTRING (34.6298659 36.7978696, 34.6297017 36.798026, 34.6291708 36.7984951)",,,
654275175,False,,residential,,False,7.319,"LINESTRING (34.6298659 36.7978696, 34.6298477 36.7978389, 34.6298392 36.7978078)",,,
112937896,True,Kuvayi Milliye Caddesi,tertiary,50,False,63.081999999999994,"LINESTRING (34.6283278 36.799337, 34.6281985 36.7994689, 34.627884 36.7997792)",,,
1056642449,True,İstiklal Caddesi,secondary,50,False,131.90099999999998,"LINESTRING (34.6283278 36.799337, 34.6281812 36.7992586, 34.6278571 36.799106, 34.6275589 36.7989642, 34.6273285 36.7988616, 34.627059 36.7987254)",,,
1063988779,True,5204. Sokak,residential,,False,65.48,"LINESTRING (34.6326161 36.801582, 34.6329743 36.8010677)",,,
212317495,False,Lina Nasif Sokak,residential,,False,80.149,"LINESTRING (34.6331056 36.8002631, 34.6326609 36.8008898)",,,
114461782,True,Uray Caddesi,residential,50,False,128.472,"LINESTRING (34.6331056 36.8002631, 34.6326458 36.7999982, 34.6319473 36.7995743)",,,
1068152928,True,,secondary,,False,14.969999999999999,"LINESTRING (34.6331675 36.8021941, 34.6331054 36.8021775, 34.633053 36.8021455, 34.6330326 36.802121)",,,
1068152928,True,,secondary,,False,14.297,"LINESTRING (34.6330326 36.802121, 34.6330165 36.8021017, 34.6329998 36.8020507, 34.6330046 36.8019982)",,,
1056642449,True,İstiklal Caddesi,secondary,50,False,126.375,"LINESTRING (34.627059 36.7987254, 34.6265533 36.7984393, 34.6264117 36.7983655, 34.6262267 36.7982328, 34.625967 36.7980076)",,,
