osmid,oneway,name,highway,junction,reversed,length,geometry,bridge,maxspeed
32432400,True,Cumhuriyet Meydanı,primary,roundabout,False,8.409,"LINESTRING (36.1605839 36.2025577, 36.1605658 36.2026319)",,
52871714,False,Ata Köprüsü Sokak,primary,,True,14.246,"LINESTRING (36.1605839 36.2025577, 36.1607315 36.2025105)",,
52871713,False,Cumhuriyet Alanı 1 Sokak,primary,,True,17.381,"LINESTRING (36.1606755 36.2023741, 36.1605718 36.2023923, 36.1604874 36.2023734)",,
"[671533961, 287148501]",True,"['Ata Köprüsü', 'Ata Köprüsü Sokak']",primary,,False,52.987,"LINESTRING (36.1606755 36.2023741, 36.1610718 36.2022342, 36.1611869 36.2021469)",yes,
32423696,False,Kurtuluş Caddesi,primary,,False,11.685,"LINESTRING (36.1652953 36.2012604, 36.1654058 36.201316)",,
32423684,False,Kurtuluş Caddesi,primary,,False,58.821,"LINESTRING (36.1652953 36.2012604, 36.1651064 36.2010494, 36.1650239 36.2009625, 36.1649039 36.2008361)",,
287149994,False,Kemal Paşa Caddesi,primary,,True,75.86999999999999,"LINESTRING (36.1652953 36.2012604, 36.1649564 36.2014379, 36.1646143 36.2016176, 36.1645864 36.2016323)",,
213773646,False,12.San. Caddesi,residential,,True,67.299,"LINESTRING (36.1684035 36.2078199, 36.1681251 36.2072579)",,
936657667,True,Yavuz Sultan Selim Caddesi,primary,,False,4.551,"LINESTRING (36.1684035 36.2078199, 36.1684542 36.2078186)",,
52871701,False,İzzet Güçlü Caddesi,primary,,True,44.964,"LINESTRING (36.1622545 36.2069507, 36.1622133 36.2065477)",,40
936657665,True,İzzet Güçlü Caddesi,primary,,False,79.52799999999999,"LINESTRING (36.1622545 36.2069507, 36.1623443 36.2074711, 36.1624 36.2075647, 36.1624824 36.2076192)",,40
52871701,False,İzzet Güçlü Caddesi,primary,,True,33.977,"LINESTRING (36.1621186 36.2057497, 36.162087 36.2054452)",,40
52871701,False,İzzet Güçlü Caddesi,primary,,False,89.203,"LINESTRING (36.1621186 36.2057497, 36.1621943 36.2062552, 36.1622019 36.2063063, 36.1622133 36.2065477)",,40
213773667,False,2.(Ada Çarşısı) Sokak,residential,,True,31.666999999999998,"LINESTRING (36.1621186 36.2057497, 36.162393 36.2056827, 36.1624564 36.2056672)",,
52871701,False,İzzet Güçlü Caddesi,primary,,False,88.874,"LINESTRING (36.1620232 36.2046476, 36.162087 36.2054452)",,40
286938997,True,İzzet Güçlü 1 Sokak,primary,,False,32.363,"LINESTRING (36.1620232 36.2046476, 36.1623631 36.2045502)",,
32432400,True,Cumhuriyet Meydanı,primary,roundabout,False,14.268,"LINESTRING (36.1604131 36.2027652, 36.160337 36.202784, 36.1602576 36.2027857)",,
52871705,True,Atatürk Caddesi,primary,,False,178.04,"LINESTRING (36.1604131 36.2027652, 36.1604341 36.2029987, 36.1604381 36.2034678, 36.160358 36.2043634)",,
32432400,True,Cumhuriyet Meydanı,primary,roundabout,False,40.921,"LINESTRING (36.160102 36.2027326, 36.1600415 36.2026775, 36.1600049 36.2026101, 36.1599955 36.2025369, 36.1600144 36.2024649, 36.1600597 36.202401)",,
52871702,True,Cumhuriyet Caddesi,secondary,,False,101.318,"LINESTRING (36.160102 36.2027326, 36.1599419 36.2028409, 36.159777 36.202909, 36.1591209 36.2031764)",,
32432400,True,Cumhuriyet Meydanı,primary,roundabout,False,9.847999999999999,"LINESTRING (36.1600597 36.202401, 36.1600979 36.2023691, 36.1601422 36.2023431)",,
52871703,True,Adnan Menderes Caddesi,secondary,,False,96.96199999999999,"LINESTRING (36.1600597 36.202401, 36.159747 36.2023886, 36.1594984 36.2023706, 36.1589829 36.20233)",,
32432400,True,Cumhuriyet Meydanı,primary,roundabout,False,15.319,"LINESTRING (36.1602576 36.2027857, 36.1601804 36.2027701, 36.160102 36.2027326)",,
