osmid,oneway,name,highway,reversed,length,ref,junction,geometry,maxspeed,bridge,lanes
30109992,True,Oba Market Road,primary,False,90.858,,,"LINESTRING (5.6208474 6.3350616, 5.6214708 6.3345289)",,,
543621603,False,1st Ibiwe Street,tertiary,False,9.852,,,"LINESTRING (5.6208474 6.3350616, 5.6208715 6.3351469)",,,
499710956,True,Mission Road,tertiary,False,75.728,,,"LINESTRING (5.6220522 6.3341775, 5.6217232 6.3335801)",,,
543621604,True,Oba Market Road,primary,False,36.968,,,"LINESTRING (5.6220522 6.3341775, 5.6217974 6.3343929)",,,
543621605,True,Oba Market Road,primary,False,34.954,,,"LINESTRING (5.6225102 6.333821, 5.6222735 6.3340295)",,,
26237445,True,,trunk,False,92.38,A2,roundabout,"LINESTRING (5.6225102 6.333821, 5.6220941 6.3337607, 5.6218779 6.3336798, 5.6217232 6.3335801)",,,
26237445,True,,trunk,False,92.298,A2,roundabout,"LINESTRING (5.6222564 6.3321153, 5.6225324 6.3320403, 5.6227893 6.3320033, 5.623078 6.3320239)",,,
42755993,False,,residential,True,247.28400000000002,,,"LINESTRING (5.6222564 6.3321153, 5.6219476 6.3311624, 5.6216776 6.3303533, 5.6215705 6.3299986)",,,
26237445,True,,trunk,False,14.155,A2,roundabout,"LINESTRING (5.6214547 6.3328181, 5.6215054 6.3327012)",,,
1177422226,False,,residential,True,54.221000000000004,,,"LINESTRING (5.6214547 6.3328181, 5.6213576 6.3329787, 5.6212771 6.33304, 5.6211752 6.333064, 5.62108 6.333052)",,,
26237445,True,,trunk,False,19.473,A2,roundabout,"LINESTRING (5.6217232 6.3335801, 5.6215963 6.3334586)",,,
226063353,False,Plymouth Road,tertiary,False,54.914,,,"LINESTRING (5.6205259 6.3322534, 5.6209135 6.3319444)",,,
226063353,False,Plymouth Road,tertiary,True,59.126,,,"LINESTRING (5.6205259 6.3322534, 5.6200382 6.332472)",,,
44659655,False,Oba Palace Road,residential,True,107.999,,,"LINESTRING (5.6205259 6.3322534, 5.6207147 6.3324867, 5.62108 6.333052)",,,
226091666,False,,tertiary,False,59.744,,,"LINESTRING (5.6251734 6.3367699, 5.624833 6.3363525)",,,
226091666,False,,tertiary,True,13.726,,,"LINESTRING (5.6251734 6.3367699, 5.6252527 6.3368649)",,,
26237445,True,,trunk,False,25.844,A2,roundabout,"LINESTRING (5.6227401 6.3337785, 5.6226303 6.3337988, 5.6225102 6.333821)",,,
226091666,False,,tertiary,True,112.146,,,"LINESTRING (5.6227401 6.3337785, 5.6227959 6.3338464, 5.6233819 6.3345597)",,,
534793372,False,Sakponba Road,secondary,False,99.08,,,"LINESTRING (5.6246799 6.3316609, 5.6247533 6.3315939, 5.6253279 6.3311333, 5.625377 6.3311014)",,,
534793372,False,Sakponba Road,secondary,True,103.625,,,"LINESTRING (5.6246799 6.3316609, 5.6245329 6.3317828, 5.6240213 6.3321744, 5.6239417 6.3322353)",,,
41203728,False,Ihondor Street,residential,False,87.952,,,"LINESTRING (5.6261735 6.3368251, 5.6258043 6.3375258)",,,
41203728,False,Ihondor Street,residential,True,87.952,,,"LINESTRING (5.6258043 6.3375258, 5.6261735 6.3368251)",,,
226091666,False,,tertiary,False,67.179,,,"LINESTRING (5.6258043 6.3375258, 5.6257073 6.3374095, 5.6254162 6.3370608)",,,
30109992,True,Oba Market Road,primary,False,143.904,,,"LINESTRING (5.6214708 6.3345289, 5.6217532 6.3343081, 5.6218283 6.3342343, 5.6218511 6.3341623, 5.6218564 6.334069, 5.621784 6.3338771, 5.6215963 6.3334586)",,,
43022960,False,Iwebo Street,residential,False,110.619,,,"LINESTRING (5.6214708 6.3345289, 5.6213862 6.3343681, 5.6212745 6.3341804, 5.6211705 6.3340244, 5.6208867 6.3337294)",,,
42434628,False,,residential,False,72.538,,,"LINESTRING (5.626334 6.3345388, 5.6259037 6.3350314)",,,
42434629,False,,residential,True,106.834,,,"LINESTRING (5.626334 6.3345388, 5.6258068 6.3341139, 5.6256947 6.334025, 5.6255794 6.3339384)",,,
42434628,False,,residential,True,72.538,,,"LINESTRING (5.6259037 6.3350314, 5.626334 6.3345388)",,,
534793372,False,Sakponba Road,secondary,False,51.578,,,"LINESTRING (5.625377 6.3311014, 5.6257256 6.330793)",,,
534793372,False,Sakponba Road,secondary,True,99.08,,,"LINESTRING (5.625377 6.3311014, 5.6253279 6.3311333, 5.6247533 6.3315939, 5.6246799 6.3316609)",,,
42500172,False,Forestry Lane,residential,True,168.558,,,"LINESTRING (5.6253859 6.3346744, 5.6249059 6.3352643, 5.6244234 6.3358503)",,,
518258588,True,Akpakpava Road,trunk,False,259.548,A2,,"LINESTRING (5.6253859 6.3346744, 5.6251628 6.3344733, 5.6246356 6.3339982, 5.6242563 6.3336564, 5.6240334 6.3334555, 5.6239458 6.3333766, 5.6238808 6.3333342, 5.6238137 6.3333099, 5.6237283 6.3333039, 5.6235588 6.3333134)",30,,
226091666,False,,tertiary,False,41.446,,,"LINESTRING (5.6244234 6.3358503, 5.6241873 6.3355607)",,,
226091666,False,,tertiary,True,64.782,,,"LINESTRING (5.6244234 6.3358503, 5.6247925 6.3363029)",,,
42500172,False,Forestry Lane,residential,False,168.558,,,"LINESTRING (5.6244234 6.3358503, 5.6249059 6.3352643, 5.6253859 6.3346744)",,,
42568758,False,Reservation Road,tertiary,False,6.947,,,"LINESTRING (5.6234218 6.3287238, 5.6233805 6.3286767)",,,
543828444,True,,trunk_link,False,21.664,,,"LINESTRING (5.6234218 6.3287238, 5.6236174 6.3287366)",,,
607645551,True,Reservation Road,tertiary,False,22.101,,,"LINESTRING (5.6234218 6.3287238, 5.6235776 6.3288484)",,,
42623279,False,Abehe Street,residential,False,69.995,,,"LINESTRING (5.6185991 6.3350005, 5.6191693 6.3347265)",,,
42623294,False,Ekpenede Street,residential,False,110.889,,,"LINESTRING (5.6185991 6.3350005, 5.6188686 6.3359611)",,,
42623294,False,Ekpenede Street,residential,True,140.674,,,"LINESTRING (5.6185991 6.3350005, 5.6179576 6.3339078)",,,
42623279,False,Abehe Street,residential,True,10.71,,,"LINESTRING (5.6215308 6.3333459, 5.6214433 6.3333873)",,,
26237445,True,,trunk,False,60.95,A2,roundabout,"LINESTRING (5.6215308 6.3333459, 5.6214675 6.3332213, 5.6214332 6.3330953, 5.6214547 6.3328181)",,,
