osmid,highway,oneway,reversed,length,geometry,bridge,junction,lanes,ref
316742900,tertiary,False,False,8.142,"LINESTRING (3.345803 7.1532035, 3.345824 7.1531333)",,,,
395437045,primary,True,False,330.446,"LINESTRING (3.345803 7.1532035, 3.3456226 7.1529267, 3.3454341 7.1526666, 3.3452624 7.1524124, 3.345133 7.1522121, 3.3450318 7.1520199, 3.3449587 7.1518602, 3.3448461 7.1515794, 3.344718 7.1513033, 3.3445886 7.1510598, 3.3444793 7.1508342, 3.3443438 7.1506189)",,,,
316742900,tertiary,False,True,8.142,"LINESTRING (3.345824 7.1531333, 3.345803 7.1532035)",,,,
395437048,primary,True,False,5.142,"LINESTRING (3.345824 7.1531333, 3.3458492 7.1531722)",,,,
316742900,tertiary,False,False,312.175,"LINESTRING (3.345824 7.1531333, 3.3460895 7.1521745, 3.3462784 7.1514796, 3.3465035 7.1507847, 3.3466206 7.1504403)",,,,
557073775,residential,False,True,28.207,"LINESTRING (3.3466206 7.1504403, 3.3463652 7.1504517)",,,,
316742900,tertiary,False,True,312.175,"LINESTRING (3.3466206 7.1504403, 3.3465035 7.1507847, 3.3462784 7.1514796, 3.3460895 7.1521745, 3.345824 7.1531333)",,,,
"[557073776, 557073766, 557073767]",residential,False,True,222.05899999999997,"LINESTRING (3.3466206 7.1504403, 3.3467731 7.1504409, 3.3468516 7.1504325, 3.3470321 7.1504204, 3.3472078 7.1504084, 3.3476865 7.1503712, 3.3477549 7.1503632, 3.3478241 7.1503615, 3.3479066 7.1503612, 3.3479855 7.1503609, 3.348053 7.1503629, 3.3481425 7.1503605, 3.3486277 7.1503139)",yes,,,
557073774,tertiary,False,False,8.332,"LINESTRING (3.3443438 7.1506189, 3.3444192 7.1506231)",,,,
395437050,tertiary,False,True,34.599999999999994,"LINESTRING (3.3443438 7.1506189, 3.3442362 7.150628, 3.3440329 7.1506585)",,,,
557073774,tertiary,False,True,8.332,"LINESTRING (3.3444192 7.1506231, 3.3443438 7.1506189)",,,,
395437048,primary,True,False,320.522,"LINESTRING (3.3444192 7.1506231, 3.3445966 7.150942, 3.3447563 7.1512601, 3.3449171 7.151616, 3.3450723 7.152002, 3.3451545 7.1521716, 3.3452021 7.1522501, 3.3452597 7.152335, 3.3455394 7.1527391, 3.345824 7.1531333)",,,,
