osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,bridge
506253571,True,시청로,tertiary,50,False,11.076,"LINESTRING (127.1164149 36.8158753, 127.1164326 36.8159265, 127.1164481 36.8159713)",,
484152363,False,백석2길,tertiary,40,True,8.603,"LINESTRING (127.1171751 36.8186915, 127.1170797 36.8187039)",4,
508981878,True,시청로,tertiary,50,False,189.023,"LINESTRING (127.1167151 36.817032, 127.1168592 36.8175219, 127.1171751 36.8186915)",,
114815593,False,검은들로,tertiary,,False,138.813,"LINESTRING (127.1088219 36.8124963, 127.1103319 36.8121849)",,
480240817,False,,secondary,,True,10.573,"LINESTRING (127.1088219 36.8124963, 127.1087054 36.8125148)",,
506741402,True,번영로,secondary,80,False,344.756,"LINESTRING (127.1088219 36.8124963, 127.1097332 36.8155097)",4,
484152365,False,검은들로,tertiary,,True,12.302,"LINESTRING (127.1150303 36.8112231, 127.1148975 36.8112537)",,
484152364,True,시청로,tertiary,50,False,531.7850000000001,"LINESTRING (127.1150303 36.8112231, 127.1160094 36.8145326, 127.1164149 36.8158753)",,
506741402,True,번영로,secondary,80,False,13.711,"LINESTRING (127.1097332 36.8155097, 127.109774 36.8156286)",4,
"[496060000, 496060003, 114815588]",True,불당5교,tertiary,,False,136.79399999999998,"LINESTRING (127.1097332 36.8155097, 127.1098931 36.8154735, 127.1102176 36.8154061, 127.1107393 36.8153016, 127.1112212 36.8152027)",2,yes
114815593,False,검은들로,tertiary,,True,144.647,"LINESTRING (127.111906 36.8118624, 127.1103319 36.8121849)",,
484152365,False,검은들로,tertiary,,False,274.782,"LINESTRING (127.111906 36.8118624, 127.1148975 36.8112537)",,
484152366,False,불당4로,tertiary,,True,140.315,"LINESTRING (127.111906 36.8118624, 127.1114817 36.8106471)",,
506757065,True,,tertiary,,False,8.566,"LINESTRING (127.1163203 36.8158894, 127.1164149 36.8158753)",2,
506757066,True,시청로,tertiary,50,False,530.823,"LINESTRING (127.1163203 36.8158894, 127.1159261 36.8145412, 127.1157846 36.8140826, 127.1153893 36.8127797, 127.1148975 36.8112537)",,
114815593,False,검은들로,tertiary,,False,144.647,"LINESTRING (127.1103319 36.8121849, 127.111906 36.8118624)",,
