osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,bridge,width,access
174153954,Максим Горки,residential,False,True,16.593,"LINESTRING (21.4278668 41.9962465, 21.4279716 41.9962274, 21.4280636 41.9962179)",,,,,
230981171,Васил Главинов,primary,False,False,15.491,"LINESTRING (21.4278668 41.9962465, 21.4278629 41.9963284, 21.4278702 41.9963855)",3,40,,,
"[230981171, 671889811]",Васил Главинов,primary,False,True,84.699,"LINESTRING (21.4278668 41.9962465, 21.4278849 41.9960677, 21.4279447 41.9956464, 21.4279612 41.9954881)","['4', '3']",40,,,
943537147,Булевар Блаже Конески,primary,True,False,15.198,"LINESTRING (21.4282382 41.9972571, 21.4283048 41.9973845)",3,50,,,
"[173030587, 832164503]","['Мост Гоце Делчев', 'Булевар Гоце Делчев']",primary,True,False,143.713,"LINESTRING (21.4317503 41.99929, 21.4316171 41.9992793, 21.4301263 41.99916, 21.4300212 41.9991514)",3,50,yes,,
16536711,Булевар Блаже Конески,primary_link,True,False,40.429,"LINESTRING (21.4290947 41.9984778, 21.4291756 41.9986607, 21.4292378 41.9988254)",1,50,,,
229980933,Булевар Блаже Конески,primary,True,False,98.03,"LINESTRING (21.4290947 41.9984778, 21.429332 41.9986797, 21.4295428 41.9988079, 21.4298371 41.9989239, 21.430031 41.9990012)",2,50,,,
190344886,Булевар Партизански одреди,primary,True,False,75.304,"LINESTRING (21.4275561 41.9975964, 21.4267074 41.997843)",3,50,,,
230981173,Булевар Блаже Конески,primary,True,False,15.252,"LINESTRING (21.4281324 41.9974346, 21.4280647 41.997307)",2,50,,,
230981170,Булевар Партизански одреди,primary,True,False,50.909,"LINESTRING (21.4281324 41.9974346, 21.4280263 41.9974649, 21.4275561 41.9975964)",2,50,,,
173140435,,primary_link,True,False,72.606,"LINESTRING (21.4283348 41.9977792, 21.4282445 41.9977121, 21.4281658 41.9976566, 21.4280934 41.9976146, 21.4280385 41.9975924, 21.4279457 41.9975738, 21.4278539 41.9975698, 21.4277929 41.9975735, 21.4275561 41.9975964)",1,,,,
230981174,Булевар Блаже Конески,primary,True,False,41.81,"LINESTRING (21.4283348 41.9977792, 21.4281801 41.9975181, 21.4281324 41.9974346)",2,50,,,
177629071,Булевар Блаже Конески,primary,True,False,98.555,"LINESTRING (21.4289341 41.9985455, 21.4283348 41.9977792)",3,50,,,
"[177629072, 229980929, 669836788]",Булевар Илинден,secondary,True,False,137.546,"LINESTRING (21.4289076 41.9994515, 21.4284271 41.999765, 21.427949 42.0000601, 21.427633 42.0002467)","['4', '3']",50,,,
16536771,Булевар Илинден,secondary,True,False,38.99,"LINESTRING (21.428806 41.9993435, 21.4290479 41.9992123, 21.4291919 41.9991419)",2,50,,,
177629074,Булевар Блаже Конески,primary_link,True,False,93.652,"LINESTRING (21.428806 41.9993435, 21.4289577 41.9991244, 21.4290188 41.9990074, 21.4290249 41.9989857, 21.4290313 41.9988735, 21.4289341 41.9985455)",1,50,,,
172165400,,primary_link,True,False,73.801,"LINESTRING (21.4318032 41.9999119, 21.4318125 41.9997628, 21.4318326 41.9996731, 21.4318822 41.9995119, 21.4318884 41.9994538, 21.4318778 41.9994083, 21.4318575 41.9993718, 21.4317503 41.99929)",1,50,,,
