osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,tunnel
97588393,437,Østergade,secondary,50,False,False,19.145,"LINESTRING (9.0591067 55.3682743, 9.0588869 55.3683928)",,
97588393,437,Østergade,secondary,50,False,True,10.953,"LINESTRING (9.0591067 55.3682743, 9.0592499 55.3682188)",,
24310568,,Sønderalle,tertiary,50,False,True,80.375,"LINESTRING (9.0591067 55.3682743, 9.0589883 55.3681478, 9.0588988 55.3679032, 9.0587806 55.3675804)",,
97588393,437,Østergade,secondary,50,False,True,19.145,"LINESTRING (9.0588869 55.3683928, 9.0591067 55.3682743)",,
24310562,437,Rødding Torvet,secondary,50,False,False,79.354,"LINESTRING (9.0588869 55.3683928, 9.0587343 55.3684385, 9.058584 55.3684655, 9.0577764 55.3685528, 9.0576747 55.3685639)",,
229377890,,Rødding Torvet,tertiary,50,False,True,64.95100000000001,"LINESTRING (9.0588869 55.3683928, 9.0590381 55.3685212, 9.0592422 55.3688512, 9.0592888 55.3689265)",,
24310568,,Sønderalle,tertiary,50,False,False,7.215,"LINESTRING (9.0582005 55.3659458, 9.0582182 55.3660099)",,
97588395,,Gramvej,tertiary,50,False,True,80.91300000000001,"LINESTRING (9.0582005 55.3659458, 9.0581072 55.3656247, 9.0580567 55.3652235)",2,
220949597,,Sønder Tingvej,residential,50,False,True,136.364,"LINESTRING (9.0582005 55.3659458, 9.0588313 55.3658345, 9.0593515 55.3657395, 9.0602616 55.3655829)",,
97588393,437,Østergade,secondary,50,False,False,89.355,"LINESTRING (9.0659783 55.3665829, 9.0652493 55.3666888, 9.0652016 55.3666957, 9.0648058 55.3667533, 9.0646084 55.366782)",,
24310568,,Sønderalle,tertiary,50,False,True,7.215,"LINESTRING (9.0582182 55.3660099, 9.0582005 55.3659458)",,
24310568,,Sønderalle,tertiary,50,False,False,86.643,"LINESTRING (9.0582182 55.3660099, 9.0583321 55.3663285, 9.0584911 55.3667735)",,
"[661267688, 661267686]",,Søndergyden,residential,"['40', '50']",False,False,137.123,"LINESTRING (9.0582182 55.3660099, 9.0575393 55.3660991, 9.057416 55.3661153, 9.0569722 55.3661736, 9.0560872 55.366232)",,
24310546,,Kongevej,tertiary,50,False,False,6.389,"LINESTRING (9.0598379 55.3702434, 9.0598195 55.3701869)",,
24310546,,Kongevej,tertiary,50,False,True,134.738,"LINESTRING (9.0598379 55.3702434, 9.0598205 55.3706859, 9.059733 55.3709609, 9.0594662 55.3714265)",,
94332683,,Rødding Nørregade,residential,,False,True,105.12899999999999,"LINESTRING (9.0598379 55.3702434, 9.0608845 55.370177, 9.0614914 55.3701387)",,
31815120,,Møgelmosevej,residential,,False,False,16.092,"LINESTRING (9.0520876 55.3706584, 9.0518565 55.3707192)",,
31815121,,Møgelmosevej,residential,,False,False,33.6,"LINESTRING (9.0520876 55.3706584, 9.0519469 55.370367)",,
31815120,,Møgelmosevej,residential,,False,True,139.973,"LINESTRING (9.0520876 55.3706584, 9.052617 55.3705769, 9.0528161 55.370561, 9.0529891 55.3705471, 9.0535686 55.3705273, 9.0538297 55.3705184, 9.0539379 55.3705147, 9.0542777 55.3705031)",,
31815121,,Møgelmosevej,residential,,False,True,26.067,"LINESTRING (9.0518495 55.3701392, 9.0519469 55.370367)",,
101606247,437,Rødding Vestergade,secondary,50,False,True,6.606,"LINESTRING (9.0552054 55.3685394, 9.0551198 55.3685053)",,
"[933762233, 31815123, 933762228]",,Kirkebakken,residential,50,False,False,241.03000000000003,"LINESTRING (9.0552054 55.3685394, 9.0550461 55.3686234, 9.0547038 55.3686911, 9.0546099 55.3687257, 9.0545891 55.3687719, 9.0546455 55.3691267, 9.0547293 55.3695494, 9.0547361 55.3695839, 9.0547596 55.3697027, 9.0547698 55.369745, 9.0547918 55.3698359, 9.0549222 55.3703744, 9.0549493 55.3704863)",,
101606247,437,Rødding Vestergade,secondary,50,False,False,89.119,"LINESTRING (9.0552054 55.3685394, 9.0553845 55.3685984, 9.0555017 55.3686173, 9.0555476 55.3686207, 9.0556598 55.3686289, 9.0558269 55.3686277, 9.0563727 55.3686195, 9.0565816 55.3686169)",,
31815120,,Møgelmosevej,residential,,False,False,42.479,"LINESTRING (9.0549493 55.3704863, 9.0542777 55.3705031)",,
31815120,,Møgelmosevej,residential,,False,True,54.08,"LINESTRING (9.0549493 55.3704863, 9.0558031 55.3704527)",,
"[933762233, 31815123, 933762228]",,Kirkebakken,residential,50,False,True,241.03,"LINESTRING (9.0549493 55.3704863, 9.0549222 55.3703744, 9.0547918 55.3698359, 9.0547698 55.369745, 9.0547596 55.3697027, 9.0547361 55.3695839, 9.0547293 55.3695494, 9.0546455 55.3691267, 9.0545891 55.3687719, 9.0546099 55.3687257, 9.0547038 55.3686911, 9.0550461 55.3686234, 9.0552054 55.3685394)",,
94332676,,Gammel Hygumvej,residential,50,False,False,58.583,"LINESTRING (9.0514384 55.3660132, 9.0514857 55.3661456, 9.0515559 55.3663085, 9.0516048 55.3665308)",,
"[94332672, 1184049482, 1184049483, 661267688]",,Søndergyden,residential,"['40', '50']",False,True,298.84099999999995,"LINESTRING (9.0514384 55.3660132, 9.0515421 55.3660112, 9.0524726 55.3660425, 9.0525117 55.3660438, 9.05264 55.3660516, 9.0528282 55.366126, 9.0529887 55.3661511, 9.0531585 55.366151, 9.0533555 55.3661257, 9.0534553 55.3661184, 9.0537753 55.3661464, 9.053991 55.3661653, 9.0548284 55.366248, 9.0551194 55.3662699, 9.0554247 55.3662699, 9.0558153 55.3662476, 9.0560872 55.366232)",,
94332686,,Østergade,residential,,False,True,63.134,"LINESTRING (9.063437 55.3670349, 9.0630861 55.3665033)",,
97588393,437,Østergade,secondary,50,False,False,109.66199999999999,"LINESTRING (9.063437 55.3670349, 9.0625239 55.36733, 9.0619285 55.3675224)",,
97588393,437,Østergade,secondary,50,False,True,66.486,"LINESTRING (9.063437 55.3670349, 9.0639642 55.3668966, 9.0644118 55.3668125)",,
24310562,437,Rødding Torvet,secondary,50,False,True,79.354,"LINESTRING (9.0576747 55.3685639, 9.0577764 55.3685528, 9.058584 55.3684655, 9.0587343 55.3684385, 9.0588869 55.3683928)",,
94332709,,Frøsvej,residential,,False,False,195.336,"LINESTRING (9.0576747 55.3685639, 9.057746 55.3688109, 9.0578711 55.3692439, 9.0580054 55.3697088, 9.0581754 55.3702974)",,
101606247,437,Rødding Vestergade,secondary,50,False,True,69.376,"LINESTRING (9.0576747 55.3685639, 9.0571139 55.3686016, 9.0570501 55.3686059, 9.0565816 55.3686169)",,
229377886,,Gammelengvej,residential,50,False,False,114.999,"LINESTRING (9.0645682 55.3657954, 9.0644103 55.3661702, 9.0643476 55.3664499, 9.0643459 55.3665091, 9.0643431 55.3666077, 9.0643559 55.3666847, 9.0644118 55.3668125)",,
94332730,,Louisevej,residential,,False,False,48.766999999999996,"LINESTRING (9.0608181 55.3685377, 9.0608727 55.3686832, 9.0609924 55.3689649)",,
