osmid,highway,maxspeed,junction,oneway,reversed,length,geometry,name,lanes
24423725,tertiary,50,roundabout,True,False,30.633000000000003,"LINESTRING (11.1046187 55.6794429, 11.1046729 55.6794677, 11.1047027 55.6795033, 11.1047022 55.6795426, 11.1046933 55.6795529, 11.1046716 55.679578, 11.1046169 55.6796024, 11.1045488 55.6796111, 11.1044807 55.6796023)",,
24423726,tertiary,50,,False,True,61.131,"LINESTRING (11.1043967 55.6795005, 11.1035848 55.6793435, 11.1034744 55.6793221)",Elmegade,
1177587651,tertiary,50,roundabout,True,False,17.457,"LINESTRING (11.1043967 55.6795005, 11.1044198 55.6794719, 11.1044591 55.6794497, 11.1045097 55.6794365, 11.1045652 55.6794342, 11.1046187 55.6794429)",,
24423727,tertiary,50,,False,False,38.585,"LINESTRING (11.1044807 55.6796023, 11.1042176 55.679916)",Slagelsevej,
24423725,tertiary,50,roundabout,True,False,13.45,"LINESTRING (11.1044807 55.6796023, 11.1044371 55.6795847, 11.1044065 55.6795598, 11.1043925 55.6795306, 11.1043967 55.6795005)",,
24423727,tertiary,50,,False,True,106.966,"LINESTRING (11.1035715 55.6807993, 11.1035762 55.6807531, 11.1036104 55.6806491, 11.1036295 55.6806164, 11.1036668 55.6805526, 11.1038987 55.6802862, 11.1039445 55.680233, 11.1040064 55.6801611, 11.1042176 55.679916)",Slagelsevej,
24423728,tertiary,50,roundabout,True,False,17.147,"LINESTRING (11.1035715 55.6807993, 11.1036249 55.6808059, 11.1036715 55.6808221, 11.1037063 55.6808459, 11.1037255 55.6808748, 11.1037269 55.6809056)",,
24423728,tertiary,50,roundabout,True,False,31.549000000000003,"LINESTRING (11.1037269 55.6809056, 11.1037125 55.6809327, 11.1036843 55.6809561, 11.1036451 55.6809737, 11.1035982 55.6809839, 11.1035482 55.6809857, 11.1034992 55.6809789, 11.1034561 55.6809641, 11.1034229 55.6809427, 11.1034026 55.6809166, 11.1033972 55.6808883)",,
"[149877214, 40228479]",tertiary,50,,False,False,134.217,"LINESTRING (11.1037269 55.6809056, 11.1038172 55.6809092, 11.1045065 55.6809437, 11.1050337 55.6809701, 11.1053374 55.6809853, 11.105544 55.6809956, 11.1058598 55.6810098)",Holbækvej,
24423728,tertiary,50,roundabout,True,False,16.328,"LINESTRING (11.1033972 55.6808883, 11.1034077 55.6808596, 11.1034335 55.6808341, 11.1034721 55.6808143, 11.1035197 55.6808023, 11.1035715 55.6807993)",,
24423731,tertiary,50,,False,False,72.987,"LINESTRING (11.1033972 55.6808883, 11.10332 55.680887, 11.1022373 55.6808327)",Sanct Jørgensbjerg,
45370098,residential,,,False,False,160.267,"LINESTRING (11.0996708 55.6821021, 11.1022271 55.6821203)",Vedelsgade,
