osmid,name,highway,oneway,reversed,length,geometry,maxspeed,bridge,lanes
10897851,Orebyvej,unclassified,False,False,87.696,"LINESTRING (11.6378853 54.8017265, 11.637861 54.8017955, 11.6379033 54.8018628, 11.6385206 54.8024028)",,,
42969427,Nykøbingvej,tertiary,False,False,206.945,"LINESTRING (11.6378853 54.8017265, 11.6380277 54.8017442, 11.6382196 54.8017491, 11.6394888 54.801717, 11.641107 54.8016662)",50,,
"[34238197, 133482373, 133482374]",Brogade,tertiary,False,True,71.344,"LINESTRING (11.6378853 54.8017265, 11.6377402 54.8016824, 11.6376576 54.8016479, 11.6375431 54.8015861, 11.637407 54.8014779, 11.6373523 54.8014343, 11.6372316 54.8013326, 11.6371506 54.801259)",50,yes,
34238197,Brogade,tertiary,False,True,38.428,"LINESTRING (11.6371506 54.801259, 11.6368349 54.8009652)",50,,
"[42969367, 13856783]","['Emil Aarestrups Gade', 'Havnegade']",unclassified,False,False,328.693,"LINESTRING (11.6371506 54.801259, 11.6363923 54.8016179, 11.6357216 54.8018154, 11.6354842 54.8018689, 11.6352923 54.8018856, 11.6350039 54.801879, 11.6338323 54.8014739, 11.632726 54.8010913)",50,,
"[133482374, 34238197, 133482373]",Brogade,tertiary,False,False,71.344,"LINESTRING (11.6371506 54.801259, 11.6372316 54.8013326, 11.6373523 54.8014343, 11.637407 54.8014779, 11.6375431 54.8015861, 11.6376576 54.8016479, 11.6377402 54.8016824, 11.6378853 54.8017265)",50,yes,
34238197,Brogade,tertiary,False,False,38.428,"LINESTRING (11.6368349 54.8009652, 11.6371506 54.801259)",50,,
8070593,Apotekervænget,unclassified,False,True,202.304,"LINESTRING (11.6368349 54.8009652, 11.6369035 54.8009335, 11.6370305 54.8008749, 11.6370966 54.8008225, 11.6371512 54.8007598, 11.6373235 54.8003806, 11.6373345 54.8003564, 11.6374329 54.8001399, 11.6374924 54.8000091, 11.6375025 54.7999868, 11.6375968 54.7997794, 11.6377015 54.799549, 11.6377549 54.7994314, 11.6378282 54.7992701)",50,,
34238197,Brogade,tertiary,False,True,74.571,"LINESTRING (11.6368349 54.8009652, 11.6366182 54.8008212, 11.6363582 54.8007273, 11.635867 54.800619)",50,,
8662603,Torvegade,residential,True,False,90.959,"LINESTRING (11.635867 54.800619, 11.6358918 54.80037, 11.6358898 54.7998014)",50,,
34238197,Brogade,tertiary,False,False,74.571,"LINESTRING (11.635867 54.800619, 11.6363582 54.8007273, 11.6366182 54.8008212, 11.6368349 54.8009652)",50,,
420600669,Vestergade,tertiary,False,True,96.218,"LINESTRING (11.635867 54.800619, 11.6354233 54.800556, 11.6344451 54.8003454)",50,,
42969416,Vestergade,tertiary,False,True,80.34,"LINESTRING (11.6344451 54.8003454, 11.6339416 54.8002598, 11.6332276 54.8001765)",50,,
420600669,Vestergade,tertiary,False,False,96.218,"LINESTRING (11.6344451 54.8003454, 11.6354233 54.800556, 11.635867 54.800619)",50,,
8070592,Nystedvej,tertiary,False,False,19.121,"LINESTRING (11.6384476 54.7960387, 11.6385235 54.7958724)",50,,2
"[8070592, 858389163, 45895108]","['Søndergade', 'Nystedvej']","['residential', 'tertiary']",False,"[False, True]",148.156,"LINESTRING (11.6384476 54.7960387, 11.6381835 54.796609, 11.6381523 54.7966764, 11.6380249 54.7969511, 11.6379714 54.7970384, 11.6378451 54.7972009, 11.6377618 54.797308)","['15', '50']",,2
"[20463577, 132141469]","['Ellekildevej', 'P. Hansens Vej']",unclassified,False,True,492.634,"LINESTRING (11.6384476 54.7960387, 11.6392405 54.7962861, 11.6394025 54.7963147, 11.6396491 54.7963138, 11.6399638 54.7963163, 11.6402912 54.7963189, 11.6405165 54.7963374, 11.6409931 54.7964341, 11.6412002 54.7964693, 11.6414757 54.7964824, 11.6417594 54.7964622, 11.642118 54.7964016, 11.6421536 54.7963956, 11.6422619 54.7963961, 11.6423362 54.7964176, 11.6423847 54.7964503, 11.6424224 54.7965709, 11.6424045 54.7968129, 11.6423417 54.7971149, 11.6423067 54.7972503, 11.6422177 54.7974463, 11.6420557 54.7977295, 11.6420353 54.7977651, 11.6418514 54.7980141, 11.6416693 54.7981992, 11.6415155 54.7983556, 11.6414881 54.7983834)",,,
41222235,Søndergade,residential,False,False,209.927,"LINESTRING (11.6377618 54.797308, 11.637711 54.7973768, 11.6374819 54.797693, 11.6372131 54.7980627, 11.6369927 54.798358, 11.6367505 54.798607, 11.6364513 54.7988568, 11.6362611 54.7989721)",15,,
"[666198157, 42115015]",Saxes Alle,residential,False,False,78.00999999999999,"LINESTRING (11.6377618 54.797308, 11.6382578 54.7974333, 11.6385025 54.7974937, 11.6388778 54.7975878)","['15', '50']",,
"[8070592, 858389163, 45895108]","['Søndergade', 'Nystedvej']","['residential', 'tertiary']",False,"[False, True]",148.156,"LINESTRING (11.6377618 54.797308, 11.6378451 54.7972009, 11.6379714 54.7970384, 11.6380249 54.7969511, 11.6381523 54.7966764, 11.6381835 54.796609, 11.6384476 54.7960387)","['15', '50']",,2
8070593,Apotekervænget,unclassified,False,False,198.90099999999995,"LINESTRING (11.6388778 54.7975878, 11.6388575 54.7976181, 11.6386936 54.7978631, 11.6386487 54.7979301, 11.638571 54.7980462, 11.6384803 54.7981817, 11.6384068 54.7982916, 11.6383646 54.7983547, 11.6382252 54.798563, 11.6381532 54.7986706, 11.6381407 54.7986921, 11.6380087 54.7989192, 11.6379396 54.7990536, 11.6379284 54.7990753, 11.6378282 54.7992701)",50,,
"[666198157, 42115015]",Saxes Alle,residential,False,True,78.00999999999999,"LINESTRING (11.6388778 54.7975878, 11.6385025 54.7974937, 11.6382578 54.7974333, 11.6377618 54.797308)","['15', '50']",,
