osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,width,bridge
194061204,Rugvænget,residential,50,False,True,14.868,"LINESTRING (12.3666606 55.7263381, 12.3666703 55.7262045)",,,
"[37700752, 819367580]",Rugvænget,residential,50,False,False,76.298,"LINESTRING (12.3666606 55.7263381, 12.3676371 55.7263226, 12.3676426 55.7261866)",,,
37700752,Rugvænget,residential,50,False,True,101.244,"LINESTRING (12.3666606 55.7263381, 12.3666398 55.7263389, 12.3655809 55.7263813, 12.3653322 55.7263932, 12.3650487 55.7264085)",,,
82227844,Banetoften,residential,50,False,True,10.396,"LINESTRING (12.3549676 55.7288968, 12.3549863 55.7288039)",1,,
113858751,Baltorpvej,tertiary,50,True,False,105.888,"LINESTRING (12.3549676 55.7288968, 12.3547395 55.7289181, 12.3545545 55.7289353, 12.3541106 55.7289519, 12.3532833 55.7289618)",1,,
121219713,Banetoften,unclassified,50,False,False,221.73299999999998,"LINESTRING (12.3549676 55.7288968, 12.3550697 55.7291916, 12.3551368 55.7292864, 12.355233 55.7293652, 12.3555549 55.7296356, 12.3556588 55.7297138, 12.355785 55.7298095, 12.3559317 55.7299136, 12.3560561 55.7300151, 12.3561353 55.7300461, 12.3561969 55.7300604, 12.3562935 55.7300544, 12.3563732 55.7300291, 12.3566952 55.7298849, 12.3567448 55.7298524, 12.3567813 55.7298128, 12.3567938 55.7297852, 12.3568298 55.7297062, 12.3568507 55.729637)",2,,
121219713,Banetoften,unclassified,50,False,True,221.73300000000003,"LINESTRING (12.3568507 55.729637, 12.3568298 55.7297062, 12.3567938 55.7297852, 12.3567813 55.7298128, 12.3567448 55.7298524, 12.3566952 55.7298849, 12.3563732 55.7300291, 12.3562935 55.7300544, 12.3561969 55.7300604, 12.3561353 55.7300461, 12.3560561 55.7300151, 12.3559317 55.7299136, 12.355785 55.7298095, 12.3556588 55.7297138, 12.3555549 55.7296356, 12.355233 55.7293652, 12.3551368 55.7292864, 12.3550697 55.7291916, 12.3549676 55.7288968)",2,,
215234146,Bydammen,residential,50,False,False,13.09,"LINESTRING (12.3593396 55.731268, 12.3592996 55.7312283, 12.3592346 55.7311662)",2,,
237372604,Bydammen,residential,50,False,True,114.803,"LINESTRING (12.3593396 55.731268, 12.3593757 55.7313238, 12.3594425 55.7314567, 12.3596036 55.7317771, 12.359682 55.731934, 12.3597831 55.7320621, 12.3599698 55.7322308)",2,,
941979236,Bydammen,residential,,False,False,49.900999999999996,"LINESTRING (12.3593396 55.731268, 12.3597472 55.7312243, 12.3601243 55.7311897)",2,,
711268427,Linde Alle,residential,50,False,False,20.015,"LINESTRING (12.3615186 55.730092, 12.3618371 55.7300767)",2,,
581956137,Rolighedsvej,residential,50,False,True,22.46,"LINESTRING (12.3615186 55.730092, 12.3614939 55.7300392, 12.3614231 55.7298973)",2,,
"[215234145, 711268427]","['Linde Alle', 'Bydammen']",residential,50,False,"[False, True]",110.964,"LINESTRING (12.3615186 55.730092, 12.360908 55.7301409, 12.3607951 55.73015, 12.360697 55.7301496, 12.3603954 55.7301484, 12.3602267 55.7301316, 12.3601886 55.7301318, 12.3600724 55.7301324, 12.3599181 55.7301605, 12.3597909 55.7302093)",2,,
"[581956137, 13307355]",Rolighedsvej,"['living_street', 'residential']",50,False,False,198.174,"LINESTRING (12.3619228 55.7284418, 12.3610858 55.7287892, 12.3609074 55.7288701, 12.3609549 55.7289426, 12.3609855 55.729005, 12.3610032 55.729041, 12.3610462 55.7291286, 12.3611158 55.7292706, 12.3611865 55.7294148, 12.3612775 55.7296005, 12.3613337 55.7297149, 12.3613873 55.7298244, 12.3614044 55.7298593, 12.3614231 55.7298973)",2,,
37700752,Rugvænget,residential,50,False,False,101.24399999999999,"LINESTRING (12.3650487 55.7264085, 12.3653322 55.7263932, 12.3655809 55.7263813, 12.3666398 55.7263389, 12.3666606 55.7263381)",,,
37700752,Rugvænget,residential,50,False,True,115.812,"LINESTRING (12.3650487 55.7264085, 12.364689 55.7264389, 12.3642881 55.726462, 12.3638685 55.7264918, 12.3636485 55.7264996, 12.363377 55.7265163, 12.3632117 55.7265265)",,,
26157061,Slettebjergvej,residential,50,False,False,179.59799999999998,"LINESTRING (12.3683794 55.7293236, 12.3683931 55.72937, 12.3688487 55.730917)",2,,
113858749,Linde Alle,residential,50,False,False,187.666,"LINESTRING (12.3683794 55.7293236, 12.3671294 55.7294475, 12.3660877 55.7295507, 12.3654365 55.7296401)",2,,
113858749,Linde Alle,residential,50,False,True,154.365,"LINESTRING (12.3630378 55.7299607, 12.3641268 55.7298185, 12.3642271 55.7298048, 12.3654365 55.7296401)",2,,
26157061,Slettebjergvej,residential,50,False,True,179.59799999999998,"LINESTRING (12.3688487 55.730917, 12.3683931 55.72937, 12.3683794 55.7293236)",2,,
194487872,Gammel Rådhusvej,residential,50,False,True,54.664,"LINESTRING (12.3688487 55.730917, 12.3686287 55.7309442, 12.3680916 55.7310105, 12.3679959 55.7310223)",2,,
26157116,Møllevej,residential,50,False,False,105.786,"LINESTRING (12.3654365 55.7296401, 12.365495 55.7297604, 12.3656189 55.7300059, 12.3657512 55.7301275, 12.3658796 55.7302326, 12.3660293 55.7305218)",2,,
113858749,Linde Alle,residential,50,False,False,154.365,"LINESTRING (12.3654365 55.7296401, 12.3642271 55.7298048, 12.3641268 55.7298185, 12.3630378 55.7299607)",2,,
113858749,Linde Alle,residential,50,False,True,187.666,"LINESTRING (12.3654365 55.7296401, 12.3660877 55.7295507, 12.3671294 55.7294475, 12.3683794 55.7293236)",2,,
26157132,Ærtedamsvej,residential,50,False,False,174.738,"LINESTRING (12.3633141 55.7308851, 12.3649089 55.7306717, 12.3660293 55.7305218)",2,,
26157116,Møllevej,residential,50,False,False,76.467,"LINESTRING (12.3660293 55.7305218, 12.3662958 55.7310925, 12.3663152 55.731134, 12.3662213 55.7311479)",2,,
26157116,Møllevej,residential,50,False,True,105.786,"LINESTRING (12.3660293 55.7305218, 12.3658796 55.7302326, 12.3657512 55.7301275, 12.3656189 55.7300059, 12.365495 55.7297604, 12.3654365 55.7296401)",2,,
26157132,Ærtedamsvej,residential,50,False,True,174.738,"LINESTRING (12.3660293 55.7305218, 12.3649089 55.7306717, 12.3633141 55.7308851)",2,,
414085742,Parkvej,residential,50,False,False,154.135,"LINESTRING (12.3646919 55.7325647, 12.36557 55.7323839, 12.365843 55.7323277, 12.3661542 55.7322746, 12.3670353 55.7321442)",2,,
