osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,width,access
4424644,Chr Winthersvej,tertiary,50,False,False,72.009,"LINESTRING (11.9026577 55.0121451, 11.9023641 55.0118338, 11.9022495 55.0117123, 11.9021204 55.0115755)",,,
13633593,Boulevarden,tertiary,50,False,False,107.57000000000001,"LINESTRING (11.9026577 55.0121451, 11.9029591 55.0124479, 11.9033719 55.0129221, 11.9034411 55.0130015)",2,,
"[4424633, 34244114]","['Algade', 'Københavnsvej']",tertiary,50,False,"[False, True]",191.688,"LINESTRING (11.9131275 55.0077273, 11.91223 55.0080974, 11.9121958 55.0081056, 11.9120027 55.0081522, 11.9121091 55.0082517, 11.9121851 55.0083228, 11.9125111 55.008547, 11.9129374 55.0088401, 11.913021 55.0088976)",2,,
532950949,Algade,tertiary,50,False,False,150.969,"LINESTRING (11.9131275 55.0077273, 11.9134358 55.0076259, 11.9142765 55.0073879, 11.914454 55.0073376, 11.915243 55.0071186)",,,
"[43868106, 1083478220, 1083478221, 1083478222, 1083478223, 1083478224]",Badstuegade,residential,,False,True,106.45400000000001,"LINESTRING (11.9061716 55.0105455, 11.9062668 55.0106013, 11.9063036 55.010623, 11.9067159 55.0108648, 11.9067409 55.0108795, 11.9067686 55.0108957, 11.9070023 55.0110329, 11.9072533 55.0111805, 11.9073363 55.0112314)",,,
11720023,Skovvej,unclassified,50,False,False,104.22800000000001,"LINESTRING (11.9069258 55.0065073, 11.9081048 55.0061565, 11.9082083 55.006122, 11.9083695 55.0060682)",2,,
11720023,Skovvej,unclassified,50,False,True,230.21300000000002,"LINESTRING (11.9069258 55.0065073, 11.9064752 55.0066438, 11.9052593 55.0070121, 11.9049927 55.0071206, 11.904807 55.007219, 11.9047382 55.0072554, 11.9044803 55.0074569, 11.9044075 55.0075138, 11.9042064 55.0076215, 11.9040265 55.0076922)",2,,
11720023,Skovvej,unclassified,50,False,False,230.213,"LINESTRING (11.9040265 55.0076922, 11.9042064 55.0076215, 11.9044075 55.0075138, 11.9044803 55.0074569, 11.9047382 55.0072554, 11.904807 55.007219, 11.9049927 55.0071206, 11.9052593 55.0070121, 11.9064752 55.0066438, 11.9069258 55.0065073)",2,,
11720023,Skovvej,unclassified,50,False,True,70.03,"LINESTRING (11.9040265 55.0076922, 11.903735 55.0077779, 11.9029885 55.0078877)",2,,
43889179,Ingemannsvej,residential,,False,False,66.43299999999999,"LINESTRING (11.9040265 55.0076922, 11.9043295 55.0080358, 11.90466 55.0079399)",,,
4424646,Goldschmidtsvej,residential,,False,False,93.65,"LINESTRING (11.9029885 55.0078877, 11.9036536 55.0086386)",,,
11720023,Skovvej,unclassified,50,False,False,70.03,"LINESTRING (11.9029885 55.0078877, 11.903735 55.0077779, 11.9040265 55.0076922)",2,,
4424646,Goldschmidtsvej,residential,,False,False,109.716,"LINESTRING (11.9041768 55.0092425, 11.9050927 55.0100778)",,,
4424646,Goldschmidtsvej,residential,,False,True,74.981,"LINESTRING (11.9041768 55.0092425, 11.9036536 55.0086386)",,,
4424645,Heibergsvej,residential,,False,True,82.103,"LINESTRING (11.9041768 55.0092425, 11.9033825 55.0095378, 11.9030964 55.0096442)",,,
