osmid,highway,maxspeed,junction,oneway,reversed,length,geometry,name,lanes
40627418,tertiary,50,roundabout,True,False,9.811000000000002,"LINESTRING (10.0619468 56.2656088, 10.0619732 56.2656021, 10.0620067 56.2656, 10.0620407 56.2656047, 10.0620685 56.2656153, 10.0620851 56.2656274)",,
506610541,tertiary,50,,False,False,138.255,"LINESTRING (10.0613372 56.2718356, 10.0632569 56.2711955)",Rylevej,
56687002,residential,,,False,True,38.931,"LINESTRING (10.0613372 56.2718356, 10.0613956 56.2718809, 10.0614159 56.2718967, 10.0617042 56.2721203)",Tranevej,
40627418,tertiary,50,roundabout,True,False,17.89,"LINESTRING (10.0620419 56.2657025, 10.0620093 56.2657075, 10.0619791 56.2657064, 10.061948 56.2656992, 10.0619319 56.265692, 10.0619125 56.2656766, 10.0619037 56.2656584, 10.0619067 56.2656398, 10.0619224 56.2656217, 10.0619468 56.2656088)",,
"[311460065, 311460066]",tertiary,50,,False,True,429.733,"LINESTRING (10.0620419 56.2657025, 10.0620738 56.2658024, 10.06212 56.265865, 10.0621861 56.2659377, 10.0623198 56.2660657, 10.0624594 56.2661993, 10.0625959 56.26633, 10.062738 56.266466, 10.0628391 56.2665627, 10.0634021 56.2670921, 10.0638043 56.2674464, 10.0645298 56.2681168, 10.0649003 56.268436, 10.0651096 56.2685885, 10.0653243 56.2687187, 10.0657487 56.2689464)",Ledvogtervej,2
40627418,tertiary,50,roundabout,True,False,9.782,"LINESTRING (10.0620851 56.2656274, 10.0620962 56.265645, 10.062095 56.2656659, 10.0620818 56.2656831, 10.0620588 56.2656968, 10.0620419 56.2657025)",,
40870308,residential,,,False,False,73.564,"LINESTRING (10.0620851 56.2656274, 10.0622456 56.2655703, 10.0623694 56.2655297, 10.0630036 56.2653998, 10.0631107 56.2653188)",Pakhusvej,
506610541,tertiary,50,,False,True,48.625,"LINESTRING (10.0652816 56.2705447, 10.064593 56.2707569)",Rylevej,
771999815,tertiary,50,,False,False,100.655,"LINESTRING (10.0652816 56.2705447, 10.0652051 56.2704967, 10.0649652 56.2702525, 10.0644797 56.2697583)",Nørregade,2
"[1217369312, 1217369315]",tertiary,50,,False,True,122.412,"LINESTRING (10.0652816 56.2705447, 10.0653313 56.2705906, 10.0655472 56.2708077, 10.0657325 56.2709908, 10.0662913 56.2714918)",Nørregade,"['2', '3']"
"[40627645, 1217369319]",tertiary,50,,False,"[False, True]",240.841,"LINESTRING (10.0652816 56.2705447, 10.06586 56.2703403, 10.0659415 56.2703095, 10.0660451 56.2702567, 10.066608 56.2699047, 10.0666987 56.2697933, 10.0667267 56.2696992, 10.0667162 56.2695703, 10.0666499 56.2694666, 10.066529 56.2693602, 10.0657487 56.2689464)",Ledvogtervej,"['2', '3']"
40675358,residential,,,True,False,85.15299999999999,"LINESTRING (10.0617428 56.2633667, 10.0619753 56.2637011, 10.0621221 56.2639123, 10.0622395 56.2640811)",Storegade,
40675357,residential,,,False,False,80.526,"LINESTRING (10.0637286 56.2637658, 10.064947 56.2635078)",Østergade,
40675355,residential,,,False,False,115.864,"LINESTRING (10.0637286 56.2637658, 10.0641117 56.2643154, 10.0643985 56.2647391)",Fredensgade,
40675357,residential,,,False,True,98.41499999999999,"LINESTRING (10.0637286 56.2637658, 10.0631791 56.2638821, 10.0628976 56.2639417, 10.0622395 56.2640811)",Østergade,
