osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,bridge,ref,width
35598624,Sønderbrogade,tertiary,50,False,True,37.825,"LINESTRING (9.8404055 55.8580208, 9.8401924 55.857914, 9.8400776 55.857859, 9.8399556 55.857793)",,,,
690750175,Sønderbrogade,tertiary,50,True,False,69.181,"LINESTRING (9.8404055 55.8580208, 9.840593 55.8581007, 9.840822 55.858222, 9.8410466 55.8583991, 9.8411425 55.8584785)",3,,,
39078723,Allegade,tertiary,50,False,False,109.621,"LINESTRING (9.8447419 55.8636993, 9.8447416 55.8637558, 9.8447373 55.863786, 9.8447168 55.8638611, 9.8446877 55.8639789, 9.8446272 55.8642194, 9.8445451 55.8645482, 9.8445132 55.8646762)",,,,
"[24858410, 334669498, 334669499, 334669500]",Allegade,tertiary,50,False,True,91.49900000000001,"LINESTRING (9.8447419 55.8636993, 9.8447168 55.8636233, 9.8446929 55.863583, 9.8446747 55.8635524, 9.8446239 55.863499, 9.8445118 55.8634313, 9.8444017 55.8633905, 9.8443858 55.8633846, 9.8442912 55.8633548, 9.8440445 55.8633005, 9.8439826 55.8632869, 9.843837 55.8632646, 9.8436591 55.8632459)","['4', '3']",,,
"[24858409, 1197074883]",Rædersgade,residential,"['40', '50']",False,False,104.04599999999999,"LINESTRING (9.8447419 55.8636993, 9.8448528 55.8636979, 9.8449605 55.8636856, 9.8451677 55.8636604, 9.8456624 55.8635844, 9.8459266 55.863542, 9.8460495 55.8635228, 9.8463554 55.8634714)",,,,
"[29187583, 29187582, 12955031]",Claus Cortsens Gade,tertiary,50,False,False,65.429,"LINESTRING (9.8377125 55.8593623, 9.8377269 55.85948, 9.8377775 55.8596457, 9.8378581 55.8598706, 9.8378845 55.859942)",,yes,,
24858261,Fredrik Bajers Gade,tertiary,50,False,True,250.717,"LINESTRING (9.8377125 55.8593623, 9.8376864 55.8592065, 9.8376816 55.8591423, 9.8376548 55.8586852, 9.8376472 55.8585558, 9.8376414 55.8584579, 9.8376338 55.8583174, 9.8376205 55.8580714, 9.8376159 55.8579867, 9.8376051 55.8578074, 9.837591 55.8575709, 9.8375858 55.8574879, 9.8375629 55.8571094)",,,,
47007758,Bygholm Parkvej,secondary,50,False,False,146.30700000000002,"LINESTRING (9.8377125 55.8593623, 9.8379778 55.8592941, 9.8383592 55.8592029, 9.8387642 55.8591027, 9.8392352 55.8589865, 9.8398596 55.858834)",,,451,
29187583,Claus Cortsens Gade,tertiary,50,False,True,42.591,"LINESTRING (9.8385583 55.8608402, 9.8383158 55.8607629, 9.8382508 55.8607315, 9.8381871 55.8606945, 9.8381404 55.8606603, 9.8380956 55.8606068, 9.8380857 55.8605827)",,,,
36775931,Claus Cortsens Gade,residential,50,False,False,51.97,"LINESTRING (9.8385583 55.8608402, 9.839085 55.8609945, 9.8392961 55.861057)",,,,
