osmid,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,junction
23445746,Stadion Alle,residential,50,False,True,110.798,,"LINESTRING (9.3110332 55.2484244, 9.3103505 55.2493417)",
44951406,Østergade,tertiary,50,False,False,106.18400000000001,2,"LINESTRING (9.3110332 55.2484244, 9.3108812 55.2483873, 9.310656 55.2483339, 9.3101204 55.2481959, 9.3099732 55.248162, 9.3096826 55.2480916, 9.3094951 55.2480462)",
44951406,Østergade,tertiary,50,False,True,76.072,2,"LINESTRING (9.3110332 55.2484244, 9.3114222 55.2485248, 9.312127 55.248706)",
23944461,,tertiary,50,True,False,16.422,1,"LINESTRING (9.3028471 55.2465038, 9.3028222 55.2465173, 9.3027931 55.2465277, 9.3027609 55.2465345, 9.3027092 55.2465375, 9.3026583 55.2465314, 9.302613 55.2465168)",roundabout
"[24772078, 14021973, 23944462]","['Østergade', 'Vestergade']",tertiary,50,False,"[False, True]",288.83200000000005,2,"LINESTRING (9.3028471 55.2465038, 9.3036546 55.2467672, 9.3048174 55.2470762, 9.3053436 55.2472187, 9.3068155 55.2475644, 9.3069739 55.2475979)",
23840238,Sjællandsgade,residential,50,False,False,109.84,,"LINESTRING (9.3066638 55.2487928, 9.3080745 55.2488876, 9.3083809 55.2489226)",
"[13862825, 26235828, 26235830]",Nørregade,residential,50,False,True,123.305,,"LINESTRING (9.3066638 55.2487928, 9.3067211 55.2484805, 9.3068113 55.248214, 9.3069634 55.2479462, 9.3071032 55.2477177)",
23840238,Sjællandsgade,residential,50,False,False,133.252,,"LINESTRING (9.3083809 55.2489226, 9.3087266 55.2489949, 9.3095471 55.2491701, 9.3097693 55.2492176, 9.3099088 55.2492474, 9.3100245 55.2492721, 9.3103505 55.2493417)",
23840238,Sjællandsgade,residential,50,False,True,109.84,,"LINESTRING (9.3083809 55.2489226, 9.3080745 55.2488876, 9.3066638 55.2487928)",
26359548,Østergade,residential,,False,True,117.465,,"LINESTRING (9.3083809 55.2489226, 9.3087037 55.2484242, 9.308749 55.2483663, 9.3089569 55.2481008, 9.309076 55.2479439)",
23445746,Stadion Alle,residential,50,False,False,110.798,,"LINESTRING (9.3103505 55.2493417, 9.3110332 55.2484244)",
23445746,Stadion Alle,residential,50,False,True,106.104,,"LINESTRING (9.3103505 55.2493417, 9.3101339 55.2496923, 9.3100548 55.2498715, 9.3100711 55.2499972, 9.310156 55.2501445, 9.3102645 55.2502434)",
23840238,Sjællandsgade,residential,50,False,True,133.252,,"LINESTRING (9.3103505 55.2493417, 9.3100245 55.2492721, 9.3099088 55.2492474, 9.3097693 55.2492176, 9.3095471 55.2491701, 9.3087266 55.2489949, 9.3083809 55.2489226)",
23445746,Stadion Alle,residential,50,False,False,106.10400000000001,,"LINESTRING (9.3102645 55.2502434, 9.310156 55.2501445, 9.3100711 55.2499972, 9.3100548 55.2498715, 9.3101339 55.2496923, 9.3103505 55.2493417)",
