osmid,oneway,name,highway,reversed,length,geometry,lanes,ref,maxspeed
27458106,False,Triq Luigi Ellul,residential,False,65.259,"LINESTRING (14.4404839 35.8881124, 14.4404543 35.8881327, 14.4404286 35.8885481, 14.4404165 35.8886873)",,,
863476186,True,Triq Tumas Chetcuti,residential,False,157.892,"LINESTRING (14.4404839 35.8881124, 14.4395843 35.8880431, 14.438736 35.8880148)",,,
1024940796,True,,trunk_link,False,187.527,"LINESTRING (14.4404839 35.8881124, 14.4403032 35.8880591, 14.4394906 35.8879675, 14.4384233 35.88792)",,,
863476186,True,Triq Tumas Chetcuti,residential,False,108.775,"LINESTRING (14.4426257 35.8884094, 14.4414427 35.8882135)",,,
15660507,True,Triq l-Imdina,trunk,False,23.777,"LINESTRING (14.4412234 35.889911, 14.441478 35.8899674)",2,7,
26441013,False,Triq ix-Xarolla,residential,False,62.322,"LINESTRING (14.4385556 35.8890532, 14.4386555 35.8884986)",,,
15660507,True,Triq l-Imdina,trunk,False,129.90300000000002,"LINESTRING (14.4385556 35.8890532, 14.4388177 35.8891628, 14.4389376 35.8892034, 14.4395463 35.8894285, 14.439865 35.8895417)",2,7,
538053270,True,Triq iż-Żagħfran,trunk,False,164.712,"LINESTRING (14.4385556 35.8890532, 14.4389165 35.8891075, 14.4395663 35.8892147, 14.4396686 35.8892335, 14.4403542 35.8893169)",,,
22824047,True,Triq il-Kbira,residential,False,65.32300000000001,"LINESTRING (14.4417098 35.889987, 14.4418974 35.8900475, 14.442021 35.8900974, 14.4421049 35.8901352, 14.4421925 35.8901767, 14.4422781 35.8902174, 14.4423496 35.8902595)",,,
"[860981739, 275256902]",True,"['Triq Ħaż Żebbuġ', 'Triq Ħaż-Żebbuġ']",trunk,False,79.419,"LINESTRING (14.4417098 35.889987, 14.4418292 35.889962, 14.4419411 35.8899198, 14.4423477 35.8897031, 14.4424874 35.8896631)",,7,
545654701,False,Triq Ħaż-Żebbuġ,primary,False,5.145,"LINESTRING (14.4424737 35.8868084, 14.4424769 35.8868546)",2,25,
