osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,width,bridge,lanes
44634633,Kolonigatan,residential,30,False,False,175.599,"LINESTRING (15.0828902 58.3969609, 15.081793 58.3972262, 15.0801014 58.3975565)",,,,
762499310,Motalagatan,tertiary,40,False,False,70.25999999999999,"LINESTRING (15.0828902 58.3969609, 15.0833004 58.3974407, 15.0833947 58.3975346)",,,,
762499310,Motalagatan,tertiary,40,False,True,122.59900000000002,"LINESTRING (15.0828902 58.3969609, 15.082529 58.3965075, 15.0824073 58.3963586, 15.0821728 58.3961864, 15.0820518 58.3960901, 15.0819837 58.3960234, 15.0819511 58.3959799)",,,,
1052253608,Bjälbogatan,tertiary,30,False,False,125.25999999999999,"LINESTRING (15.082318 58.3910876, 15.0824125 58.3912088, 15.0825093 58.3913193, 15.0826083 58.391399, 15.0826838 58.3914595, 15.0828489 58.3915549, 15.0831561 58.3917331, 15.0832412 58.3917798, 15.0833465 58.3918352, 15.0836426 58.391953)",E 945,6.2,,
8172174,Bjälbogatan,tertiary,30,False,False,164.69099999999997,"LINESTRING (15.0836426 58.391953, 15.0838547 58.3920241, 15.0844117 58.392211, 15.0850228 58.3923981, 15.0853127 58.3925031, 15.0860003 58.3927674)",E 945,8,,
8172179,Lilla Vallgatan,residential,30,False,True,349.4030000000001,"LINESTRING (15.0836426 58.391953, 15.0841093 58.3915858, 15.0841642 58.3915483, 15.0842514 58.3914887, 15.0843983 58.3914132, 15.0845147 58.391368, 15.0846476 58.3913272, 15.0848311 58.3912924, 15.0849982 58.3912757, 15.0852488 58.3912631, 15.0854348 58.3912612, 15.0856372 58.3912771, 15.0858303 58.3913116, 15.085981 58.3913547, 15.0860923 58.3913996, 15.0861295 58.3914146, 15.0862167 58.3914565, 15.0863357 58.3915275, 15.0863585 58.3915448, 15.086417 58.3915892, 15.0864496 58.3916268, 15.086482 58.391664, 15.0865033 58.3917461, 15.0865406 58.3920477, 15.0865361 58.3921645, 15.0865104 58.392238, 15.08648 58.392306, 15.0863862 58.3924519, 15.0863181 58.392536, 15.0861932 58.3926386, 15.0860003 58.3927674)",,,,
1052253608,Bjälbogatan,tertiary,30,False,True,125.25999999999999,"LINESTRING (15.0836426 58.391953, 15.0833465 58.3918352, 15.0832412 58.3917798, 15.0831561 58.3917331, 15.0828489 58.3915549, 15.0826838 58.3914595, 15.0826083 58.391399, 15.0825093 58.3913193, 15.0824125 58.3912088, 15.082318 58.3910876)",E 945,6.2,,
8172170,Follingegatan,residential,30,True,False,174.293,"LINESTRING (15.0847333 58.3933728, 15.0845041 58.3930775, 15.0843324 58.3928558, 15.0842191 58.3927095, 15.0839829 58.3924561, 15.0836674 58.3921711, 15.0835606 58.392053, 15.0835794 58.3920199, 15.0836009 58.3919926, 15.0836426 58.391953)",,,,
1052208464,Borggatan,residential,30,False,True,118.822,"LINESTRING (15.0847333 58.3933728, 15.0861129 58.3931727, 15.0862121 58.3931454, 15.0863317 58.3930366, 15.0864065 58.3929667, 15.0864492 58.3929176)",,,,
"[1052208465, 44631881, 1052253607]",Borggatan,residential,40,False,False,167.48100000000002,"LINESTRING (15.0847333 58.3933728, 15.0841879 58.3934872, 15.0829761 58.3937413, 15.0828545 58.3937855, 15.0827836 58.3938112, 15.0825556 58.3939038, 15.0824996 58.3939255, 15.0824355 58.3939499, 15.0823414 58.3939829, 15.0821843 58.3940448)",,,yes,
8172174,Bjälbogatan,tertiary,30,False,False,31.188,"LINESTRING (15.0860003 58.3927674, 15.0862284 58.3928589, 15.0863426 58.3928931, 15.0864492 58.3929176)",E 945,8,,
8172174,Bjälbogatan,tertiary,30,False,True,164.69099999999997,"LINESTRING (15.0860003 58.3927674, 15.0853127 58.3925031, 15.0850228 58.3923981, 15.0844117 58.392211, 15.0838547 58.3920241, 15.0836426 58.391953)",E 945,8,,
8172179,Lilla Vallgatan,residential,30,False,False,349.40299999999996,"LINESTRING (15.0860003 58.3927674, 15.0861932 58.3926386, 15.0863181 58.392536, 15.0863862 58.3924519, 15.08648 58.392306, 15.0865104 58.392238, 15.0865361 58.3921645, 15.0865406 58.3920477, 15.0865033 58.3917461, 15.086482 58.391664, 15.0864496 58.3916268, 15.086417 58.3915892, 15.0863585 58.3915448, 15.0863357 58.3915275, 15.0862167 58.3914565, 15.0861295 58.3914146, 15.0860923 58.3913996, 15.085981 58.3913547, 15.0858303 58.3913116, 15.0856372 58.3912771, 15.0854348 58.3912612, 15.0852488 58.3912631, 15.0849982 58.3912757, 15.0848311 58.3912924, 15.0846476 58.3913272, 15.0845147 58.391368, 15.0843983 58.3914132, 15.0842514 58.3914887, 15.0841642 58.3915483, 15.0841093 58.3915858, 15.0836426 58.391953)",,,,
