osmid,name,highway,oneway,reversed,length,geometry,maxspeed,junction,ref,lanes
330150741,Köpmannagatan,tertiary,False,True,10.484,"LINESTRING (14.2909156 55.9232498, 14.2907788 55.9231949)",,,,
45072487,Missionsvägen,residential,False,True,37.431,"LINESTRING (14.2909156 55.9232498, 14.2909046 55.9233014, 14.2908723 55.9234523, 14.2908484 55.9235843)",,,,
330150741,Köpmannagatan,tertiary,False,False,115.537,"LINESTRING (14.2909156 55.9232498, 14.2917269 55.9235932, 14.2921092 55.9236943, 14.2925062 55.9237619)",,,,
45071737,Rönnowsgatan,residential,True,False,143.45499999999998,"LINESTRING (14.294159 55.923946, 14.2941678 55.9239223, 14.2943132 55.923516, 14.2943595 55.9233828, 14.2943603 55.9233492, 14.2943488 55.9233033, 14.2941811 55.9231342, 14.2944856 55.922726)",,,,
45071738,Rönnowsgatan,residential,False,False,134.454,"LINESTRING (14.294159 55.923946, 14.2941463 55.9239805, 14.2940246 55.9242621, 14.2938529 55.9245856, 14.2935549 55.9251062)",30,,,
330150741,Köpmannagatan,tertiary,False,False,147.983,"LINESTRING (14.294159 55.923946, 14.2946881 55.9239727, 14.295252 55.9239866, 14.2961405 55.9240057, 14.2962854 55.9240185, 14.2964034 55.9240395, 14.2965062 55.9240741)",,,,
330150741,Köpmannagatan,tertiary,False,True,105.079,"LINESTRING (14.294159 55.923946, 14.29387 55.923929, 14.2925062 55.9237619)",,,,
45072484,Vallgatan,tertiary,False,True,36.768,"LINESTRING (14.2965062 55.9240741, 14.2964568 55.9241446, 14.2962906 55.9243819)",,,,
"[827854644, 151906110]",Vallgatan,residential,False,False,76.582,"LINESTRING (14.2965062 55.9240741, 14.2966019 55.924029, 14.2966555 55.9239561, 14.2967869 55.9237638, 14.2968741 55.9236496, 14.2969709 55.9235691, 14.2970064 55.9235405, 14.2970858 55.9234767)",40,,,
330150741,Köpmannagatan,tertiary,False,True,147.983,"LINESTRING (14.2965062 55.9240741, 14.2964034 55.9240395, 14.2962854 55.9240185, 14.2961405 55.9240057, 14.295252 55.9239866, 14.2946881 55.9239727, 14.294159 55.923946)",,,,
"[827854692, 45071294, 827854693, 827854694]",Köpmannagatan,residential,True,False,125.631,"LINESTRING (14.2965062 55.9240741, 14.2966783 55.9241143, 14.2968117 55.9241928, 14.2970029 55.9242819, 14.2976412 55.9245512, 14.2979552 55.9246757, 14.298122 55.9247417)","['40', '30']",,,
"[827854643, 827854644]",Vallgatan,residential,False,False,80.53500000000001,"LINESTRING (14.2970858 55.9234767, 14.2972093 55.9233883, 14.2978826 55.9229064)",40,,,
"[827854644, 151906110]",Vallgatan,residential,False,True,76.582,"LINESTRING (14.2970858 55.9234767, 14.2970064 55.9235405, 14.2969709 55.9235691, 14.2968741 55.9236496, 14.2967869 55.9237638, 14.2966555 55.9239561, 14.2966019 55.924029, 14.2965062 55.9240741)",40,,,
205849672,Gamla Skeppsbron,residential,False,False,140.929,"LINESTRING (14.2978826 55.9229064, 14.2974347 55.9226509, 14.2968808 55.9223999, 14.2961593 55.9220888)",30,,,
205849672,Gamla Skeppsbron,residential,False,True,203.629,"LINESTRING (14.2978826 55.9229064, 14.2982957 55.9231453, 14.2990655 55.9235571, 14.2993686 55.9237307, 14.3002792 55.9241485)",30,,,
"[827854643, 827854644]",Vallgatan,residential,False,True,80.53500000000001,"LINESTRING (14.2978826 55.9229064, 14.2972093 55.9233883, 14.2970858 55.9234767)",40,,,
45017164,Stavgatan,unclassified,False,True,42.730999999999995,"LINESTRING (14.3030251 55.9255388, 14.3029842 55.9255757, 14.3028792 55.9256773, 14.3028491 55.9257065, 14.30273 55.925813, 14.3026714 55.925868)",,,,
205849672,Gamla Skeppsbron,residential,False,False,230.598,"LINESTRING (14.3030251 55.9255388, 14.3029557 55.925503, 14.3024599 55.9252469, 14.3020293 55.9250246, 14.3012702 55.9246309, 14.3002792 55.9241485)",30,,,
45017164,Stavgatan,unclassified,False,False,70.88,"LINESTRING (14.3018284 55.9262498, 14.3018885 55.9262276, 14.3020669 55.9261772, 14.3022372 55.9261494, 14.3024076 55.9261077, 14.3026714 55.925868)",,,,
45071292,Köpmannagatan,residential,False,False,50.504,"LINESTRING (14.3018284 55.9262498, 14.3018587 55.9263382, 14.3020456 55.926687)",30,,,
"[170058000, 205849675, 45071292]",Köpmannagatan,residential,False,False,56.622,"LINESTRING (14.3020456 55.926687, 14.3021613 55.9269188, 14.3022097 55.9270203, 14.3022727 55.9271799)","['40', '30']",,,
45071292,Köpmannagatan,residential,False,True,50.504,"LINESTRING (14.3020456 55.926687, 14.3018587 55.9263382, 14.3018284 55.9262498)",30,,,
151903473,Järnvägsgatan,residential,False,False,169.11999999999998,"LINESTRING (14.3020456 55.926687, 14.3018176 55.9267184, 14.3014614 55.9267679, 14.3012244 55.9268057, 14.3010624 55.9268549, 14.3009161 55.9269288, 14.3006761 55.9270436, 14.3005058 55.9270946, 14.3002591 55.927133, 14.3000364 55.9271705, 14.2998353 55.9271968, 14.2997883 55.9271961, 14.2997387 55.9271833, 14.2996971 55.92716, 14.2996435 55.9270992)",30,,,
24632356,Västra Järnvägsgatan,residential,False,True,100.997,"LINESTRING (14.2946079 55.9270003, 14.2944292 55.9269925, 14.2941744 55.9269647, 14.293835 55.9269262, 14.2930278 55.9268041)",,,,
45072484,Vallgatan,tertiary,False,False,97.727,"LINESTRING (14.2946079 55.9270003, 14.2946534 55.9268964, 14.2948036 55.926591, 14.294892 55.9263963, 14.2950247 55.9261532)",,,,
146664970,Järnvägsgatan,residential,False,False,17.936,"LINESTRING (14.2946079 55.9270003, 14.2948489 55.927017, 14.2948934 55.927021)",40,,,
