osmid,name,highway,oneway,reversed,length,maxspeed,geometry,lanes,bridge,width,junction
27663857,Bergsgatan,residential,False,False,10.19,,"LINESTRING (17.9707439 59.366157, 17.9706498 59.3660789)",,,,
"[1098408019, 1098408020]",Tulegatan,tertiary,True,False,153.38,40,"LINESTRING (17.9707439 59.366157, 17.9705405 59.3662239, 17.9689363 59.3667497, 17.9684674 59.3669034)",,,,
662718191,Karlsbodavägen,tertiary,True,False,8.834,40,"LINESTRING (17.9602186 59.3600973, 17.9601666 59.3601722)",,,,
"[807459312, 146986658, 414672279]","['Bällstavägen', 'Bällstabro']",tertiary,True,False,115.577,40,"LINESTRING (17.9602186 59.3600973, 17.9604813 59.3601516, 17.9607286 59.3602102, 17.9607563 59.3602168, 17.9610314 59.360282, 17.9617023 59.3604505, 17.9617897 59.3604734, 17.9620589 59.3605444)",2,yes,,
662718198,Hamngatan,tertiary,False,False,7.542,40,"LINESTRING (17.9620589 59.3605444, 17.961995 59.3606039)",,,,
44092928,Landsvägen,tertiary,True,False,94.997,40,"LINESTRING (17.9620589 59.3605444, 17.9622884 59.3606156, 17.9631578 59.36088, 17.9633057 59.3609529, 17.9634253 59.3610278)",2,,,
"[1105198754, 164591651, 958148565]",Hamngatan,tertiary,False,True,63.292,40,"LINESTRING (17.9620589 59.3605444, 17.9620958 59.3605075, 17.9621135 59.3604899, 17.9621515 59.360452, 17.962185 59.3604186, 17.9622001 59.3604035, 17.9622346 59.3603691, 17.9622602 59.3603425, 17.9622984 59.3603015, 17.9625224 59.3600549, 17.9625474 59.3600327)",2,,,
662718186,Landsvägen,tertiary,True,False,8.389,40,"LINESTRING (17.9634253 59.3610278, 17.9635021 59.3610923)",,,,
"[253046883, 146986660, 25631013]",Landsvägen,tertiary,True,False,117.08500000000001,30,"LINESTRING (17.9634253 59.3610278, 17.963648 59.3609788, 17.9638037 59.3609661, 17.9639497 59.3609648, 17.9651387 59.3612526, 17.9653226 59.3612971)",1,,,
275294109,Humblegatan,residential,False,False,5.204,30,"LINESTRING (17.9653226 59.3612971, 17.9652868 59.3613402)",,,,
43471641,Humblegatan,residential,False,True,65.313,30,"LINESTRING (17.9653226 59.3612971, 17.9653827 59.3612413, 17.9657378 59.3608868, 17.9658685 59.3607802)",,,,
200147737,Landsvägen,tertiary,True,False,54.697,30,"LINESTRING (17.9653226 59.3612971, 17.9657306 59.3613918, 17.9659848 59.361432, 17.9662306 59.3614573)",1,,7,
87475157,Vasagatan,residential,True,False,4.751,30,"LINESTRING (17.9662306 59.3614573, 17.9662175 59.3614995)",,,,
200147737,Landsvägen,tertiary,True,False,275.865,30,"LINESTRING (17.9662306 59.3614573, 17.9663781 59.3614664, 17.9665274 59.3614717, 17.966724 59.3614728, 17.966898 59.3614664, 17.9670735 59.3614551, 17.967447 59.3614228, 17.9677781 59.3613947, 17.967987 59.3613756, 17.9686855 59.3613163, 17.9688289 59.3612992, 17.9689455 59.3612774, 17.9690468 59.3612536, 17.9691855 59.3612139, 17.9692381 59.3611969, 17.9694158 59.3611396, 17.9697284 59.361029, 17.9702096 59.3608504, 17.9706689 59.3606564)",1,,7,
155721225,Landsvägen,tertiary,True,False,146.758,30,"LINESTRING (17.9726923 59.3598423, 17.9724839 59.3598898, 17.9723494 59.3599459, 17.9722674 59.3599801, 17.9707279 59.3606942)",1,,4,
453834008,Oljetrågsrondellen,tertiary,True,False,13.298,30,"LINESTRING (17.9726923 59.3598423, 17.9726594 59.3598314, 17.9726335 59.3598103, 17.97262 59.3597934, 17.9726092 59.3597673, 17.9726131 59.3597507, 17.9726206 59.3597382)",1,,,roundabout
367226887,Landsvägen,tertiary,False,True,156.962,40,"LINESTRING (17.9747161 59.3584465, 17.9746415 59.3585577, 17.9745568 59.3586685, 17.9744298 59.3587752, 17.9742751 59.3588741, 17.9737343 59.359198, 17.9734111 59.3593738, 17.9730478 59.359553)",,,,
24324041,Götgatan,residential,False,True,127.18900000000001,30,"LINESTRING (17.9735743 59.3643947, 17.9736699 59.3644047, 17.9737336 59.3644107, 17.973967 59.3644191, 17.9755263 59.3639134)",,,,
339419035,Rosengatan,residential,False,False,60.949000000000005,50,"LINESTRING (17.9735743 59.3643947, 17.9735212 59.3644543, 17.9734506 59.3645205, 17.9732629 59.3646271, 17.973062 59.3647396, 17.972914 59.3648224)",2,,,
