osmid,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,lanes,access,est_width
4080093,Södra Riddarholmshamnen,unclassified,30,False,False,51.242,"LINESTRING (18.0645859 59.3238336, 18.065482 59.3238915)",,,,
4742050,Gymnasiegränd,unclassified,30,False,False,67.388,"LINESTRING (18.0645859 59.3238336, 18.0644301 59.3244344)",,,,
4080093,Södra Riddarholmshamnen,unclassified,30,False,True,44.617999999999995,"LINESTRING (18.0645859 59.3238336, 18.0642566 59.3238035, 18.0640811 59.3237967, 18.0638417 59.3238667)",,,,
4080093,Södra Riddarholmshamnen,unclassified,30,False,True,51.242,"LINESTRING (18.065482 59.3238915, 18.0645859 59.3238336)",,,,
4742050,Gymnasiegränd,unclassified,30,False,True,67.388,"LINESTRING (18.0644301 59.3244344, 18.0645859 59.3238336)",,,,
8048909,Birger Jarls Torg,unclassified,30,False,False,105.00799999999998,"LINESTRING (18.0644301 59.3244344, 18.065078 59.3245038, 18.0651303 59.3245263, 18.0651532 59.3245361, 18.0651936 59.3245766, 18.0652374 59.3246619, 18.0652378 59.3247104, 18.0651953 59.3247588, 18.0648585 59.3250303)",,,,
8048909,Birger Jarls Torg,unclassified,30,False,True,77.638,"LINESTRING (18.0644301 59.3244344, 18.0640255 59.3244035, 18.0638226 59.324732, 18.0637405 59.3248709)",,,,
8048909,Birger Jarls Torg,unclassified,30,False,True,105.00799999999998,"LINESTRING (18.0648585 59.3250303, 18.0651953 59.3247588, 18.0652378 59.3247104, 18.0652374 59.3246619, 18.0651936 59.3245766, 18.0651532 59.3245361, 18.0651303 59.3245263, 18.065078 59.3245038, 18.0644301 59.3244344)",,,,
22822180,Birger Jarls Torg,unclassified,30,False,False,4.942,"LINESTRING (18.0648585 59.3250303, 18.0648111 59.3250242, 18.0647743 59.3250189)",,,,
"[335216928, 1260740961, 22822180]","['Riddarholmsbron', 'Birger Jarls Torg']",unclassified,30,False,"[False, True]",60.647999999999996,"LINESTRING (18.0648585 59.3250303, 18.0649348 59.3250541, 18.0651019 59.3251485, 18.0651988 59.3251952, 18.0656508 59.3253942)",yes,2,,
"[62290051, 120287587, 120288398, 120288408, 1036340250]",Norrbro,tertiary,50,False,"[False, True]",215.785,"LINESTRING (18.0708916 59.3274847, 18.0707872 59.3275682, 18.0707716 59.3275823, 18.0706033 59.3277336, 18.0699593 59.3282847, 18.069686 59.3285197, 18.069585 59.3286063, 18.0690743 59.3290277, 18.0690349 59.329063, 18.0689439 59.3291513)",yes,"['1', '2']",,
"[212085603, 22822143, 709655847]","['Slottskajen', 'Myntgatan']",unclassified,30,False,False,235.32799999999997,"LINESTRING (18.0708916 59.3274847, 18.0707287 59.3274306, 18.0692763 59.3269636, 18.0686231 59.3267279, 18.0684939 59.326674, 18.0678914 59.3264027, 18.0675593 59.3262354)",,,,
1097511255,Slottskajen,tertiary,30,False,False,87.524,"LINESTRING (18.0708916 59.3274847, 18.0711054 59.3275544, 18.0722017 59.3279005)",,3,,
27344331,Tegelbacken,tertiary,40,True,False,24.293,"LINESTRING (18.0634925 59.3289404, 18.063073 59.3288964)",,,,
"[386722952, 5120305]",Strömsborgsbron,unclassified,,False,False,55.158,"LINESTRING (18.0634771 59.3270614, 18.0642151 59.32727, 18.0642551 59.3272831, 18.0643242 59.3273048)",yes,,,
"[252124520, 28345891, 30810533]","['Riddarhusgränd', 'Vasabron']",tertiary,"['30', '50']",True,False,103.434,"LINESTRING (18.0643242 59.3273048, 18.0652856 59.3267031, 18.0653731 59.326642, 18.0654562 59.3265762)",yes,1,,
"[386722952, 5120305]",Strömsborgsbron,unclassified,,False,True,55.158,"LINESTRING (18.0643242 59.3273048, 18.0642551 59.3272831, 18.0642151 59.32727, 18.0634771 59.3270614)",yes,,,
"[120346770, 1130875667]",Munkbron,residential,"['40', '50']",True,False,27.247,"LINESTRING (18.0673844 59.3245886, 18.0670896 59.3247667, 18.0670747 59.3247759)",,,,
8048909,Birger Jarls Torg,unclassified,30,False,True,49.358,"LINESTRING (18.0637405 59.3248709, 18.0634927 59.3252964)",,,,
22822180,Birger Jarls Torg,unclassified,30,False,True,60.911,"LINESTRING (18.0637405 59.3248709, 18.0647743 59.3250189)",,,,
8048909,Birger Jarls Torg,unclassified,30,False,False,77.638,"LINESTRING (18.0637405 59.3248709, 18.0638226 59.324732, 18.0640255 59.3244035, 18.0644301 59.3244344)",,,,
30678772,Tryckerigatan,unclassified,30,False,False,65.144,"LINESTRING (18.0639358 59.3258942, 18.0633453 59.3256065, 18.0632346 59.3254469)",,,,
8048909,Birger Jarls Torg,unclassified,30,False,False,22.244,"LINESTRING (18.0632346 59.3254469, 18.0633688 59.3253728, 18.0634927 59.3252964)",,,,
30678772,Tryckerigatan,unclassified,30,False,True,65.144,"LINESTRING (18.0632346 59.3254469, 18.0633453 59.3256065, 18.0639358 59.3258942)",,,,
30678830,Schering Rosenhanes Gränd,unclassified,30,False,False,65.763,"LINESTRING (18.0632346 59.3254469, 18.0631888 59.3254906, 18.0631984 59.3255423, 18.0631779 59.3255828, 18.0626214 59.3259295)",,,,
8048909,Birger Jarls Torg,unclassified,30,False,False,49.358,"LINESTRING (18.0634927 59.3252964, 18.0637405 59.3248709)",,,,
914731839,Birger Jarls Torg,unclassified,30,False,True,78.98,"LINESTRING (18.0634927 59.3252964, 18.0647743 59.3250189)",,,,
8048909,Birger Jarls Torg,unclassified,30,False,True,22.244,"LINESTRING (18.0634927 59.3252964, 18.0633688 59.3253728, 18.0632346 59.3254469)",,,,
24488857,Kornhamnstorg,unclassified,,True,False,40.747,"LINESTRING (18.0702915 59.322766, 18.070395 59.3227786, 18.0708564 59.3229836)",,1,,
8019239,Kornhamnstorg,unclassified,5,True,False,14.600999999999999,"LINESTRING (18.0710023 59.3230852, 18.0710541 59.3230431, 18.0711392 59.322974)",,,,
445085712,Kornhamnstorg,unclassified,,True,False,14.004999999999999,"LINESTRING (18.0710023 59.3230852, 18.0709423 59.3230434, 18.0708564 59.3229836)",,1,,
30678830,Schering Rosenhanes Gränd,unclassified,30,False,True,65.76299999999999,"LINESTRING (18.0626214 59.3259295, 18.0631779 59.3255828, 18.0631984 59.3255423, 18.0631888 59.3254906, 18.0632346 59.3254469)",,,,
"[22822121, 162142154, 162142153, 252124524, 179043387]","['Rådhusgränd', 'Vasabron']",tertiary,"['40', '50', '30']",True,False,257.935,"LINESTRING (18.0660269 59.3267237, 18.0659478 59.3267261, 18.0658811 59.3267206, 18.065829 59.3267131, 18.0656444 59.3266837, 18.0655702 59.32668, 18.0655158 59.3266827, 18.0654727 59.326685, 18.0654071 59.3267033, 18.0653533 59.3267321, 18.0642104 59.3274484, 18.0632683 59.3280293, 18.0631062 59.3281385, 18.0630863 59.3281582, 18.063057 59.3282066, 18.0631044 59.3282672)",yes,"['1', '2']",,
120346756,Rådhusgränd,tertiary,50,True,False,38.888000000000005,"LINESTRING (18.0660269 59.3267237, 18.065953 59.3267042, 18.0658821 59.3266816, 18.0657886 59.3266453, 18.0657013 59.3266058, 18.0656681 59.3265782, 18.0656454 59.3265594, 18.0656204 59.3265091, 18.0656224 59.3264703)",,,,
30810535,Riddarhuskajen,unclassified,50,False,False,58.993,"LINESTRING (18.0654562 59.3265762, 18.0653831 59.326545, 18.0647136 59.3262638, 18.0646369 59.3262584)",,,,
252124520,Riddarhusgränd,tertiary,50,True,False,15.085,"LINESTRING (18.0654562 59.3265762, 18.0654999 59.3265485, 18.0656224 59.3264703)",,,,
30810535,Riddarhuskajen,unclassified,50,False,True,58.99300000000001,"LINESTRING (18.0646369 59.3262584, 18.0647136 59.3262638, 18.0653831 59.326545, 18.0654562 59.3265762)",,,,
42978106,Tegelbacken,secondary,40,True,False,13.812,"LINESTRING (18.0626017 59.3288283, 18.062366 59.3287971)",,,,
42978106,Tegelbacken,secondary,40,True,False,27.785,"LINESTRING (18.063073 59.3288964, 18.0626017 59.3288283)",,,,
23745128,Munkbrogatan,unclassified,,True,False,16.492,"LINESTRING (18.0668146 59.3242324, 18.0669801 59.3242248, 18.067094 59.3241991)",,,,
1126693173,Munkbroleden,unclassified,50,True,False,46.664,"LINESTRING (18.0668146 59.3242324, 18.0668063 59.3242921, 18.0668059 59.3243633, 18.0668678 59.3245902, 18.066871 59.3246497)",,,,
40291343,Munkbron,unclassified,,True,False,20.750999999999998,"LINESTRING (18.066871 59.3246497, 18.0670064 59.3246712, 18.0670574 59.324706, 18.0670747 59.3247483, 18.0670747 59.3247759)",,,,
