osmid,lanes,ref,name,highway,maxspeed,width,oneway,reversed,length,geometry,junction,access
"[1118556371, 1881639]",2,E 45,Ljusnegatan,trunk,50,8,False,False,106.38499999999999,"LINESTRING (14.365792 62.0340451, 14.3658639 62.0339395, 14.366158 62.033561, 14.3664825 62.0331449)",,
1118556369,,84,Ljusnegatan,primary,50,,False,True,179.76500000000001,"LINESTRING (14.365792 62.0340451, 14.365699 62.0341761, 14.3655281 62.0344922, 14.3654088 62.0347057, 14.3651089 62.0351798, 14.3648437 62.035599)",,
1118556370,2,,Vallarvägen,tertiary,30,,False,False,59.332,"LINESTRING (14.365792 62.0340451, 14.3654916 62.0340044, 14.3646915 62.0339098)",,
8240652,,,,residential,50,,False,False,95.99100000000001,"LINESTRING (14.3664825 62.0331449, 14.3669721 62.0332195, 14.367656 62.0333223, 14.3675197 62.0336001)",,
313098099,,,,unclassified,,,False,True,107.176,"LINESTRING (14.3664825 62.0331449, 14.3663244 62.0331297, 14.3659129 62.0330831, 14.3654959 62.033036, 14.364502 62.0328898)",,
"[1118556371, 1881639]",2,E 45,Ljusnegatan,trunk,50,8,False,True,106.38499999999999,"LINESTRING (14.3664825 62.0331449, 14.366158 62.033561, 14.3658639 62.0339395, 14.365792 62.0340451)",,
23321031,2,,Vallarvägen,tertiary,30,,False,False,35.142,"LINESTRING (14.3646915 62.0339098, 14.3640347 62.033839)",,
30702339,,,Älvgatan,residential,50,,False,False,175.861,"LINESTRING (14.3646915 62.0339098, 14.3646185 62.0340177, 14.3645663 62.0340987, 14.3645502 62.0341219, 14.3643865 62.0344355, 14.3640607 62.0350125, 14.3637758 62.0354313)",,
1118556370,2,,Vallarvägen,tertiary,30,,False,True,59.332,"LINESTRING (14.3646915 62.0339098, 14.3654916 62.0340044, 14.365792 62.0340451)",,
30702342,,,Härjedalsgatan,residential,,,False,True,58.722,"LINESTRING (14.3637758 62.0354313, 14.3648437 62.035599)",,
30702339,,,Älvgatan,residential,50,,False,True,175.86099999999996,"LINESTRING (14.3637758 62.0354313, 14.3640607 62.0350125, 14.3643865 62.0344355, 14.3645502 62.0341219, 14.3645663 62.0340987, 14.3646185 62.0340177, 14.3646915 62.0339098)",,
30702342,,,Härjedalsgatan,residential,,,False,False,208.82399999999998,"LINESTRING (14.3637758 62.0354313, 14.3618392 62.0351544, 14.3615542 62.0351081, 14.3600936 62.0348922, 14.3600025 62.0348793, 14.3599536 62.034871)",,
23321031,2,,Vallarvägen,tertiary,30,,False,True,35.142,"LINESTRING (14.3640347 62.033839, 14.3646915 62.0339098)",,
23321031,2,,Vallarvägen,tertiary,30,,False,False,173.924,"LINESTRING (14.3640347 62.033839, 14.3628044 62.0336606, 14.3627018 62.0336514, 14.3624914 62.0336372, 14.3622487 62.0336021, 14.3619605 62.0335563, 14.3616423 62.0334992, 14.3611911 62.0334036, 14.3609735 62.0333518, 14.3608903 62.0333329)",,
30702340,,,Kyrkogränd,residential,50,,False,False,108.331,"LINESTRING (14.3640347 62.033839, 14.3641208 62.0336437, 14.364502 62.0328898)",,
313098097,,,Kyrkogränd,residential,,,False,True,50.193,"LINESTRING (14.3647329 62.032456, 14.364746 62.0325202, 14.364502 62.0328898)",,
30702340,,,Kyrkogränd,residential,50,,False,True,108.331,"LINESTRING (14.364502 62.0328898, 14.3641208 62.0336437, 14.3640347 62.033839)",,
313098097,,,Kyrkogränd,residential,,,False,False,50.193,"LINESTRING (14.364502 62.0328898, 14.364746 62.0325202, 14.3647329 62.032456)",,
313098099,,,,unclassified,,,False,False,107.176,"LINESTRING (14.364502 62.0328898, 14.3654959 62.033036, 14.3659129 62.0330831, 14.3663244 62.0331297, 14.3664825 62.0331449)",,
38161763,,,Jämtlandsgatan,tertiary,50,,False,False,82.513,"LINESTRING (14.3599536 62.034871, 14.3594663 62.035577)",,
30702342,,,Härjedalsgatan,residential,,,False,False,126.28800000000001,"LINESTRING (14.3599536 62.034871, 14.3596422 62.0348253, 14.3593189 62.0347793, 14.3584638 62.0346577, 14.3583326 62.034639, 14.357638 62.0345382)",,
30702342,,,Härjedalsgatan,residential,,,False,True,208.824,"LINESTRING (14.3599536 62.034871, 14.3600025 62.0348793, 14.3600936 62.0348922, 14.3615542 62.0351081, 14.3618392 62.0351544, 14.3637758 62.0354313)",,
38161763,,,Jämtlandsgatan,tertiary,50,,False,True,116.255,"LINESTRING (14.3599536 62.034871, 14.3602238 62.0344265, 14.3605726 62.0338666)",,
38161764,,,Jämtlandsgatan,tertiary,50,,False,False,114.402,"LINESTRING (14.3565031 62.0388363, 14.3566546 62.0386751, 14.3567404 62.0385838, 14.3570032 62.0383385, 14.3574782 62.0379151)",,
38161764,,,Jämtlandsgatan,tertiary,50,,False,True,46.856,"LINESTRING (14.3565031 62.0388363, 14.3562727 62.0391428, 14.3562133 62.0392351)",,
40902060,,,Tysta vägen,residential,,,False,False,118.11200000000001,"LINESTRING (14.3565031 62.0388363, 14.3566084 62.0388505, 14.3570434 62.0389094, 14.3586796 62.039131)",,
38161765,,,,tertiary,,,True,False,15.027999999999999,"LINESTRING (14.3588733 62.0361642, 14.3589442 62.0361581, 14.3590157 62.0361622, 14.3590813 62.0361762, 14.3591348 62.0361988)",roundabout,
369146531,,,,tertiary,50,,True,False,25.751,"LINESTRING (14.3588733 62.0361642, 14.358984 62.0361489, 14.3590376 62.0361213, 14.3590859 62.0360785, 14.3591691 62.0359955)",,
40902014,,,Gränsgatan,residential,,,False,True,93.666,"LINESTRING (14.3680929 62.0375787, 14.3663627 62.037352)",,
40902015,,,Algatan,residential,50,,False,False,140.375,"LINESTRING (14.3680929 62.0375787, 14.3679714 62.0377562, 14.3679875 62.0378719, 14.3683672 62.0388153)",,
