osmid,oneway,name,highway,maxspeed,reversed,length,geometry,ref,bridge,lanes,tunnel
61225644,True,Norra Fogdelyckegatan,residential,50,False,56.994,"LINESTRING (14.8657464 56.1744108, 14.8648884 56.1742248)",,,,
237390810,False,Norra Fogdelyckegatan,residential,50,False,50.942,"LINESTRING (14.8657464 56.1744108, 14.8659885 56.1744495, 14.8664673 56.1746228)",,,,
448703886,False,Erik Dahlbergsvägen,primary,40,False,191.208,"LINESTRING (14.8657464 56.1744108, 14.8659471 56.1742551, 14.8661367 56.1740617, 14.8666941 56.1733549, 14.8670469 56.1728565)",E 22.02,,,
237390810,False,Norra Fogdelyckegatan,residential,50,True,50.942,"LINESTRING (14.8664673 56.1746228, 14.8659885 56.1744495, 14.8657464 56.1744108)",,,,
23205740,False,Södra Fogdelyckegatan,tertiary,,True,85.378,"LINESTRING (14.8565197 56.171346, 14.8552349 56.1710668)",,,,
402634187,False,Västra Långgatan,residential,,False,97.549,"LINESTRING (14.8565197 56.171346, 14.8558397 56.1721374)",,,,
402634187,False,Västra Långgatan,residential,,True,68.079,"LINESTRING (14.8565197 56.171346, 14.8569703 56.1707875)",,,,
23205740,False,Södra Fogdelyckegatan,tertiary,,False,113.515,"LINESTRING (14.8565197 56.171346, 14.8569014 56.171425, 14.8575843 56.1715664, 14.8578652 56.1716245, 14.8580201 56.1716582, 14.8581022 56.1716745, 14.8582342 56.1717076)",,,,
23205744,False,Ågatan,residential,,False,97.10300000000001,"LINESTRING (14.8590261 56.1718789, 14.8595764 56.1711014, 14.8596052 56.1710674)",,,,
23205744,False,Ågatan,residential,,True,104.314,"LINESTRING (14.8590261 56.1718789, 14.8587226 56.17229, 14.8583838 56.1727462)",,,,
"[294831185, 23206995, 402965991]",False,Södra Fogdelyckegatan,residential,30,"[False, True]",52.617000000000004,"LINESTRING (14.8590261 56.1718789, 14.8589412 56.1718619, 14.8587666 56.1718266, 14.8584931 56.1717604, 14.8583884 56.1717374, 14.8582342 56.1717076)",,yes,,
294831185,False,Södra Fogdelyckegatan,residential,,True,217.95799999999997,"LINESTRING (14.8590261 56.1718789, 14.8593976 56.1719654, 14.8595639 56.1720041, 14.859788 56.1720563, 14.8606471 56.1722563, 14.8611422 56.1723689, 14.8617474 56.1725065, 14.8622801 56.1726276)",,,,
34779756,True,Kungsgatan,residential,,False,97.715,"LINESTRING (14.8622801 56.1726276, 14.8628514 56.1718084)",,,,
