osmid,highway,oneway,reversed,length,ref,maxspeed,geometry
53506525,unclassified,False,True,39.32,,,"LINESTRING (12.0009715 58.5864466, 12.0014048 58.5867187)"
33126239,tertiary,False,False,40.714,O 2083,70,"LINESTRING (12.0009715 58.5864466, 12.0009671 58.5866154, 12.000852 58.5868034)"
33126239,tertiary,False,True,442.571,O 2083,70,"LINESTRING (12.0009715 58.5864466, 12.0007253 58.5862801, 12.0003367 58.5860685, 11.9998617 58.5857759, 11.9998028 58.5857237, 11.9996027 58.5855464, 11.9993177 58.5851188, 11.9991906 58.584709, 11.9990975 58.5845223, 11.9986182 58.5841082, 11.9976078 58.5834195, 11.9971932 58.5830639)"
33126239,tertiary,False,False,25.439,O 2083,70,"LINESTRING (12.000852 58.5868034, 12.0007062 58.5869164, 12.0005947 58.5869885)"
33126239,tertiary,False,True,40.714,O 2083,70,"LINESTRING (12.000852 58.5868034, 12.0009671 58.5866154, 12.0009715 58.5864466)"
289633396,unclassified,False,False,35.293,,,"LINESTRING (12.000852 58.5868034, 12.000989 58.5867421, 12.001102 58.5867158, 12.0012058 58.5867086, 12.0014048 58.5867187)"
289633396,unclassified,False,True,24.626,,,"LINESTRING (12.000852 58.5868034, 12.0008662 58.5868551, 12.0008968 58.5869362, 12.0009253 58.5870215)"
53506525,unclassified,False,False,39.32,,,"LINESTRING (12.0014048 58.5867187, 12.0009715 58.5864466)"
289633396,unclassified,False,True,35.293,,,"LINESTRING (12.0014048 58.5867187, 12.0012058 58.5867086, 12.001102 58.5867158, 12.000989 58.5867421, 12.000852 58.5868034)"
33126239,tertiary,False,False,74.91,O 2083,70,"LINESTRING (11.9965456 58.5824809, 11.9968095 58.5827184, 11.9971932 58.5830639)"
289633349,unclassified,False,True,197.534,,,"LINESTRING (12.000307 58.5824729, 12.0000964 58.5825111, 11.9996964 58.582527, 11.9990888 58.5825413, 11.9988842 58.5825461, 11.9987041 58.58257, 11.9985545 58.5826114, 11.9981733 58.5827429, 11.9974522 58.5829918, 11.9971932 58.5830639)"
33126239,tertiary,False,False,442.5709999999999,O 2083,70,"LINESTRING (11.9971932 58.5830639, 11.9976078 58.5834195, 11.9986182 58.5841082, 11.9990975 58.5845223, 11.9991906 58.584709, 11.9993177 58.5851188, 11.9996027 58.5855464, 11.9998028 58.5857237, 11.9998617 58.5857759, 12.0003367 58.5860685, 12.0007253 58.5862801, 12.0009715 58.5864466)"
33126239,tertiary,False,True,74.91,O 2083,70,"LINESTRING (11.9971932 58.5830639, 11.9968095 58.5827184, 11.9965456 58.5824809)"
289633349,unclassified,False,False,197.53400000000002,,,"LINESTRING (11.9971932 58.5830639, 11.9974522 58.5829918, 11.9981733 58.5827429, 11.9985545 58.5826114, 11.9987041 58.58257, 11.9988842 58.5825461, 11.9990888 58.5825413, 11.9996964 58.582527, 12.0000964 58.5825111, 12.000307 58.5824729)"
33126239,tertiary,False,True,25.439,O 2083,70,"LINESTRING (12.0005947 58.5869885, 12.0007062 58.5869164, 12.000852 58.5868034)"
289633422,unclassified,False,False,20.091,,,"LINESTRING (12.0005947 58.5869885, 12.0007019 58.5869885, 12.0008185 58.5869919, 12.0008811 58.5870032, 12.0009253 58.5870215)"
289633396,unclassified,False,False,24.626000000000005,,,"LINESTRING (12.0009253 58.5870215, 12.0008968 58.5869362, 12.0008662 58.5868551, 12.000852 58.5868034)"
289633422,unclassified,False,True,20.091,,,"LINESTRING (12.0009253 58.5870215, 12.0008811 58.5870032, 12.0008185 58.5869919, 12.0007019 58.5869885, 12.0005947 58.5869885)"
