osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,geometry,name,tunnel,junction
205899348,True,4,E 18,motorway,80,False,459.038,"LINESTRING (18.0354614 59.4066269, 18.0362362 59.405685, 18.0365366 59.4051739, 18.036719 59.404689, 18.0367871 59.40445, 18.036825 59.4042404, 18.0368943 59.4035282, 18.0369571 59.4026139)",,,
"[23343290, 23343289, 62289594]",False,,,tertiary,40,True,145.80100000000002,"LINESTRING (18.0351983 59.4034725, 18.0353455 59.4034663, 18.0358134 59.403427, 18.0362563 59.4033656, 18.0363586 59.4033514, 18.0365754 59.4033377, 18.0366697 59.4033399, 18.036757 59.403342, 18.0372756 59.4033686, 18.0377405 59.4033942)",Kyrkogårdsvägen,yes,
453250419,False,,,tertiary,40,False,36.853,"LINESTRING (18.0351983 59.4034725, 18.0352081 59.4032695, 18.0353007 59.4031501)",Gamla landsvägen,,
470034727,False,,,tertiary,30,True,34.924,"LINESTRING (18.0351983 59.4034725, 18.0351796 59.4035725, 18.0351295 59.4037846)",Gamla landsvägen,,
5114599,False,,,residential,30,False,123.422,"LINESTRING (18.0353007 59.4031501, 18.0351533 59.403136, 18.0350181 59.4031298, 18.0345467 59.4031337, 18.0331234 59.4031456)",Dalstigen,,
"[788223480, 453250419]",False,,,tertiary,40,False,248.54600000000002,"LINESTRING (18.0353007 59.4031501, 18.035443 59.4030809, 18.0360778 59.4028467, 18.0363735 59.402675, 18.0365452 59.4025003, 18.0365881 59.4021333, 18.0365582 59.4018818, 18.036493 59.4015649, 18.0362933 59.4012049)",Gamla landsvägen,,
453250419,False,,,tertiary,40,True,36.853,"LINESTRING (18.0353007 59.4031501, 18.0352081 59.4032695, 18.0351983 59.4034725)",Gamla landsvägen,,
788223479,True,,,tertiary,40,False,86.206,"LINESTRING (18.0362933 59.4012049, 18.0361712 59.4010806, 18.0358292 59.4005392, 18.0357949 59.4004739)",Gamla landsvägen,,
"[788223480, 453250419]",False,,,tertiary,40,True,248.54600000000002,"LINESTRING (18.0362933 59.4012049, 18.036493 59.4015649, 18.0365582 59.4018818, 18.0365881 59.4021333, 18.0365452 59.4025003, 18.0363735 59.402675, 18.0360778 59.4028467, 18.035443 59.4030809, 18.0353007 59.4031501)",Gamla landsvägen,,
292650354,True,,,tertiary,40,False,16.334,"LINESTRING (18.0360622 59.4004707, 18.0360108 59.4004875, 18.0359272 59.4004969, 18.0358593 59.4004916, 18.0357949 59.4004739)",Gamla landsvägen,,roundabout
