osmid,oneway,highway,maxspeed,reversed,length,ref,name,geometry,bridge,lanes,junction
4474401,True,unclassified,40,False,14.748,,,"LINESTRING (13.1559506 58.5010279, 13.1558807 58.5011554)",,,
38530554,False,secondary,40,True,78.042,44.05,Esplanaden,"LINESTRING (13.1559506 58.5010279, 13.1556981 58.5010961, 13.1547506 58.5013433)",,,
38530555,False,secondary,40,False,30.008,44.05,Esplanaden,"LINESTRING (13.1559506 58.5010279, 13.1561225 58.5009854, 13.1564175 58.5009125)",,,
35819050,False,secondary,40,False,36.93599999999999,44.05,Esplanaden,"LINESTRING (13.1541821 58.501492, 13.1544009 58.5014356, 13.1544512 58.5014223, 13.1547506 58.5013433)",,,
38526687,False,tertiary,40,True,37.137,O 2558,Esplanaden,"LINESTRING (13.1541821 58.501492, 13.1539332 58.5015588, 13.1538491 58.5015812, 13.1536131 58.5016442)",,,
"[43308689, 43308703]",False,secondary,40,True,51.26200000000001,44.03,Mellbygatan,"LINESTRING (13.1541821 58.501492, 13.1540991 58.5013994, 13.1540624 58.5013602, 13.1538543 58.5011376, 13.1537941 58.501078)",,,
36002776,False,residential,40,False,67.906,,Rådagatan,"LINESTRING (13.1535646 58.5008375, 13.152515 58.5011062)",,,
38107609,False,secondary,40,False,29.881999999999998,44.03,Mellbygatan,"LINESTRING (13.1535646 58.5008375, 13.1535935 58.5008689, 13.1537941 58.501078)",,,
40349284,False,secondary,40,True,110.60900000000001,44.03,Mellbygatan,"LINESTRING (13.1535646 58.5008375, 13.1535268 58.5007964, 13.1532855 58.5005368, 13.1527282 58.4999439)",,,
43694023,False,secondary,40,False,112.45100000000001,O 2559,Kållandsgatan,"LINESTRING (13.1586584 58.5054834, 13.1590438 58.5053643, 13.1591598 58.5053259, 13.1596629 58.5051578, 13.160028 58.5050277, 13.1600937 58.5050043, 13.1602873 58.5049375)",,,
250773266,False,secondary,40,True,73.59,O 2559,Kållandsgatan,"LINESTRING (13.1586584 58.5054834, 13.1584675 58.5055341, 13.1581301 58.5056311, 13.1576404 58.5057745, 13.1575506 58.5058041)",,,
27570910,False,unclassified,40,True,113.539,,Västra hamnen,"LINESTRING (13.1602873 58.5049375, 13.1601945 58.5048291, 13.1601558 58.5047934, 13.1593428 58.5040441)",,,
"[4526528, 42557106, 55880163, 4526527]",False,secondary,40,False,94.935,O 2559,"['Kållandsgatan', 'Rörstrandsgatan', 'Rörstrandsbron']","LINESTRING (13.1602873 58.5049375, 13.1604423 58.5048858, 13.1605499 58.5048536, 13.1608942 58.5047504, 13.1614433 58.5045948, 13.161633 58.5045426, 13.1617129 58.5045206)",yes,,
43694023,False,secondary,40,True,112.451,O 2559,Kållandsgatan,"LINESTRING (13.1602873 58.5049375, 13.1600937 58.5050043, 13.160028 58.5050277, 13.1596629 58.5051578, 13.1591598 58.5053259, 13.1590438 58.5053643, 13.1586584 58.5054834)",,,
"[1227667658, 1227667659, 1082407292, 4474402]",False,unclassified,40,True,367.78499999999997,,Västra hamnen,"LINESTRING (13.1602873 58.5049375, 13.1604115 58.5050756, 13.1607444 58.5054375, 13.1607637 58.505459, 13.1607904 58.5054883, 13.1608258 58.5055243, 13.1610306 58.5057539, 13.1611536 58.5058686, 13.16158 58.50638, 13.1623553 58.5072603, 13.1624131 58.5073992, 13.1623755 58.5075268, 13.1623237 58.507607, 13.1620123 58.5079607)",,,
4474402,False,unclassified,40,True,70.021,,Västra hamnen,"LINESTRING (13.1620123 58.5079607, 13.1608727 58.508166)",,,
"[1227667658, 4474402, 1227667659, 1082407292]",False,unclassified,40,False,367.78499999999997,,Västra hamnen,"LINESTRING (13.1620123 58.5079607, 13.1623237 58.507607, 13.1623755 58.5075268, 13.1624131 58.5073992, 13.1623553 58.5072603, 13.16158 58.50638, 13.1611536 58.5058686, 13.1610306 58.5057539, 13.1608258 58.5055243, 13.1607904 58.5054883, 13.1607637 58.505459, 13.1607444 58.5054375, 13.1604115 58.5050756, 13.1602873 58.5049375)",,,
4474402,False,unclassified,40,False,70.021,,Västra hamnen,"LINESTRING (13.1608727 58.508166, 13.1620123 58.5079607)",,,
4526536,False,tertiary,40,False,100.204,O 2602,Östra hamnen,"LINESTRING (13.1583304 58.5004895, 13.1583746 58.500533, 13.158422 58.5005891, 13.1584533 58.5006237, 13.1590693 58.5013037)",,,
4526549,False,secondary,40,False,93.191,44.05,Wennerbergsvägen,"LINESTRING (13.1583304 58.5004895, 13.1587009 58.5004224, 13.159846 58.5002151)",,,
"[4526552, 43308852, 4526549]",False,secondary,40,True,120.776,44.05,"['Wennerbergsvägen', 'Wennerbergsbron', 'Esplanaden']","LINESTRING (13.1583304 58.5004895, 13.1581381 58.500525, 13.1579037 58.5005731, 13.157752 58.5006042, 13.1573887 58.5006824, 13.1567412 58.5008253, 13.1567183 58.5008304, 13.1564175 58.5009125)",yes,,
55880162,False,tertiary,40,True,131.668,O 2602,Hamngatan,"LINESTRING (13.1583304 58.5004895, 13.1582707 58.5004355, 13.1582185 58.5003763, 13.1581965 58.5003513, 13.1573735 58.4994164)",,,
"[51427109, 51427111]",False,secondary,40,False,103.726,O 2559,Rörstrandsgatan,"LINESTRING (13.1639458 58.5039939, 13.1646778 58.5039352, 13.1654578 58.5038828, 13.1657134 58.5038625)",,,
51427110,True,secondary,40,False,110.628,O 2559,Rörstrandsgatan,"LINESTRING (13.1639458 58.5039939, 13.1634301 58.504115, 13.1632753 58.5041521, 13.1627531 58.5042887, 13.1624738 58.5043644, 13.1623145 58.5044199, 13.1622538 58.5044459)",,,
32552437,False,residential,40,False,135.856,,Kvarngatan,"LINESTRING (13.1524556 58.5074084, 13.1525024 58.5073521, 13.152519 58.5073052, 13.1525177 58.5072646, 13.1524962 58.507219, 13.1524399 58.5071553, 13.1524132 58.5071288, 13.1523602 58.5070764, 13.1521068 58.5068312, 13.1515602 58.5063182)",,,
32552439,False,unclassified,40,False,27.655,,Gamla Kållandsgatan,"LINESTRING (13.1524556 58.5074084, 13.1526202 58.5074563, 13.1528662 58.5075342)",,,
32552439,False,unclassified,40,True,27.655,,Gamla Kållandsgatan,"LINESTRING (13.1528662 58.5075342, 13.1526202 58.5074563, 13.1524556 58.5074084)",,,
250773266,False,secondary,40,False,88.863,O 2559,Kållandsgatan,"LINESTRING (13.1528662 58.5075342, 13.1530361 58.5074443, 13.1532517 58.5073239, 13.1534851 58.5072076, 13.1537059 58.5071041, 13.1539807 58.5069882)",,,
