osmid,oneway,highway,maxspeed,reversed,length,geometry,name,access,ref,junction
4081475,True,motorway_link,60,False,392.259,"LINESTRING (17.8171651 59.7442455, 17.817293 59.7435517, 17.8172672 59.7429505, 17.8171642 59.7426348, 17.8168292 59.7419195, 17.81678 59.7418209, 17.8167439 59.7417313, 17.8167133 59.7416388, 17.8166855 59.741516, 17.8166714 59.7414471, 17.8166633 59.7413599, 17.816662 59.7412849, 17.816666 59.7412214, 17.8166834 59.7411248, 17.8167031 59.7408268, 17.8166589 59.7407563)",,,,
25830410,False,residential,40,False,74.538,"LINESTRING (17.8100439 59.7435144, 17.8112585 59.7437879)",Rubanksgatan,yes,,
28229011,False,tertiary,40,False,105.37100000000001,"LINESTRING (17.8100439 59.7435144, 17.8102354 59.7432523, 17.8104937 59.7430072, 17.8108188 59.7426954, 17.8108543 59.7426612)",Tånggatan,,C 1053,
"[4081522, 28229011]",False,tertiary,40,"[False, True]",183.56300000000002,"LINESTRING (17.8100439 59.7435144, 17.8098623 59.743737, 17.8097655 59.7439999, 17.8096757 59.7443803, 17.8097049 59.7447827, 17.8097654 59.7451384)","['Carl von Paykulls väg', 'Tånggatan']",,C 1053,
28229011,False,tertiary,40,True,28.738,"LINESTRING (17.8105832 59.7412053, 17.8107123 59.7413675, 17.8107735 59.7414453)",Tånggatan,,C 1053,
372723289,True,tertiary,40,False,38.318,"LINESTRING (17.8105832 59.7412053, 17.8104499 59.7410297, 17.8103848 59.7409593, 17.8102954 59.7408945)",Tånggatan,,C 1053,
28225469,False,unclassified,,True,7.506,"LINESTRING (17.8130792 59.7405737, 17.8130803 59.7406412)",,,,
28225469,False,unclassified,,False,158.525,"LINESTRING (17.8130792 59.7405737, 17.8130888 59.7404465, 17.8130953 59.7403262, 17.8131094 59.740065, 17.8131113 59.7400127, 17.8131153 59.7399064, 17.8131246 59.7398778, 17.8131444 59.7398418, 17.813175 59.7398128, 17.8132494 59.7397948, 17.8133282 59.7397886, 17.8134304 59.7397817, 17.8138426 59.7397716, 17.8142031 59.739769, 17.8143082 59.7397694, 17.814472 59.7397683)",,,,
"[242870681, 242890195]",True,secondary,60,False,197.374,"LINESTRING (17.8130792 59.7405737, 17.8133407 59.7405702, 17.8139103 59.7405561, 17.8142839 59.7405567, 17.8146199 59.7405573, 17.8158904 59.7405817, 17.816332 59.7405836, 17.8165985 59.7405697)",Gredelbyleden,,C 1046,
28229011,False,tertiary,40,False,128.861,"LINESTRING (17.8108543 59.7426612, 17.8109304 59.7425879, 17.8110787 59.7423877, 17.8111323 59.7421821, 17.8111183 59.7420189, 17.8110883 59.7419082, 17.8110159 59.7417768, 17.8108525 59.7415475)",Tånggatan,,C 1053,
28229011,False,tertiary,40,True,105.37100000000001,"LINESTRING (17.8108543 59.7426612, 17.8108188 59.7426954, 17.8104937 59.7430072, 17.8102354 59.7432523, 17.8100439 59.7435144)",Tånggatan,,C 1053,
