osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,width,tunnel
4826117,Skolportsgatan,unclassified,30,False,False,214.71,"LINESTRING (18.2984779 57.63729, 18.2993733 57.6369481, 18.3009977 57.6363191, 18.3011587 57.6362502, 18.3014041 57.6361612)",,,,
4826117,Skolportsgatan,unclassified,30,False,True,84.786,"LINESTRING (18.2984779 57.63729, 18.2977403 57.6375894, 18.2975996 57.6376389, 18.2973295 57.6377408)",,,,
425186213,Kung Magnus väg,unclassified,30,False,False,322.603,"LINESTRING (18.2984779 57.63729, 18.2994783 57.638032, 18.2999665 57.6383974, 18.300126 57.6385079, 18.3004744 57.6387294, 18.3006316 57.638823, 18.3007148 57.6388632, 18.3017197 57.6394001, 18.3018785 57.6394624, 18.3019543 57.6395018)",,,,
"[311137001, 311137002, 4826106, 425186213]",Kung Magnus väg,unclassified,30,False,True,469.5809999999999,"LINESTRING (18.2984779 57.63729, 18.2983773 57.6372092, 18.297915 57.6368771, 18.2973813 57.6364936, 18.297047 57.6362455, 18.2957642 57.635297, 18.2953064 57.6349579, 18.29479 57.6345622, 18.2943982 57.6342742, 18.2939502 57.6339646, 18.293849 57.6338715)",2,,,
4826109,Schéelegatan,unclassified,30,False,False,200.567,"LINESTRING (18.3014041 57.6361612, 18.3015396 57.6362646, 18.3022544 57.636821, 18.3023308 57.6368755, 18.303228 57.6375065, 18.3033916 57.6376171)",,,,
4826117,Skolportsgatan,unclassified,30,False,False,61.72,"LINESTRING (18.3014041 57.6361612, 18.3019976 57.6359218, 18.3022356 57.6358296)",,,,
4826117,Skolportsgatan,unclassified,30,False,True,214.71,"LINESTRING (18.3014041 57.6361612, 18.3011587 57.6362502, 18.3009977 57.6363191, 18.2993733 57.6369481, 18.2984779 57.63729)",,,,
27828273,Söderväg,unclassified,50,False,False,126.82399999999998,"LINESTRING (18.29045 57.6334572, 18.2909314 57.6338898, 18.2914178 57.6343012, 18.2914384 57.6343198, 18.2915597 57.6344307)",,,,
5134286,,residential,50,False,False,30.64,"LINESTRING (18.2938587 57.6354885, 18.2937389 57.6355696, 18.2937128 57.6355841, 18.2936784 57.6356032, 18.2935158 57.6356936)",,,,
5118601,Österväg,secondary,50,False,True,107.97999999999999,"LINESTRING (18.3032457 57.6365013, 18.3034454 57.6364287, 18.3039901 57.6362275, 18.3047399 57.6359506)",3,143,,
