osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,bridge,ref,access
168975981,Slottsgatan,residential,30,False,False,51.073,"LINESTRING (16.1848607 58.5948961, 16.1849441 58.5949084, 16.1857143 58.5950106)",,,,
168975981,Slottsgatan,residential,30,False,True,12.998999999999999,"LINESTRING (16.1848607 58.5948961, 16.1847721 58.5948826, 16.1847431 58.5948782, 16.1847133 58.5948741, 16.1846451 58.5948638)",,,,
27942229,Dalsgatan,residential,30,False,False,6.02,"LINESTRING (16.1848464 58.5868462, 16.1848252 58.5867932)",2,,,
27942229,Dalsgatan,residential,30,False,True,56.014,"LINESTRING (16.1848464 58.5868462, 16.1849907 58.5873443)",2,,,
8237384,Kvarngatan,residential,30,False,False,155.73999999999998,"LINESTRING (16.1848464 58.5868462, 16.1837783 58.5869693, 16.1825144 58.5872513, 16.1823135 58.5872961)",,,,
92427819,Gamla torget,residential,30,False,True,74.824,"LINESTRING (16.1851253 58.5882612, 16.1863812 58.5884173)",2,,,
26154688,Järnbrogatan,residential,30,False,True,70.264,"LINESTRING (16.1851253 58.5882612, 16.185076 58.5884972, 16.1850274 58.5886003, 16.1849001 58.5888809)",,,,
"[760535021, 760535022]",Dalsgatan,residential,30,False,False,102.27,"LINESTRING (16.1851253 58.5882612, 16.1851212 58.5882292, 16.1850302 58.5875239, 16.1849907 58.5873443)",2,,,
1824272,Skolgatan,residential,30,False,True,92.001,"LINESTRING (16.1864294 58.5891029, 16.1862111 58.5890709, 16.1860853 58.5890525, 16.1858349 58.5890159, 16.1854528 58.58896, 16.1851278 58.5889125, 16.1849001 58.5888809)",,,,
92427805,Gamla Rådstugugatan,residential,30,False,False,53.672999999999995,"LINESTRING (16.1864294 58.5891029, 16.1864285 58.5890457, 16.1866279 58.5886331)",2,,,
286474050,Gamla Rådstugugatan,residential,30,False,True,84.582,"LINESTRING (16.1864294 58.5891029, 16.1864286 58.5891641, 16.1864263 58.5892281, 16.1863404 58.5894096, 16.1862762 58.5895423, 16.18613 58.5898445)",2,,,
"[286474051, 972669854]",Skolgatan,residential,30,False,False,230.57600000000002,"LINESTRING (16.1864294 58.5891029, 16.1865276 58.5891165, 16.1877109 58.5892817, 16.1877337 58.5892846, 16.1877597 58.5892879, 16.1879756 58.5893187, 16.1892964 58.5894993, 16.1902727 58.5896393)",,,,
1823966,Knäppingsborgsgatan,residential,5,False,True,100.97600000000001,"LINESTRING (16.18613 58.5898445, 16.186048 58.5898338, 16.1854904 58.5897614, 16.1854336 58.589754, 16.185356 58.5897347, 16.1851976 58.5896953, 16.1849401 58.5896073, 16.1847751 58.5895483, 16.1845646 58.5894731)",,,,
152833385,Knäppingsborgsgatan,residential,30,True,False,224.36600000000004,"LINESTRING (16.18613 58.5898445, 16.1862518 58.5898616, 16.1868175 58.5899414, 16.1873492 58.5900135, 16.1873713 58.5900166, 16.1873962 58.59002, 16.1877858 58.5900739, 16.1879458 58.5900965, 16.1888627 58.5902262, 16.1889492 58.5902384, 16.1898716 58.5903631)",,,,
285597752,Gamla Rådstugugatan,residential,30,False,True,83.86200000000001,"LINESTRING (16.18613 58.5898445, 16.1860548 58.5899856, 16.1858198 58.5904223, 16.1857429 58.5905712)",2,,,
286474050,Gamla Rådstugugatan,residential,30,False,False,84.582,"LINESTRING (16.18613 58.5898445, 16.1862762 58.5895423, 16.1863404 58.5894096, 16.1864263 58.5892281, 16.1864286 58.5891641, 16.1864294 58.5891029)",2,,,
350376447,Trädgårdsgatan,residential,30,False,True,52.915,"LINESTRING (16.1853559 58.5913041, 16.1844781 58.591173)",,,,
"[286737226, 131644805]",Trädgårdsgatan,residential,30,True,False,163.066,"LINESTRING (16.1853559 58.5913041, 16.1854046 58.5913111, 16.1866151 58.591484, 16.1866352 58.5914869, 16.1866604 58.5914905, 16.1867258 58.5914997, 16.1869226 58.5915268, 16.1872237 58.5915699, 16.1880711 58.5916893)",,,,
285597751,Gamla Rådstugugatan,residential,30,False,False,84.524,"LINESTRING (16.1853559 58.5913041, 16.1857294 58.5905967, 16.1857429 58.5905712)",2,,,
760535013,Gamla Rådstugugatan,residential,30,True,False,86.769,"LINESTRING (16.1849575 58.5920563, 16.1853559 58.5913041)",,,,
1719561,Nya Rådstugugatan,residential,30,False,False,79.545,"LINESTRING (16.1849575 58.5920563, 16.1850887 58.5920741, 16.1862337 58.5922293, 16.1862586 58.5922327, 16.186286 58.5922364)",,,,
