osmid,name,highway,maxspeed,width,oneway,reversed,length,geometry,bridge,ref
38807873,Storgatan,tertiary,50,6,False,False,87.364,"LINESTRING (15.5401854 56.6303152, 15.5403118 56.6304329, 15.5408726 56.6310039)",,
80259650,Nygatan,residential,,,False,True,41.41,"LINESTRING (15.5401854 56.6303152, 15.5399661 56.6303668, 15.5395657 56.6304652)",,
547719140,Nygatan,tertiary,,,False,True,71.849,"LINESTRING (15.5401854 56.6303152, 15.5404307 56.6302413, 15.5407577 56.6301185, 15.5409478 56.6300316, 15.5410878 56.6299164)",,
547720340,Storgatan,residential,40,,False,False,102.10200000000002,"LINESTRING (15.5401854 56.6303152, 15.5400609 56.6301871, 15.5400217 56.6301414, 15.5399445 56.6300708, 15.5397797 56.6299082, 15.539631 56.6297622, 15.5395192 56.6296435, 15.5394473 56.6295831, 15.5394203 56.6295656, 15.5393225 56.6295447)",,
72858063,Långgatan,residential,,,False,True,174.622,"LINESTRING (15.5415972 56.6278422, 15.5413999 56.6278204, 15.5411711 56.6278112, 15.540891 56.6277994, 15.5406324 56.6278149, 15.5403423 56.6278559, 15.5400788 56.6279252, 15.5399114 56.6279881, 15.5390959 56.628385)",,
80033450,Nygatan,tertiary,,,False,False,49.157,"LINESTRING (15.5415972 56.6278422, 15.5416933 56.6275678, 15.5417579 56.6274091)",,
"[25101081, 80033450, 547719140]",Nygatan,tertiary,40,,False,"[False, True]",234.49400000000003,"LINESTRING (15.5415972 56.6278422, 15.541535 56.628103, 15.5414926 56.6284671, 15.5414586 56.6287089, 15.5414145 56.6290776, 15.5413738 56.6293773, 15.5413246 56.6295957, 15.5412465 56.6297535, 15.5411871 56.6298132, 15.5410878 56.6299164)",yes,
80033450,Nygatan,tertiary,,,False,True,49.157,"LINESTRING (15.5417579 56.6274091, 15.5416933 56.6275678, 15.5415972 56.6278422)",,
"[1130695934, 1125776751]",Södergatan,secondary,"['60', '40']",,False,True,162.801,"LINESTRING (15.5417579 56.6274091, 15.5410999 56.6273407, 15.5409769 56.6273245, 15.5404493 56.627255, 15.5402056 56.6272231, 15.5391729 56.627064)",,120
42802480,Rådhusgatan,residential,,,False,False,119.80799999999999,"LINESTRING (15.5361955 56.629991, 15.5362165 56.6301346, 15.5362576 56.6304833, 15.5363229 56.6309379, 15.5363462 56.6310652)",,
82187067,Järnvägsgatan,residential,,,False,False,58.407000000000004,"LINESTRING (15.5361955 56.629991, 15.5358668 56.6300365, 15.535531 56.6300869, 15.5352703 56.6301209)",,
82187067,Järnvägsgatan,residential,,,False,True,198.015,"LINESTRING (15.5361955 56.629991, 15.5363773 56.6299604, 15.5366773 56.6299125, 15.5373219 56.6298317, 15.5376355 56.6297856, 15.5378437 56.629753, 15.5379912 56.6297351, 15.5383311 56.6296794, 15.5388257 56.6296038, 15.5391371 56.6295486, 15.5392196 56.6295414, 15.5393225 56.6295447)",,
42802480,Rådhusgatan,residential,,,False,False,244.923,"LINESTRING (15.5365334 56.6326658, 15.5365474 56.6328359, 15.5365667 56.6330537, 15.5365745 56.6332292, 15.5365911 56.6333395, 15.5366011 56.6336593, 15.5366075 56.6337567, 15.5365977 56.6338534, 15.5365928 56.6339958, 15.5365696 56.6341047, 15.5364914 56.6341356, 15.5364169 56.634196, 15.5362044 56.6342632, 15.536015 56.6343028, 15.5357524 56.6343539, 15.5355765 56.6343929, 15.5354805 56.6344232, 15.5353689 56.6344594)",,
42802480,Rådhusgatan,residential,,,False,True,85.915,"LINESTRING (15.5365334 56.6326658, 15.5365319 56.632553, 15.5365117 56.6322753, 15.5364868 56.6320429, 15.5364666 56.6318942)",,
74214593,Torggatan,residential,,,False,False,67.364,"LINESTRING (15.5365334 56.6326658, 15.536774 56.6326799, 15.5374925 56.6327207, 15.5376297 56.632721)",,
74214593,Torggatan,residential,,,False,True,104.321,"LINESTRING (15.5365334 56.6326658, 15.536134 56.632633, 15.5348405 56.6325516)",,
74214593,Torggatan,residential,,,False,False,80.325,"LINESTRING (15.5417509 56.631893, 15.542944 56.631591)",,
"[38807873, 137617322, 137617319]",Storgatan,tertiary,"['40', '50']",6,False,False,274.305,"LINESTRING (15.5417509 56.631893, 15.5419935 56.6321399, 15.5425113 56.6326558, 15.5431265 56.6332467, 15.5432344 56.6333596, 15.5433275 56.6334444, 15.5435269 56.6336079, 15.543732 56.6337709, 15.5438991 56.633916, 15.5440312 56.6340147)",yes,
38807873,Storgatan,tertiary,50,6,False,True,112.525,"LINESTRING (15.5417509 56.631893, 15.5413995 56.6315229, 15.5408726 56.6310039)",,
74214593,Torggatan,residential,,,False,True,86.026,"LINESTRING (15.5417509 56.631893, 15.5409956 56.632091, 15.5404772 56.6322212)",,
74214593,Torggatan,residential,,,False,False,79.871,"LINESTRING (15.5376297 56.632721, 15.5378122 56.6327025, 15.5384292 56.6326538, 15.5387845 56.6326193, 15.5389128 56.632594)",,
74214593,Torggatan,residential,,,False,True,67.36399999999999,"LINESTRING (15.5376297 56.632721, 15.5374925 56.6327207, 15.536774 56.6326799, 15.5365334 56.6326658)",,
268281033,Bondegatan,residential,40,,False,False,96.68,"LINESTRING (15.5376297 56.632721, 15.5376839 56.632845, 15.5377388 56.6330208, 15.5378368 56.6332823, 15.5379578 56.6335713)",,
42802480,Rådhusgatan,residential,,,False,False,92.475,"LINESTRING (15.5363462 56.6310652, 15.5363734 56.6312473, 15.5364666 56.6318942)",,
42802480,Rådhusgatan,residential,,,False,True,119.80799999999999,"LINESTRING (15.5363462 56.6310652, 15.5363229 56.6309379, 15.5362576 56.6304833, 15.5362165 56.6301346, 15.5361955 56.629991)",,
80259650,Nygatan,residential,,,False,False,79.344,"LINESTRING (15.5363462 56.6310652, 15.5365603 56.6310483, 15.5369618 56.6309615, 15.5372167 56.6309131, 15.537577 56.6308468)",,
80259650,Nygatan,residential,,,False,False,92.056,"LINESTRING (15.537577 56.6308468, 15.5376932 56.6308217, 15.5379591 56.6307687, 15.5382978 56.6307069, 15.5385084 56.6306664, 15.5388586 56.6305971, 15.5389972 56.630573)",,
80259650,Nygatan,residential,,,False,True,79.344,"LINESTRING (15.537577 56.6308468, 15.5372167 56.6309131, 15.5369618 56.6309615, 15.5365603 56.6310483, 15.5363462 56.6310652)",,
921319509,Linnégatan,residential,40,,False,False,95.94300000000001,"LINESTRING (15.537577 56.6308468, 15.5377619 56.6311046, 15.5379984 56.6314019, 15.5381891 56.6316411)",,
80259650,Nygatan,residential,,,False,False,36.786,"LINESTRING (15.5389972 56.630573, 15.5394186 56.6304962, 15.5395657 56.6304652)",,
80259650,Nygatan,residential,,,False,True,92.05600000000001,"LINESTRING (15.5389972 56.630573, 15.5388586 56.6305971, 15.5385084 56.6306664, 15.5382978 56.6307069, 15.5379591 56.6307687, 15.5376932 56.6308217, 15.537577 56.6308468)",,
80259659,Hantverkaregatan,residential,,,False,True,89.317,"LINESTRING (15.5389972 56.630573, 15.5392049 56.6308425, 15.5393209 56.630978, 15.5394867 56.6311771, 15.5395975 56.6313051)",,
295697164,Lokstallsgatan,residential,40,,False,True,19.127,"LINESTRING (15.530763 56.6292227, 15.5307216 56.6293932)",,
72858063,Långgatan,residential,,,False,False,100.69,"LINESTRING (15.530763 56.6292227, 15.532003 56.6292763, 15.5324054 56.6292792)",,
72858064,Lokstallsgatan,residential,,,False,True,125.81,"LINESTRING (15.530763 56.6292227, 15.5307763 56.6290084, 15.5308409 56.6286465, 15.5308757 56.628434, 15.5308956 56.6282945, 15.5308791 56.6282088, 15.5308161 56.6281003)",,
82187067,Järnvägsgatan,residential,,,False,False,127.51000000000002,"LINESTRING (15.5352703 56.6301209, 15.5351048 56.6301474, 15.5349637 56.630169, 15.5344111 56.6302508, 15.5342511 56.6302726, 15.5340413 56.6303106, 15.5339403 56.6303602, 15.5339007 56.6303871, 15.5338735 56.6304162, 15.5338549 56.6304611, 15.5337974 56.6307157)",,
82187067,Järnvägsgatan,residential,,,False,True,58.407000000000004,"LINESTRING (15.5352703 56.6301209, 15.535531 56.6300869, 15.5358668 56.6300365, 15.5361955 56.629991)",,
83938711,Kyrkogatan,residential,,,False,True,78.78999999999999,"LINESTRING (15.5352703 56.6301209, 15.535292 56.6301765, 15.5353083 56.6302889, 15.5352796 56.6304256, 15.5352328 56.6306931, 15.5352097 56.6308251)",,
83938711,Kyrkogatan,residential,,,False,True,39.527,"LINESTRING (15.5348405 56.6325516, 15.5347927 56.6329061)",,
74214593,Torggatan,residential,,,False,False,104.321,"LINESTRING (15.5348405 56.6325516, 15.536134 56.632633, 15.5365334 56.6326658)",,
74214593,Torggatan,residential,,,False,True,91.651,"LINESTRING (15.5348405 56.6325516, 15.5343595 56.6325417, 15.534311 56.6325364, 15.5340162 56.6325063, 15.5336326 56.6324591, 15.5333792 56.6324005)",,
83938711,Kyrkogatan,residential,,,False,False,193.31,"LINESTRING (15.5348405 56.6325516, 15.5351794 56.6310093, 15.5352097 56.6308251)",,
74619187,Nygatan,residential,40,,False,False,87.23,"LINESTRING (15.5337974 56.6307157, 15.5342366 56.6307504, 15.5352097 56.6308251)",,
82187067,Järnvägsgatan,residential,,,False,False,117.393,"LINESTRING (15.5337974 56.6307157, 15.5335878 56.6307101, 15.5333268 56.6307916, 15.5332145 56.6308237, 15.5327226 56.6309633, 15.5325946 56.6309896, 15.5320282 56.6310857)",,
