osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,width,bridge,ref,access,junction,tunnel
38093653,Skolgatan,residential,30,False,False,25.915,"LINESTRING (15.2211746 59.2776617, 15.2212648 59.2777717, 15.2213507 59.2778767)",,,,,,,
157172202,Södra Grev Rosengatan,secondary,50,False,True,51.31999999999999,"LINESTRING (15.2211746 59.2776617, 15.221052 59.2776843, 15.2203355 59.2778326)",5,16,,,,,
337947298,Södra Grev Rosengatan,secondary,50,False,False,46.954,"LINESTRING (15.2211746 59.2776617, 15.2213532 59.2776219, 15.2219324 59.2774931)",4,16,,,,,
1103954557,Skolgatan,residential,30,False,True,103.705,"LINESTRING (15.2211746 59.2776617, 15.2210981 59.2775593, 15.2209909 59.2774158, 15.2209812 59.2774063, 15.2204626 59.2768032)",,,,,,,
1059473549,Alnängsgatan,secondary_link,30,False,False,8.245,"LINESTRING (15.2222738 59.2764132, 15.2224092 59.2763865)",,,,,,,
"[23239859, 1059473551]",Alnängsgatan,secondary,40,True,False,116.758,"LINESTRING (15.2222738 59.2764132, 15.2222141 59.276347, 15.2218832 59.275974, 15.221656 59.275708, 15.221539 59.2755641, 15.2214474 59.2754519)",2,,,,,,
281073887,Järnvägsgatan,residential,30,False,False,111.701,"LINESTRING (15.2222738 59.2764132, 15.2221017 59.2764593, 15.2213178 59.2766238, 15.2204626 59.2768032)",,,,,,,
"[111291633, 42319050, 111291631]",Kansligatan,residential,30,False,True,179.78699999999998,"LINESTRING (15.2164121 59.2739462, 15.2162974 59.2737373, 15.2162187 59.2736299, 15.216129 59.2735543, 15.2160098 59.2734915, 15.2159711 59.2734771, 15.2158923 59.2734478, 15.2157494 59.2734063, 15.2156092 59.2733839, 15.2155381 59.2733777, 15.215479 59.2733725, 15.2153498 59.2733732, 15.215327 59.2733734, 15.2152963 59.2733762, 15.2147535 59.2734259, 15.2145738 59.2734424, 15.2144629 59.2734501, 15.2143931 59.2734431, 15.2141445 59.2733416, 15.2140087 59.2732947)",,,yes,,,,
456427479,Engelbrektsgatan,tertiary,40,True,False,57.988,"LINESTRING (15.2237217 59.2706458, 15.2236023 59.2707372, 15.2234429 59.2708072, 15.223383 59.2708349, 15.2231312 59.2709269, 15.2229455 59.2709713)",,,,,,,
7999415,Mogatan,residential,30,False,True,79.529,"LINESTRING (15.2229455 59.2709713, 15.2228431 59.2708983, 15.222693 59.270717, 15.222634 59.2706457, 15.2225777 59.2705778, 15.222543 59.2705358, 15.2224336 59.2704037, 15.2223585 59.2703241)",,,,,,,
456427480,Engelbrektsgatan,tertiary,40,False,False,157.854,"LINESTRING (15.2229455 59.2709713, 15.2223935 59.2711965, 15.2222284 59.2712606, 15.221971 59.2713343, 15.221618 59.2714227, 15.2210736 59.2715436, 15.2208128 59.2716015, 15.2205916 59.271657, 15.2205449 59.2716687)",,,,,,,
456427481,Engelbrektsgatan,tertiary,40,True,False,58.648999999999994,"LINESTRING (15.2229455 59.2709713, 15.2230511 59.2708776, 15.2232272 59.2708025, 15.2232885 59.2707767, 15.2235208 59.2706793, 15.2237217 59.2706458)",,,,,,,
1056369740,Fredsgatan,primary_link,50,False,True,12.166,"LINESTRING (15.2110348 59.277481, 15.2112396 59.277449)",,,,,,,
"[1056369664, 1056369665, 1056369663]",Östra Bangatan,primary,50,True,False,147.901,"LINESTRING (15.2110348 59.277481, 15.2109469 59.2773739, 15.2106464 59.2770011, 15.2103755 59.276664, 15.2101892 59.2764302, 15.2100553 59.2762487)","['2', '3']",9,,E 20.5,,,
