osmid,ref,name,highway,oneway,reversed,length,maxspeed,geometry,bridge,junction
1269161668,X 597,Långgatan,tertiary,False,True,6.312,,"LINESTRING (15.8193328 61.3737784, 15.8192771 61.3738285)",,
"[33206130, 1123653814, 1123653815]",X 597,"['Järnvägsgatan', 'Långgatan']",tertiary,False,True,203.553,40,"LINESTRING (15.8193328 61.3737784, 15.8195947 61.3735966, 15.8199796 61.3733213, 15.8203183 61.3730863, 15.8204547 61.3729478, 15.8211287 61.3731186, 15.8219842 61.3733573)",,
262364021,,Hembygdsgatan,residential,False,False,86.57,,"LINESTRING (15.8193328 61.3737784, 15.8202364 61.373977, 15.8207846 61.3741266)",,
"[4254377, 582255035]",,,"['living_street', 'residential']",False,False,62.843999999999994,,"LINESTRING (15.81647 61.3789536, 15.8163397 61.3789467, 15.8155457 61.3789204, 15.8152931 61.378915)",,
"[582255036, 8137238]",,Celsiusgatan,"['living_street', 'residential']",False,False,161.86800000000002,,"LINESTRING (15.81647 61.3789536, 15.8166487 61.3789538, 15.8171106 61.3789716, 15.8174981 61.3789849, 15.8179807 61.379001, 15.8192713 61.379044, 15.8195022 61.3790452)",,
"[582255033, 582255034, 145795059, 145795061]",X 597,Långgatan,"['living_street', 'tertiary']",False,False,210.728,40,"LINESTRING (15.81647 61.3789536, 15.8164911 61.3788488, 15.8165146 61.3785765, 15.8165492 61.3784803, 15.8168646 61.3779702, 15.8169215 61.3778874, 15.817091 61.3776408, 15.8174309 61.377125)",yes,
"[582255034, 582255046]",X 597,Långgatan,"['living_street', 'tertiary']",False,True,164.032,,"LINESTRING (15.81647 61.3789536, 15.8164633 61.3790458, 15.8164294 61.3791963, 15.8163971 61.3793961, 15.8163498 61.3796325, 15.8163096 61.3798378, 15.8162732 61.3799356, 15.8161964 61.3800556, 15.8160606 61.3802203, 15.8158897 61.3803868)",,
"[4254377, 582255035]",,,"['residential', 'living_street']",False,True,62.844,,"LINESTRING (15.8152931 61.378915, 15.8155457 61.3789204, 15.8163397 61.3789467, 15.81647 61.3789536)",,
33207239,,Hantverkargatan,residential,False,False,78.594,40,"LINESTRING (15.8131923 61.3733177, 15.8137431 61.3739734)",,
"[582266759, 33207423]",,Olkens väg,residential,False,"[False, True]",163.46699999999998,40,"LINESTRING (15.8131923 61.3733177, 15.8126446 61.3734365, 15.8115427 61.3737314, 15.811927 61.3742786)",,
33206036,,Gyllenvägen,residential,False,False,122.485,,"LINESTRING (15.8158897 61.3803868, 15.8151965 61.3802185, 15.8146667 61.3800857, 15.8144994 61.3800713, 15.8139239 61.3800721, 15.8137448 61.3800724)",,
"[582255034, 582255046]",X 597,Långgatan,"['living_street', 'tertiary']",False,False,164.032,,"LINESTRING (15.8158897 61.3803868, 15.8160606 61.3802203, 15.8161964 61.3800556, 15.8162732 61.3799356, 15.8163096 61.3798378, 15.8163498 61.3796325, 15.8163971 61.3793961, 15.8164294 61.3791963, 15.8164633 61.3790458, 15.81647 61.3789536)",,
582255046,X 597,Långgatan,tertiary,False,True,128.55599999999998,,"LINESTRING (15.8158897 61.3803868, 15.8156764 61.3805691, 15.815257 61.3809597, 15.8151965 61.3810167, 15.8151464 61.3810675, 15.8150946 61.3811278, 15.8148282 61.3814241)",,
33206110,,Västergatan,residential,False,False,46.258,40,"LINESTRING (15.8180397 61.3731849, 15.8177004 61.373282, 15.817567 61.3733406, 15.8175105 61.3733969, 15.8174647 61.3734712)",,
33206590,,Gamla Faluvägen,tertiary,False,True,100.419,,"LINESTRING (15.8180397 61.3731849, 15.8182489 61.3734295, 15.8183405 61.3734936, 15.8184884 61.3735628, 15.8187681 61.3736577, 15.8190514 61.3737482, 15.8192771 61.3738285)",,
33206110,,Västergatan,residential,False,True,46.257999999999996,40,"LINESTRING (15.8174647 61.3734712, 15.8175105 61.3733969, 15.817567 61.3733406, 15.8177004 61.373282, 15.8180397 61.3731849)",,
33207130,,Fallrisgatan,residential,False,False,83.51599999999999,,"LINESTRING (15.8174647 61.3734712, 15.8166915 61.3734826, 15.8164571 61.3735006, 15.8159276 61.373583)",,
50366298,,Västergatan,residential,False,False,124.838,,"LINESTRING (15.8174647 61.3734712, 15.8175408 61.3737671, 15.8173233 61.3741867, 15.8171239 61.3745671)",,
33207130,,Fallrisgatan,residential,False,True,97.737,,"LINESTRING (15.8088094 61.3753123, 15.8102564 61.3747719)",,
33206465,,Västra Centralgatan,residential,False,False,122.738,,"LINESTRING (15.8088094 61.3753123, 15.8091799 61.3755201, 15.8094812 61.3756799, 15.8099008 61.3758817, 15.8105524 61.3759898)",,
50366298,,Västergatan,residential,False,True,76.033,,"LINESTRING (15.8158782 61.3767069, 15.8162672 61.376049)",,
"[33206465, 582003679]",,Västra Centralgatan,"['residential', 'living_street']",False,False,83.588,,"LINESTRING (15.8158782 61.3767069, 15.8159533 61.3767154, 15.8164329 61.3767698, 15.8165417 61.3767821, 15.8165683 61.3767851, 15.8173995 61.3768909)",,
33206465,,Västra Centralgatan,residential,False,True,104.608,,"LINESTRING (15.8158782 61.3767069, 15.8158194 61.3766985, 15.8139972 61.3764366)",,
33206465,,Västra Centralgatan,residential,False,False,59.404,,"LINESTRING (15.8129312 61.3762797, 15.8139972 61.3764366)",,
33206465,,Västra Centralgatan,residential,False,True,2.221,,"LINESTRING (15.8129312 61.3762797, 15.812891 61.3762744)",,
33207256,,Åkergatan,residential,False,False,68.842,,"LINESTRING (15.8129312 61.3762797, 15.8132627 61.3756813)",,
