osmid,name,highway,maxspeed,oneway,reversed,length,geometry,access,junction,width
62219373,Österleden,secondary,40,False,False,102.88,"LINESTRING (13.8266675 55.4278261, 13.8250678 55.4276471)",,,
"[20642698, 1133628643]",Tingsgatan,residential,30,False,False,71.816,"LINESTRING (13.8266675 55.4278261, 13.8266414 55.4278933, 13.8264224 55.4284568)",,,
246465987,Nattmans torg,residential,30,False,True,8.54,"LINESTRING (13.8259228 55.4293504, 13.8260506 55.4293251)",,,
246465984,Harpegatan,residential,30,True,False,92.26,"LINESTRING (13.8259228 55.4293504, 13.8256786 55.4293978, 13.8254177 55.4294422, 13.8250627 55.4294863, 13.8248017 55.4295015, 13.8244967 55.4295155)",,,
31433194,Gaffelgränd,residential,30,False,False,65.74199999999999,"LINESTRING (13.8244967 55.4295155, 13.8244537 55.4292497, 13.8245925 55.4289351)",,,
31357159,Stora Västergatan,residential,30,False,False,126.70500000000001,"LINESTRING (13.8136554 55.4279024, 13.8140577 55.4280457, 13.814511 55.4281946, 13.8148248 55.4282662, 13.8154748 55.428361)",,,
31357159,Stora Västergatan,residential,30,False,True,119.506,"LINESTRING (13.8136554 55.4279024, 13.8131189 55.4276939, 13.812545 55.4274361, 13.8124376 55.4273792, 13.8123912 55.4273322, 13.8123838 55.4271791)",,,
31357982,Svartgränd,residential,30,False,False,34.513000000000005,"LINESTRING (13.8136554 55.4279024, 13.8137946 55.4277724, 13.8139185 55.4276306)",,,
31357159,Stora Västergatan,residential,30,False,True,15.431,"LINESTRING (13.8157172 55.4283794, 13.8154748 55.428361)",,,
31357838,Stora Västergatan,residential,30,False,False,161.606,"LINESTRING (13.8157172 55.4283794, 13.8158043 55.4285635, 13.8159989 55.4286267, 13.8162372 55.4287039, 13.8165426 55.4287829, 13.8168753 55.4288366, 13.8175766 55.4289304, 13.8178952 55.4289659)",,,
31358569,Långgatan,residential,30,False,False,76.208,"LINESTRING (13.8157172 55.4283794, 13.8162718 55.4284221, 13.8169156 55.4284645)",,,
31357346,Lilla Norregatan,residential,30,False,False,10.446,"LINESTRING (13.8178952 55.4289659, 13.8178904 55.4290598)",,,
