osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,bridge,access
345765979,Jovisgatan,tertiary,30,False,True,129.494,"LINESTRING (17.6238556 59.1974055, 17.6259625 59.1978439)",,,,
967223092,Nygatan,tertiary,30,False,False,67.267,"LINESTRING (17.6238556 59.1974055, 17.6233658 59.197956)",,,,
396962357,Nygatan,tertiary,30,False,True,59.482,"LINESTRING (17.6238556 59.1974055, 17.6240235 59.1971929, 17.6242473 59.1969096)",,,,
88550996,Storgatan,tertiary,30,False,False,64.43,"LINESTRING (17.6259625 59.1978439, 17.6254917 59.1983708)",,,,
345765979,Jovisgatan,tertiary,30,False,False,129.494,"LINESTRING (17.6259625 59.1978439, 17.6238556 59.1974055)",,,,
396962351,Jovisgatan,tertiary,30,False,True,77.925,"LINESTRING (17.6259625 59.1978439, 17.6263562 59.197944, 17.6272215 59.1981171)",,,,
4816552,Jovisgatan,residential,30,False,False,41.905,"LINESTRING (17.6279162 59.1982415, 17.6272215 59.1981171)",,,,
5211070,Västra Kanalgatan,residential,,False,False,57.885,"LINESTRING (17.6279162 59.1982415, 17.6283129 59.1977622)",,,,
25687089,Paradisgränd,residential,30,False,False,25.807,"LINESTRING (17.6268137 59.2002508, 17.6264166 59.2001389)",,,,
230725651,Västra Kanalgatan,residential,30,True,False,242.63599999999997,"LINESTRING (17.6268137 59.2002508, 17.627068 59.2000617, 17.6274227 59.199698, 17.6276052 59.1994897, 17.6276861 59.1993664, 17.627994 59.1987699, 17.6280876 59.1984551, 17.6280946 59.1983775, 17.6280771 59.1983266, 17.6280382 59.1982834, 17.6279162 59.1982415)",,,,
230725651,Västra Kanalgatan,residential,30,True,False,63.358,"LINESTRING (17.6260714 59.2006753, 17.6268137 59.2002508)",,,,
1006754716,Kattsvansen,residential,30,False,True,40.624,"LINESTRING (17.6260714 59.2006753, 17.625872 59.2006296, 17.6256707 59.2005746, 17.6254633 59.2004886)",,,,
508954152,Kullmansgatan,residential,30,False,False,40.694,"LINESTRING (17.6254633 59.2004886, 17.6252028 59.2008294)",,,,
1006754716,Kattsvansen,residential,30,False,False,40.624,"LINESTRING (17.6254633 59.2004886, 17.6256707 59.2005746, 17.625872 59.2006296, 17.6260714 59.2006753)",,,,
