osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,bridge,access,junction
10118903,Högbovägen,secondary,40,False,False,89.447,"LINESTRING (16.7845623 60.6264745, 16.784569 60.6263652, 16.784562 60.6262459, 16.7845214 60.6261057, 16.7844748 60.6260346, 16.7844193 60.6259455, 16.7843539 60.625865, 16.7842223 60.6256974)",,,,
932289659,Högbovägen,secondary,40,False,False,27.183,"LINESTRING (16.7833163 60.6247478, 16.7830868 60.6245308)",,,,
10118903,Högbovägen,secondary,40,False,True,116.583,"LINESTRING (16.7833163 60.6247478, 16.7839577 60.625425, 16.7842223 60.6256974)",,,,
8296089,Gävlevägen,secondary,40,False,False,50.663,"LINESTRING (16.7830868 60.6245308, 16.7840008 60.6246119)",X 559,,,
24562143,Högbovägen,unclassified,40,False,True,50.449,"LINESTRING (16.7830868 60.6245308, 16.7826257 60.6241375)",,,,
345748876,Gävlevägen,secondary,40,False,True,52.072,"LINESTRING (16.7830868 60.6245308, 16.7821497 60.6244414)",272,,,
932289659,Högbovägen,secondary,40,False,True,27.183,"LINESTRING (16.7830868 60.6245308, 16.7833163 60.6247478)",,,,
23714047,Storgatan,residential,40,False,False,112.015,"LINESTRING (16.7818091 60.6209188, 16.7817641 60.6210369, 16.7814168 60.6217926, 16.7813663 60.6219024)",,,,
23714047,Storgatan,residential,40,False,True,146.65099999999998,"LINESTRING (16.7818091 60.6209188, 16.7818558 60.6208142, 16.7822109 60.6200967, 16.7823975 60.6196322)",,,,
25864095,Köpmannagatan,residential,40,False,True,80.026,"LINESTRING (16.7818091 60.6209188, 16.7817026 60.6209086, 16.7803696 60.6207801)",,,,
"[25864096, 25864097]","['Solbergsvägen', 'Köpmannagatan']",residential,30,False,False,258.779,"LINESTRING (16.7818091 60.6209188, 16.7819632 60.6209335, 16.7832626 60.6210497, 16.7832936 60.6210566, 16.7833245 60.6210631, 16.7833206 60.6211, 16.7833027 60.6211426, 16.7829258 60.6220609, 16.7826888 60.6226004)",,,,
23714047,Storgatan,residential,40,False,False,78.488,"LINESTRING (16.7810532 60.6224943, 16.7809697 60.622668, 16.7809577 60.6227223, 16.7809695 60.6227892, 16.7809788 60.6228088, 16.7809969 60.6228315, 16.781025 60.6228603, 16.7810511 60.6228805, 16.7814042 60.6231319)",,,,
23714047,Storgatan,residential,40,False,True,67.997,"LINESTRING (16.7810532 60.6224943, 16.7810913 60.6224245, 16.7813663 60.6219024)",,,,
25861311,Odengatan,residential,40,False,True,172.354,"LINESTRING (16.7810532 60.6224943, 16.78052 60.6224676, 16.7799198 60.6224296, 16.7786358 60.6223254, 16.7779281 60.6222687)",,,,
345748879,Odengatan,residential,30,False,False,90.005,"LINESTRING (16.7810532 60.6224943, 16.781223 60.6225024, 16.7812642 60.6225062, 16.7816209 60.6225286, 16.7826888 60.6226004)",,,,
25861396,Jansagatan,residential,40,False,False,28.21,"LINESTRING (16.7782245 60.6215015, 16.7781319 60.6217511)",,,,
24562228,Smedsgatan,residential,40,False,True,296.2159999999999,"LINESTRING (16.7782245 60.6215015, 16.7780622 60.6214854, 16.7777346 60.6214523, 16.7776717 60.621446, 16.7776512 60.6214422, 16.7776308 60.6214355, 16.7776278 60.6214271, 16.7776259 60.6214166, 16.7778017 60.6209585, 16.7779494 60.6205595, 16.7783316 60.6195961, 16.7784088 60.619412, 16.7784763 60.6192613, 16.7784801 60.6192529, 16.7785239 60.6191589, 16.7785467 60.6191155)",,,,
"[25864094, 25864095]","['Jansagatan', 'Köpmannagatan']",residential,40,False,False,200.224,"LINESTRING (16.7782245 60.6215015, 16.7785654 60.6206166, 16.7803696 60.6207801)",,,,
24562229,Barrsätragatan,residential,40,False,True,100.312,"LINESTRING (16.7785467 60.6191155, 16.7767632 60.618896)",,,,
985565427,Smedsgatan,residential,40,False,True,111.684,"LINESTRING (16.7785467 60.6191155, 16.77904 60.6181407)",,,,
24562228,Smedsgatan,residential,40,False,False,296.21600000000007,"LINESTRING (16.7785467 60.6191155, 16.7785239 60.6191589, 16.7784801 60.6192529, 16.7784763 60.6192613, 16.7784088 60.619412, 16.7783316 60.6195961, 16.7779494 60.6205595, 16.7778017 60.6209585, 16.7776259 60.6214166, 16.7776278 60.6214271, 16.7776308 60.6214355, 16.7776512 60.6214422, 16.7776717 60.621446, 16.7777346 60.6214523, 16.7780622 60.6214854, 16.7782245 60.6215015)",,,,
