osmid,oneway,lanes,name,highway,maxspeed,junction,reversed,length,geometry,bridge,access
952831001,True,1,Trädlyckevägen,tertiary,40,roundabout,False,11.584,"LINESTRING (12.2573751 57.1098193, 12.2573468 57.1098403, 12.2573106 57.1098574, 12.2572683 57.1098697, 12.257222 57.1098765)",,
202067945,False,2,Sveagatan,tertiary,30,,True,87.626,"LINESTRING (12.2572707 57.1095587, 12.2572667 57.1094979, 12.2570853 57.1087774)",,
952831002,True,1,Trädlyckevägen,tertiary,30,,False,10.971,"LINESTRING (12.2572707 57.1095587, 12.2572766 57.109613, 12.2572814 57.1096572)",,
"[147051618, 146356868]",False,,Otto Torells gata,residential,30,,"[False, True]",82.166,"LINESTRING (12.2421626 57.1081892, 12.2422842 57.1081433, 12.2424038 57.1080984, 12.2425466 57.1080272, 12.2425922 57.1080078, 12.2426418 57.1080017, 12.2429263 57.1081121, 12.2430215 57.1081661, 12.243234 57.1082628)",,
"[34421874, 202067941]",False,2,Västra Vallgatan,tertiary,30,,True,74.743,"LINESTRING (12.248649 57.1063523, 12.2487805 57.1069618, 12.2487932 57.1070199)",,
43129442,False,,Kyrkogatan,residential,30,,True,180.748,"LINESTRING (12.248649 57.1063523, 12.2502123 57.1062297, 12.2509853 57.1061733, 12.2516138 57.1061295)",,
45053961,False,,Södra Hamnvägen,residential,30,,True,135.481,"LINESTRING (12.248649 57.1063523, 12.2474038 57.1064535, 12.2471521 57.1064739, 12.2468912 57.1064959, 12.2467334 57.106508, 12.2464302 57.1065326)",,
147162878,False,,Västra Vallgatan,living_street,,,False,145.944,"LINESTRING (12.248649 57.1063523, 12.2486225 57.1062514, 12.2485575 57.1060038, 12.2484789 57.1056691, 12.2484097 57.1053744, 12.2483343 57.105051)",,
8244956,True,,Östra Långgatan,residential,30,,False,77.074,"LINESTRING (12.253062 57.106028, 12.2532547 57.1067132)",,
43129441,False,,Kyrkogatan,residential,30,,False,95.256,"LINESTRING (12.253062 57.106028, 12.254516 57.105911, 12.2546229 57.1059048)",,
8244956,True,,Östra Långgatan,residential,30,,False,68.756,"LINESTRING (12.2533876 57.1072224, 12.2535837 57.1078315)",,
43129434,False,,Norrgatan,residential,30,,False,94.28500000000001,"LINESTRING (12.2533876 57.1072224, 12.2548286 57.1072033, 12.2549485 57.1072021)",,
202068595,False,2,Östra Vallgatan,residential,50,,True,65.744,"LINESTRING (12.2549485 57.1072021, 12.2548065 57.1066159)",,
43129434,False,,Norrgatan,residential,30,,True,94.28500000000001,"LINESTRING (12.2549485 57.1072021, 12.2548286 57.1072033, 12.2533876 57.1072224)",,
202068595,False,2,Östra Vallgatan,residential,50,,False,54.607,"LINESTRING (12.2549485 57.1072021, 12.2550104 57.1074716, 12.2550713 57.1076886)",,
202068595,False,2,Östra Vallgatan,residential,50,,False,79.844,"LINESTRING (12.2546229 57.1059048, 12.2548065 57.1066159)",,
43129441,False,,Kyrkogatan,residential,30,,True,95.256,"LINESTRING (12.2546229 57.1059048, 12.254516 57.105911, 12.253062 57.106028)",,
"[146356874, 202068595, 1250492460, 8244901]",False,"['1', '2']","['Östra Vallgatan', 'Träslövsvägen']",residential,50,,"[False, True]",171.601,"LINESTRING (12.2546229 57.1059048, 12.2544811 57.1052563, 12.2545015 57.1051981, 12.2545468 57.1051529, 12.2546222 57.1051137, 12.2547342 57.105077, 12.255656 57.1048021, 12.2557874 57.1047646)",,
43129424,False,,Östra Vallgatan,residential,30,,True,48.911,"LINESTRING (12.2540853 57.103713, 12.2539676 57.1032778)",,
43129423,False,,Snidaregatan,residential,30,,True,81.232,"LINESTRING (12.2540853 57.103713, 12.2549609 57.1036393, 12.2552038 57.1036189, 12.2553905 57.1036031, 12.2554145 57.1036011)",,
158521411,False,,Östra Vallgatan,residential,30,,True,24.158,"LINESTRING (12.2540853 57.103713, 12.2541259 57.1038963, 12.2541331 57.1039287)",,
34421881,True,,Prästgatan,residential,30,,False,97.014,"LINESTRING (12.2541331 57.1039287, 12.2540481 57.1039361, 12.2525398 57.1040397)",,
158521411,False,,Östra Vallgatan,residential,30,,False,24.158,"LINESTRING (12.2541331 57.1039287, 12.2541259 57.1038963, 12.2540853 57.103713)",,
158521411,False,,Östra Vallgatan,residential,30,,True,76.44200000000001,"LINESTRING (12.2541331 57.1039287, 12.2542068 57.1041967, 12.2543043 57.1046098)",,
8244908,False,2,Sveagatan,tertiary,30,,False,117.196,"LINESTRING (12.2554145 57.1036011, 12.2555055 57.103927, 12.2555218 57.1039852, 12.2555521 57.1040552, 12.2556012 57.1041691, 12.2556187 57.1042035, 12.2556869 57.1043376, 12.2557579 57.1044324, 12.2558309 57.1045483, 12.2558772 57.104621)",,
43129423,False,,Snidaregatan,residential,30,,False,81.232,"LINESTRING (12.2554145 57.1036011, 12.2553905 57.1036031, 12.2552038 57.1036189, 12.2549609 57.1036393, 12.2540853 57.103713)",,
43129423,False,,Snidaregatan,residential,30,,True,143.357,"LINESTRING (12.2554145 57.1036011, 12.2560165 57.1035567, 12.2561814 57.1035446, 12.2563825 57.1035286, 12.2564526 57.103523, 12.2566432 57.1035002, 12.2568721 57.1034612, 12.2571443 57.1033873, 12.2573368 57.1033108, 12.2574635 57.103254, 12.2575908 57.1031822)",,
"[31072770, 8244971, 31072766]",False,,"['Prästgatan', 'Fästningsgatan']",residential,30,,True,164.89499999999998,"LINESTRING (12.2481619 57.1043365, 12.2471288 57.1044218, 12.2464124 57.1044809, 12.2458898 57.1045207, 12.2455225 57.1046454)",yes,
34421879,False,,Västra Vallgatan,residential,30,,False,30.219,"LINESTRING (12.2481619 57.1043365, 12.2481291 57.1041841, 12.2481035 57.1040666)",,
147162878,False,,Västra Vallgatan,living_street,,,True,80.132,"LINESTRING (12.2481619 57.1043365, 12.2481756 57.1044106, 12.2483258 57.1050168, 12.2483343 57.105051)",,
43129443,False,,Södra Hamnvägen,residential,40,,False,47.424,"LINESTRING (12.245653 57.1065938, 12.2464302 57.1065326)",,
"[43322243, 146356869]",False,,Sjöallén,residential,"['30', '5']",,"[False, True]",238.02999999999997,"LINESTRING (12.245653 57.1065938, 12.2456194 57.106631, 12.2455284 57.1067114, 12.2447953 57.1072233, 12.2445833 57.1073665, 12.2445734 57.1074022, 12.2445992 57.1074225, 12.2445813 57.1074353, 12.2444019 57.1075631, 12.2442086 57.1077009, 12.2440416 57.107821, 12.2438773 57.1079379, 12.2437139 57.1080542, 12.2435458 57.1081738, 12.2433548 57.1083054)",,no
1097236711,False,,Strandgatan,unclassified,40,,True,12.997,"LINESTRING (12.245653 57.1065938, 12.2455495 57.1065399, 12.2454933 57.1065156)",,
142965937,True,,Prästgatan,residential,30,,False,90.134,"LINESTRING (12.2496435 57.1042387, 12.2481619 57.1043365)",,
178430558,False,,Kungsgatan,residential,30,,True,40.944,"LINESTRING (12.2496435 57.1042387, 12.24955 57.103874)",,
