osmid,name,highway,maxspeed,oneway,reversed,length,bridge,geometry,lanes,ref,junction,width,access
"[23634688, 90380266, 23679370, 1240364811, 23623851]","['Fredsgatan', 'Österbro', 'Brogatan']",residential,30,False,True,166.251,yes,"LINESTRING (12.8614774 56.673535, 12.8612378 56.6735979, 12.8611119 56.6736492, 12.8609828 56.6737396, 12.8608772 56.6738464, 12.8605859 56.6740922, 12.8605125 56.6741438, 12.860393 56.6741596, 12.8594761 56.6742714, 12.8593248 56.6742856)",,,,,
95691654,Fredsgatan,residential,30,False,False,114.89699999999999,,"LINESTRING (12.8614774 56.673535, 12.8617491 56.6735116, 12.8620776 56.6734693, 12.8621192 56.6734636, 12.86275 56.6733776, 12.8630786 56.6733328, 12.8633086 56.6733015)",,,,,
"[8244184, 1188168933]",Strandgatan,residential,30,False,False,123.017,,"LINESTRING (12.8614774 56.673535, 12.8614248 56.6734208, 12.8613208 56.6731283, 12.8612497 56.6729298, 12.8611119 56.6726031, 12.8610957 56.6725624, 12.8610818 56.6725059, 12.8610725 56.672452)",3,,,,
"[23624129, 23624130, 95691671]",Stationsgatan,tertiary,30,False,True,153.29300000000003,yes,"LINESTRING (12.8649964 56.6724281, 12.8650318 56.6723774, 12.8650922 56.6723114, 12.86518 56.6722333, 12.865298 56.6721464, 12.865347 56.6721025, 12.8653684 56.6720742, 12.8653805 56.6720491, 12.8653852 56.672016, 12.8653832 56.6719824, 12.8653724 56.6719445, 12.8653188 56.6718594, 12.865288 56.6718182, 12.8651934 56.6716925, 12.8651512 56.6716553, 12.8651022 56.6716265, 12.8650412 56.6716018, 12.8649245 56.6715672, 12.8646315 56.6714622, 12.8645416 56.6714316, 12.8644706 56.6713981, 12.8643975 56.6713447)",2,,,,
24055433,Fredrik Ströms gata,residential,30,False,True,122.27499999999999,,"LINESTRING (12.8649964 56.6724281, 12.8648426 56.6724557, 12.8648136 56.6724582, 12.8640757 56.6725526, 12.863164 56.6726653, 12.8630477 56.6726768)",,,,,
95691664,Stationsgatan,tertiary,30,False,False,72.084,,"LINESTRING (12.8649964 56.6724281, 12.8649831 56.6724904, 12.8650151 56.6725816, 12.8650487 56.6726677, 12.8651581 56.6729483, 12.8651892 56.6730279, 12.8652032 56.6730633)",2,,,,
95691644,Stationsgatan,tertiary,30,False,True,35.777,,"LINESTRING (12.8643975 56.6713447, 12.864244 56.6710342)",2,,,,
"[23624129, 23624130, 95691671]",Stationsgatan,tertiary,30,False,False,153.293,yes,"LINESTRING (12.8643975 56.6713447, 12.8644706 56.6713981, 12.8645416 56.6714316, 12.8646315 56.6714622, 12.8649245 56.6715672, 12.8650412 56.6716018, 12.8651022 56.6716265, 12.8651512 56.6716553, 12.8651934 56.6716925, 12.865288 56.6718182, 12.8653188 56.6718594, 12.8653724 56.6719445, 12.8653832 56.6719824, 12.8653852 56.672016, 12.8653805 56.6720491, 12.8653684 56.6720742, 12.865347 56.6721025, 12.865298 56.6721464, 12.86518 56.6722333, 12.8650922 56.6723114, 12.8650318 56.6723774, 12.8649964 56.6724281)",2,,,,
95691644,Stationsgatan,tertiary,30,False,False,35.777,,"LINESTRING (12.864244 56.6710342, 12.8643975 56.6713447)",2,,,,
95691644,Stationsgatan,tertiary,30,False,True,95.872,,"LINESTRING (12.864244 56.6710342, 12.8639139 56.6701913)",2,,,,
23624133,Syskonhamnsgatan,residential,30,False,False,111.627,,"LINESTRING (12.864244 56.6710342, 12.8641422 56.6710376, 12.8628649 56.67121, 12.8625888 56.6712438, 12.8624657 56.6712609)",,,,,
1188168942,Viktoriagatan,trunk,40,True,False,17.058,,"LINESTRING (12.8609538 56.6723602, 12.8612325 56.6723509)",2,E 6.04,,,
461361126,Strandgatan,residential,30,True,False,6.399,,"LINESTRING (12.8609538 56.6723602, 12.8609564 56.6723899, 12.8609545 56.6724177)",1,,,,
"[1188168944, 461361122]",Strandgatan,residential,30,False,False,98.394,,"LINESTRING (12.8609538 56.6723602, 12.8609408 56.6722789, 12.8609334 56.6722298, 12.8608655 56.672022, 12.86066 56.671491)",3,,,,
461361122,Strandgatan,residential,30,False,False,94.418,,"LINESTRING (12.86066 56.671491, 12.8603297 56.6706615)",,,,,
23624133,Syskonhamnsgatan,residential,30,False,True,113.24799999999999,,"LINESTRING (12.86066 56.671491, 12.8607853 56.6714749, 12.86186 56.6713385, 12.8623519 56.6712763, 12.8624657 56.6712609)",,,,,
"[1188168944, 461361122]",Strandgatan,residential,30,False,True,98.394,,"LINESTRING (12.86066 56.671491, 12.8608655 56.672022, 12.8609334 56.6722298, 12.8609408 56.6722789, 12.8609538 56.6723602)",3,,,,
23527444,Viktoriagatan,trunk,40,True,False,36.511,,"LINESTRING (12.8601516 56.6724129, 12.8602998 56.6723883, 12.8604483 56.6723733, 12.8606419 56.6723683, 12.8607398 56.6723658)",3,E 6.04,,,
"[1188168945, 23576859]","['Slottsgatan', 'Slottsbron']",trunk,40,False,True,96.07900000000001,yes,"LINESTRING (12.8601516 56.6724129, 12.8588107 56.6723429, 12.8585857 56.672333)",4,E 6.04,,,
