osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,access,width,junction,ref,tunnel,bridge
26558923,Östra Kyrkogatan,tertiary,30,False,False,56.892,"LINESTRING (20.2709499 63.8254681, 20.2713539 63.8259477)",,,,,,,
26130561,Skolgatan,residential,30,False,False,117.53899999999999,"LINESTRING (20.2709499 63.8254681, 20.2707383 63.8255011, 20.2688634 63.8258241, 20.2687296 63.8258621)",,,,,,,
"[452433130, 452433131, 26128791]",Östra Kyrkogatan,tertiary,30,False,True,190.509,"LINESTRING (20.2709499 63.8254681, 20.2702543 63.8246477, 20.2701832 63.8245668, 20.2699981 63.8243599, 20.2696892 63.8240147, 20.2695585 63.8238686)",2,,,,,,
"[4568396, 515518910, 1079642183]",Vasagatan,residential,30,False,True,87.216,"LINESTRING (20.2675014 63.8270364, 20.2675438 63.827083, 20.2677664 63.8273373, 20.2679501 63.8275432, 20.2680815 63.8277001, 20.2681388 63.8277686)",,,,,,,
26130546,Nygatan,residential,30,True,False,135.11599999999999,"LINESTRING (20.2675014 63.8270364, 20.2673205 63.8270875, 20.2662527 63.8272683, 20.2658961 63.8273287, 20.2649363 63.8274734)",,,,,,,
"[26171732, 1078178366, 1078178367]",Vasagatan,unclassified,30,False,False,88.279,"LINESTRING (20.2675014 63.8270364, 20.2673238 63.8268309, 20.2670422 63.8265103, 20.2669506 63.8263952, 20.2668587 63.8262949)",,no,,,,,
"[26128793, 26128794]",Vasagatan,unclassified,30,False,True,201.663,"LINESTRING (20.2653079 63.8244908, 20.2655803 63.8248032, 20.2656436 63.8248758, 20.2659937 63.8252942, 20.2660253 63.8253319, 20.2660726 63.8253857, 20.2664926 63.8258634, 20.2667312 63.8261357, 20.2667712 63.8261856)",,,7.8,,,,
"[26558900, 684775772]",Storgatan,unclassified,30,False,False,194.34900000000002,"LINESTRING (20.2653079 63.8244908, 20.2650782 63.8245298, 20.2641994 63.82468, 20.2640682 63.8247024, 20.2634949 63.8248004, 20.2634338 63.8248085, 20.2632032 63.8248481, 20.2625195 63.824963, 20.2619836 63.8250533, 20.2616071 63.8251149)",,,,,,,
26558908,Vasagatan,unclassified,30,False,False,102.575,"LINESTRING (20.2653079 63.8244908, 20.2646377 63.8236995, 20.2645758 63.8236267)",,,,,,,
450427160,Storgatan,unclassified,30,False,True,99.08800000000001,"LINESTRING (20.2653079 63.8244908, 20.2669855 63.8241966, 20.2671851 63.8241616)",,,,,,,
26121140,Östra Kyrkogatan,tertiary,40,True,False,12.118,"LINESTRING (20.2729886 63.8277194, 20.2730909 63.8278186)",,,,,,,
452833067,Östra Kyrkogatan,tertiary,30,True,False,15.742999999999999,"LINESTRING (20.269227 63.8236878, 20.2692783 63.8236622, 20.2693609 63.8236408, 20.269433 63.8236336, 20.2695067 63.8236351)",,,,roundabout,,,
220174021,Järnvägsallén,secondary,30,True,False,19.394,"LINESTRING (20.2706946 63.8284185, 20.2710112 63.828314)",2,,,,AC 531,,
26133926,Västra Kyrkogatan,residential,30,True,False,22.26,"LINESTRING (20.2706946 63.8284185, 20.2707205 63.8283618, 20.2707269 63.8283498, 20.2707419 63.8283218, 20.2707253 63.8282722, 20.2707002 63.8282223)",,,,,,,
1079582269,Järnvägsallén,secondary,40,True,False,9.065,"LINESTRING (20.2730909 63.8278186, 20.2729286 63.8278576)",2,,,,AC 531,,
15799212,Storgatan,tertiary,40,True,False,24.759999999999998,"LINESTRING (20.2547043 63.8262883, 20.2548356 63.8262441, 20.2551538 63.8261917)",,,,,AC 632,,
26129425,Storgatan,tertiary,40,False,False,2.73,"LINESTRING (20.2547043 63.8262883, 20.2546782 63.8262926, 20.2546521 63.8262968)",,,,,AC 632,,
26129422,Thulegatan,unclassified,30,False,False,81.025,"LINESTRING (20.2592685 63.8247175, 20.25946 63.8249381, 20.2598177 63.8253434, 20.259865 63.825397)",,,,,,,
