osmid,lanes,name,highway,maxspeed,access,oneway,reversed,length,geometry,width
27783428,2,Mariedalsvägen,residential,40,destination,False,False,118.445,"LINESTRING (17.9796575 59.232392, 17.9795506 59.2323101, 17.9794057 59.23224, 17.9790428 59.2320644, 17.9787241 59.2319881, 17.9779208 59.2318644)",
192303806,2,Mariedalsvägen,residential,40,destination,False,True,22.429,"LINESTRING (17.9786825 59.2300424, 17.9783998 59.230183)",
211719604,,Mariedalsvägen,residential,30,,False,False,106.063,"LINESTRING (17.9786825 59.2300424, 17.9796426 59.2295796, 17.9800395 59.2293883)",
"[917131409, 28762411]",2,Solgårdsvägen,residential,"['40', '30']",destination,False,False,205.51799999999997,"LINESTRING (17.9786825 59.2300424, 17.9779172 59.2297767, 17.9777385 59.2296753, 17.9774217 59.2292739, 17.977297 59.2291805, 17.9771074 59.2290686, 17.9770551 59.2290377, 17.9762264 59.2287659)",
28761451,,Sördalavägen,residential,30,,False,False,114.753,"LINESTRING (17.9766764 59.2333534, 17.9746766 59.2334895)",
28761407,,Gavénius väg,residential,30,,False,False,199.20799999999997,"LINESTRING (17.9766764 59.2333534, 17.9765073 59.2332348, 17.976479 59.2331953, 17.9763637 59.2330614, 17.9763586 59.2329827, 17.9771152 59.2325199, 17.9779208 59.2318644)",
28761451,,Sördalavägen,residential,30,,False,True,76.949,"LINESTRING (17.9766764 59.2333534, 17.9768604 59.2333354, 17.977262 59.233296, 17.9777064 59.2332524, 17.9779926 59.2331999)",
28761407,,Gavénius väg,residential,30,,False,False,25.057,"LINESTRING (17.9779208 59.2318644, 17.9781871 59.2316849)",
27783428,2,Mariedalsvägen,residential,40,destination,False,False,81.04599999999999,"LINESTRING (17.9779208 59.2318644, 17.9775758 59.2317897, 17.9771982 59.2315965, 17.9769728 59.231359)",
27783428,2,Mariedalsvägen,residential,40,destination,False,True,118.44499999999998,"LINESTRING (17.9779208 59.2318644, 17.9787241 59.2319881, 17.9790428 59.2320644, 17.9794057 59.23224, 17.9795506 59.2323101, 17.9796575 59.232392)",
28761407,,Gavénius väg,residential,30,,False,True,199.208,"LINESTRING (17.9779208 59.2318644, 17.9771152 59.2325199, 17.9763586 59.2329827, 17.9763637 59.2330614, 17.976479 59.2331953, 17.9765073 59.2332348, 17.9766764 59.2333534)",
28761407,,Gavénius väg,residential,30,,False,True,25.057,"LINESTRING (17.9781871 59.2316849, 17.9779208 59.2318644)",
215643540,,Nyängsvägen,residential,30,,False,False,25.464,"LINESTRING (17.9781871 59.2316849, 17.9785141 59.2318413)",
215643540,,Nyängsvägen,residential,30,,False,True,28.938,"LINESTRING (17.9781871 59.2316849, 17.9778382 59.2314955)",
28761451,,Sördalavägen,residential,30,,False,False,76.94900000000001,"LINESTRING (17.9779926 59.2331999, 17.9777064 59.2332524, 17.977262 59.233296, 17.9768604 59.2333354, 17.9766764 59.2333534)",
28761451,,Sördalavägen,residential,30,,False,True,114.753,"LINESTRING (17.9746766 59.2334895, 17.9766764 59.2333534)",
28761451,,Sördalavägen,residential,30,,False,False,238.884,"LINESTRING (17.9746766 59.2334895, 17.9744534 59.2334851, 17.972896 59.2328231, 17.9728383 59.2328002, 17.9727051 59.2327472, 17.9726107 59.232671, 17.9722171 59.2321179, 17.9720695 59.2319373)",
28761489,,Skyttetorpsvägen,residential,30,,False,False,225.75099999999998,"LINESTRING (17.9746766 59.2334895, 17.9747624 59.2332743, 17.9750113 59.2329407, 17.9752688 59.2327211, 17.975655 59.2324313, 17.9761443 59.2320669, 17.9763753 59.2318013, 17.9764506 59.2316941)",
