osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,lanes
443242716,150,Årstadvägen,secondary,70,False,True,25.388,"LINESTRING (12.5337611 56.8994192, 12.5333552 56.8993645)",,
443242690,N 695,,tertiary,50,False,False,20.678,"LINESTRING (12.5337611 56.8994192, 12.5337846 56.8993748, 12.5338486 56.8992395)",,
39632219,,,secondary_link,70,True,False,196.16600000000003,"LINESTRING (12.5289537 56.8988043, 12.5288343 56.8989507, 12.5287807 56.8990071, 12.5286895 56.8990781, 12.5285849 56.899188, 12.5284857 56.8993103, 12.5284454 56.8994202, 12.5284334 56.8995102, 12.5284655 56.8996194, 12.5285138 56.8997138, 12.528597 56.8998113, 12.5287043 56.8998991, 12.5287968 56.8999489, 12.5289349 56.9000097, 12.5290972 56.9000647, 12.5292286 56.9000954, 12.5294244 56.9001232, 12.5295317 56.9001335, 12.5296175 56.9001555)",,
229834712,N 767,,secondary,80,False,False,125.507,"LINESTRING (12.5289537 56.8988043, 12.529356 56.8985427, 12.5297436 56.8983099, 12.5303465 56.8979711)",,
443242696,N 767,,secondary,80,False,True,187.506,"LINESTRING (12.5289537 56.8988043, 12.5286171 56.8990269, 12.5282724 56.8992444, 12.5275442 56.8997651, 12.527056 56.9001335)",,
62997423,,,secondary_link,70,True,False,170.827,"LINESTRING (12.5296175 56.9001555, 12.5295036 56.9001694, 12.5293976 56.9001679, 12.5292447 56.900157, 12.5287821 56.9000939, 12.5279278 56.8999335, 12.527795 56.8999116, 12.5276509 56.8998973, 12.5275275 56.8998984, 12.5274611 56.8999138, 12.5273819 56.8999445, 12.5273122 56.8999848, 12.5272304 56.90005, 12.527056 56.9001335)",,
158308170,,,secondary_link,70,False,False,163.49300000000002,"LINESTRING (12.5296175 56.9001555, 12.5297463 56.9001584, 12.5299233 56.9001416, 12.5301486 56.9000829, 12.530335 56.9000178, 12.5304964 56.8999344, 12.5305858 56.8998757, 12.5306754 56.8997949, 12.5308043 56.8996542, 12.5310001 56.899362, 12.5311319 56.8991356, 12.5311598 56.8990917)",,
158308170,,,secondary_link,70,False,True,9.692,"LINESTRING (12.5312134 56.8990096, 12.5311598 56.8990917)",,
443242722,150,Årstadvägen,secondary,70,True,False,91.241,"LINESTRING (12.5312134 56.8990096, 12.5326605 56.8992304)",,
"[443242715, 42345285]",150,Årstadvägen,secondary,70,False,True,78.212,"LINESTRING (12.529309 56.8986804, 12.5289537 56.8986035, 12.5281128 56.8984197)",yes,2
"[501447602, 501447603]",150,Årstadvägen,secondary,70,True,False,121.375,"LINESTRING (12.529309 56.8986804, 12.5296497 56.8987244, 12.529934 56.8987735, 12.5304814 56.8988745, 12.5312134 56.8990096)",,2
55466050,,,secondary_link,70,True,False,233.58100000000002,"LINESTRING (12.5263748 56.9006403, 12.5264794 56.9005312, 12.5265692 56.9004125, 12.5266966 56.9002712, 12.52682 56.9001189, 12.52693 56.8999694, 12.527044 56.8997812, 12.5271499 56.8995703, 12.5272344 56.8993118, 12.5272921 56.8990942, 12.5273551 56.898835, 12.527401 56.8986335)",,
443242693,N 767,,secondary,80,False,False,69.907,"LINESTRING (12.5263748 56.9006403, 12.526647 56.9004345, 12.527056 56.9001335)",,
443242693,N 767,,secondary,80,False,True,69.907,"LINESTRING (12.527056 56.9001335, 12.526647 56.9004345, 12.5263748 56.9006403)",,
443242696,N 767,,secondary,80,False,False,187.506,"LINESTRING (12.527056 56.9001335, 12.5275442 56.8997651, 12.5282724 56.8992444, 12.5286171 56.8990269, 12.5289537 56.8988043)",,
229834712,N 767,,secondary,80,False,True,125.507,"LINESTRING (12.5303465 56.8979711, 12.5297436 56.8983099, 12.529356 56.8985427, 12.5289537 56.8988043)",,
83103805,,,secondary_link,70,True,False,155.27700000000002,"LINESTRING (12.5280688 56.8978379, 12.5282095 56.8977641, 12.5284387 56.897677, 12.5285329 56.8976578, 12.5286453 56.8976355, 12.5288161 56.8976218, 12.5289486 56.8976242, 12.5291345 56.8976434, 12.5292683 56.8976685, 12.5295081 56.8977504, 12.5299333 56.8979072, 12.5300789 56.897938, 12.5301983 56.8979498, 12.5303465 56.8979711)",,
443242718,150,Årstadvägen,secondary,50,False,False,23.65,"LINESTRING (12.5272812 56.8982403, 12.5274615 56.8982793, 12.5276435 56.8983183)",,
