osmid,ref,highway,maxspeed,junction,oneway,reversed,length,geometry,lanes,name,bridge
61499082,O 550,tertiary,60,roundabout,True,False,19.070000000000004,"LINESTRING (12.1216739 57.6569264, 12.1216354 57.6569323, 12.1215954 57.6569341, 12.1215556 57.6569316, 12.1215175 57.656925, 12.1214825 57.6569145, 12.1214521 57.6569005, 12.1214274 57.6568836, 12.1214095 57.6568645)",,,
199230915,O 550,tertiary,60,roundabout,True,False,26.249000000000002,"LINESTRING (12.1079087 57.6571763, 12.1079005 57.65716, 12.107897 57.6571433, 12.1078985 57.6571264, 12.1079049 57.6571099, 12.1079161 57.6570941, 12.1079316 57.6570795, 12.1079513 57.6570663, 12.1079746 57.6570549, 12.1080008 57.6570456, 12.1080295 57.6570386, 12.1080599 57.657034, 12.1080912 57.6570321, 12.1081227 57.6570328, 12.1081536 57.657036)",,,
"[793218481, 16799059]",,unclassified,40,,False,False,17.521,"LINESTRING (12.1080711 57.657247, 12.1080561 57.6572961, 12.1080454 57.6573441, 12.1080397 57.6574035)",,,
199230915,O 550,tertiary,60,roundabout,True,False,13.084999999999999,"LINESTRING (12.1080711 57.657247, 12.1080442 57.657244, 12.1080183 57.657239, 12.1079939 57.6572323, 12.1079714 57.6572238, 12.1079514 57.6572137, 12.107934 57.6572023, 12.1079197 57.6571898, 12.1079087 57.6571763)",,,
"[32533830, 32533831, 33508169, 33508170, 605393901, 793206260]",O 533,tertiary,"['60', '40']",,False,True,293.385,"LINESTRING (12.1081536 57.657036, 12.1081567 57.6569883, 12.1081674 57.6569201, 12.1082103 57.656806, 12.1083021 57.6566447, 12.1084675 57.6563843, 12.1086027 57.6561872, 12.1087354 57.655983, 12.1087848 57.6558958, 12.1088214 57.6557956, 12.1088354 57.6556859, 12.1088375 57.6555951, 12.1088361 57.6554849, 12.1088165 57.6553904, 12.1087806 57.6552986, 12.1086098 57.6550141, 12.1085329 57.6548946, 12.1084151 57.6547189, 12.1082832 57.6544987)",2,Mölndalsvägen,yes
199230915,O 550,tertiary,60,roundabout,True,False,7.686,"LINESTRING (12.1081536 57.657036, 12.1081839 57.6570421, 12.108212 57.6570506, 12.1082372 57.6570613, 12.1082588 57.6570742)",,,
33732532,,residential,40,,False,False,36.316,"LINESTRING (12.114657 57.6625156, 12.1144874 57.6624581, 12.1141481 57.6623352)",,Kyrkvägen,
226212274,O 536,tertiary,40,,False,False,216.13299999999998,"LINESTRING (12.114657 57.6625156, 12.1147744 57.6623912, 12.1149762 57.6621781, 12.1152411 57.6618948, 12.1154026 57.6617319, 12.1156508 57.6614643, 12.1161067 57.6609826, 12.1163005 57.6607821)",,Allén,
793218487,,residential,30,,False,True,61.263999999999996,"LINESTRING (12.114657 57.6625156, 12.1148153 57.6625486, 12.1149628 57.662564, 12.1154221 57.6626157, 12.1156558 57.662646)",,Kyrkvägen,
226212274,O 536,tertiary,40,,False,True,71.267,"LINESTRING (12.1175819 57.6594535, 12.1170294 57.6600222)",,Allén,
21092989,,residential,40,,False,False,49.923,"LINESTRING (12.1175819 57.6594535, 12.1181922 57.6596021, 12.1182368 57.6596172, 12.118343 57.6596421)",,Idrottsgatan,
"[1137109400, 618094665, 32513353, 35464517]",,"['living_street', 'residential']","['40', 'walk']",,False,True,260.119,"LINESTRING (12.1175819 57.6594535, 12.1173305 57.6593982, 12.1172674 57.659381, 12.1163763 57.6591492, 12.115459 57.6589441, 12.115071 57.6588761, 12.1150118 57.6588732, 12.1149044 57.658868, 12.1147432 57.6588318, 12.1144797 57.6587742, 12.1142429 57.6587222, 12.1138292 57.658633, 12.1136854 57.6586029, 12.1135627 57.6585534)",,Centralvägen,
"[793218483, 793218484]",O 536,tertiary,40,,False,False,55.050000000000004,"LINESTRING (12.1175819 57.6594535, 12.1176182 57.6594111, 12.1177156 57.6593034, 12.1177819 57.6592272, 12.1179647 57.6590421, 12.1179956 57.6590108)",,Allén,
16799506,,residential,40,,False,False,72.215,"LINESTRING (12.1195071 57.6586495, 12.1197049 57.6587055, 12.1199121 57.6587611, 12.1200751 57.6587823, 12.1202571 57.6588008, 12.1205069 57.6588289, 12.1206564 57.6588364)",,Långenäsvägen,
"[214860634, 32533828, 32533829]",O 536,tertiary,40,,False,True,83.881,"LINESTRING (12.1195071 57.6586495, 12.1194548 57.65868, 12.1193308 57.6587392, 12.1192154 57.6587677, 12.1189011 57.6588346, 12.1188412 57.6588432, 12.1187637 57.6588555, 12.1183477 57.6589064, 12.1182808 57.658911, 12.1182172 57.6589154)",2,Allén,yes
223377791,O 536,tertiary,40,,False,False,97.371,"LINESTRING (12.1195071 57.6586495, 12.1195366 57.6585678, 12.1195561 57.6585211, 12.1195748 57.6584261, 12.1195889 57.6583579, 12.1195467 57.6581707, 12.1194481 57.6579859, 12.1193676 57.6579127, 12.1193153 57.6578553, 12.119267 57.6578114)",2,Allén,
26445401,,residential,40,,False,False,74.49600000000001,"LINESTRING (12.1082832 57.6544987, 12.108209 57.6545047, 12.1078667 57.654488, 12.1076124 57.6544716, 12.1072893 57.6544544, 12.1070385 57.6544383)",,Lyckevägen,
"[32533830, 32533831, 33508169, 33508170, 605393901, 793206260]",O 533,tertiary,"['60', '40']",,False,False,293.385,"LINESTRING (12.1082832 57.6544987, 12.1084151 57.6547189, 12.1085329 57.6548946, 12.1086098 57.6550141, 12.1087806 57.6552986, 12.1088165 57.6553904, 12.1088361 57.6554849, 12.1088375 57.6555951, 12.1088354 57.6556859, 12.1088214 57.6557956, 12.1087848 57.6558958, 12.1087354 57.655983, 12.1086027 57.6561872, 12.1084675 57.6563843, 12.1083021 57.6566447, 12.1082103 57.656806, 12.1081674 57.6569201, 12.1081567 57.6569883, 12.1081536 57.657036)",2,Mölndalsvägen,yes
"[214136672, 33732532, 246234247]",,residential,40,,False,False,181.84499999999997,"LINESTRING (12.1093358 57.6608267, 12.1087297 57.6608535, 12.1083377 57.6608735, 12.1079911 57.6608929, 12.1078325 57.6608899, 12.1077698 57.6608891, 12.1076276 57.6608705, 12.1075274 57.660838, 12.1074496 57.6607905, 12.1074063 57.6607424, 12.1073762 57.6606443, 12.1073453 57.6605324, 12.1073084 57.660418, 12.1072783 57.660333, 12.10723 57.6602139)",,Kyrkvägen,
33732532,,residential,40,,False,True,53.233,"LINESTRING (12.1093358 57.6608267, 12.1096819 57.6608235, 12.109821 57.6608228, 12.1099705 57.6608231, 12.11023 57.6608332)",,Kyrkvägen,
16798999,,residential,40,,False,True,88.46,"LINESTRING (12.11023 57.6608332, 12.1102216 57.6607697, 12.1101589 57.6601823, 12.1101546 57.6600388)",,Floravägen,
33732532,,residential,40,,False,False,53.233000000000004,"LINESTRING (12.11023 57.6608332, 12.1099705 57.6608231, 12.109821 57.6608228, 12.1096819 57.6608235, 12.1093358 57.6608267)",,Kyrkvägen,
33732532,,residential,40,,False,True,63.882999999999996,"LINESTRING (12.11023 57.6608332, 12.1103075 57.6608432, 12.1105006 57.6608669, 12.1106012 57.6608949, 12.1107658 57.6609403, 12.110923 57.6610068, 12.1110504 57.661102, 12.1110971 57.6611356)",,Kyrkvägen,
16798982,,residential,40,,False,False,94.838,"LINESTRING (12.1072581 57.6590983, 12.1073348 57.6590873, 12.1076732 57.6590431, 12.1080782 57.6589756, 12.1083907 57.6589232, 12.1087834 57.6588516)",,Kindbovägen,
214136672,,residential,40,,False,False,204.05400000000003,"LINESTRING (12.1072581 57.6590983, 12.1072588 57.6590414, 12.1072632 57.658884, 12.1072793 57.6587512, 12.1072923 57.6586574, 12.1073205 57.6585113, 12.1073772 57.6583437, 12.1073839 57.6583098, 12.1074305 57.658166, 12.1074888 57.657981, 12.1075488 57.6577942, 12.1075998 57.6576616, 12.1076239 57.6575936, 12.1076843 57.6575244, 12.1077141 57.6574909, 12.10781 57.6574444, 12.1079285 57.65741, 12.1080397 57.6574035)",,Kyrkvägen,
214136672,,residential,40,,False,True,125.80299999999998,"LINESTRING (12.1072581 57.6590983, 12.1072407 57.6591568, 12.1071545 57.6594037, 12.1071341 57.6594629, 12.1071029 57.6595659, 12.1070898 57.6596414, 12.1070761 57.6597262, 12.1070878 57.6598372, 12.1071187 57.6599262, 12.1071824 57.6600894, 12.10723 57.6602139)",,Kyrkvägen,
214136672,,residential,40,,False,True,204.05399999999997,"LINESTRING (12.1080397 57.6574035, 12.1079285 57.65741, 12.10781 57.6574444, 12.1077141 57.6574909, 12.1076843 57.6575244, 12.1076239 57.6575936, 12.1075998 57.6576616, 12.1075488 57.6577942, 12.1074888 57.657981, 12.1074305 57.658166, 12.1073839 57.6583098, 12.1073772 57.6583437, 12.1073205 57.6585113, 12.1072923 57.6586574, 12.1072793 57.6587512, 12.1072632 57.658884, 12.1072588 57.6590414, 12.1072581 57.6590983)",,Kyrkvägen,
"[793218481, 16799059]",,unclassified,40,,False,True,17.521,"LINESTRING (12.1080397 57.6574035, 12.1080454 57.6573441, 12.1080561 57.6572961, 12.1080711 57.657247)",,,
793218482,,residential,40,,False,False,25.406000000000002,"LINESTRING (12.1080397 57.6574035, 12.1081249 57.6574104, 12.108441 57.6574787)",,Kyrkvägen,
793218482,,residential,40,,False,True,77.747,"LINESTRING (12.1119463 57.6582139, 12.1119218 57.6581997, 12.111832 57.658143, 12.1117415 57.6581172, 12.1115322 57.6580885, 12.1113773 57.6580777, 12.1112023 57.6580555, 12.1110193 57.658034, 12.1109059 57.658001, 12.1108215 57.6579931, 12.1107484 57.6579838)",,Kyrkvägen,
"[1137109400, 32513353, 618094665, 35464517]",,"['residential', 'living_street']","['40', 'walk']",,False,False,260.119,"LINESTRING (12.1135627 57.6585534, 12.1136854 57.6586029, 12.1138292 57.658633, 12.1142429 57.6587222, 12.1144797 57.6587742, 12.1147432 57.6588318, 12.1149044 57.658868, 12.1150118 57.6588732, 12.115071 57.6588761, 12.115459 57.6589441, 12.1163763 57.6591492, 12.1172674 57.659381, 12.1173305 57.6593982, 12.1175819 57.6594535)",,Centralvägen,
