osmid,ref,name,highway,maxspeed,width,oneway,reversed,length,geometry,lanes,junction,bridge,access
22870910,W 852,Nybrogatan,tertiary,40,8,False,False,62.794000000000004,"LINESTRING (15.6284128 60.6095047, 15.6283299 60.6094823, 15.6283017 60.6094747, 15.6274775 60.6092521, 15.6274046 60.6092325)",,,,
89345086,,Åsgatan,tertiary,30,8.0,False,True,90.302,"LINESTRING (15.6284128 60.6095047, 15.6283709 60.6095416, 15.6283194 60.6095862, 15.6276022 60.6102127)",2,,,
202316540,,Åsgatan,residential,30,,False,False,52.425,"LINESTRING (15.6284128 60.6095047, 15.6284485 60.6094724, 15.6285032 60.6094228, 15.6288702 60.6090901)",,,,
1256624418,W 852,Nybrogatan,tertiary,40,10.5,False,True,104.707,"LINESTRING (15.6284128 60.6095047, 15.62852 60.6095489, 15.6285619 60.6095661, 15.6295441 60.6098404, 15.6299577 60.6099559, 15.6300604 60.6099846)",,,,
22870910,W 852,Nybrogatan,tertiary,40,8,False,False,92.109,"LINESTRING (15.6274046 60.6092325, 15.6273451 60.6092163, 15.6260918 60.6088754, 15.6260738 60.6088705, 15.6259177 60.6088423)",,,,
22870910,W 852,Nybrogatan,tertiary,40,8,False,True,62.794000000000004,"LINESTRING (15.6274046 60.6092325, 15.6274775 60.6092521, 15.6283017 60.6094747, 15.6283299 60.6094823, 15.6284128 60.6095047)",,,,
89348570,,Slaggatan,living_street,,,False,False,65.415,"LINESTRING (15.6274046 60.6092325, 15.6273757 60.6092575, 15.6268128 60.6097441)",,,,
220625749,,Slaggatan,residential,30,,True,False,53.307,"LINESTRING (15.6274046 60.6092325, 15.6274331 60.6092062, 15.6276578 60.6089995, 15.6278718 60.6088115)",,,,
4254413,W 852,Trotzgatan,tertiary,40,7,False,True,75.87700000000001,"LINESTRING (15.6302431 60.6099625, 15.6303117 60.609901, 15.6309136 60.6093647)",2,,,
4556514,,,tertiary,40,7,True,False,10.279,"LINESTRING (15.6302431 60.6099625, 15.6302782 60.6099779, 15.6303 60.6099984, 15.6303058 60.6100213, 15.6302948 60.6100438)",1,roundabout,,
993282200,,Kristinegatan,residential,30,,False,False,49.96,"LINESTRING (15.6320565 60.6083931, 15.6312552 60.6081758)",,,,
4254413,W 852,Trotzgatan,tertiary,40,7,False,False,124.74799999999999,"LINESTRING (15.6320565 60.6083931, 15.6319533 60.6084809, 15.6319475 60.6084858, 15.6315332 60.608838, 15.63098 60.6093083, 15.6309136 60.6093647)",2,,,
4254413,W 852,Trotzgatan,tertiary,40,7,False,True,97.18299999999999,"LINESTRING (15.6320565 60.6083931, 15.6321663 60.6082965, 15.6327958 60.6077425, 15.6329239 60.6076298)",2,,,
1256624417,,Kristinegatan,residential,30,,False,False,104.90899999999999,"LINESTRING (15.6320565 60.6083931, 15.6322458 60.6084456, 15.6333219 60.6087438, 15.6337272 60.6088598)",,,,
4254413,W 852,Trotzgatan,tertiary,40,7,False,False,97.18299999999999,"LINESTRING (15.6329239 60.6076298, 15.6327958 60.6077425, 15.6321663 60.6082965, 15.6320565 60.6083931)",2,,,
