osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge
40868136,,Linnégatan,residential,30,False,True,95.191,"LINESTRING (14.0709243 56.2558395, 14.0709458 56.2557959, 14.0709493 56.2557311, 14.0708696 56.2554798, 14.0708301 56.2553554, 14.0707911 56.2552325, 14.0707862 56.2552171, 14.0707162 56.2549964)",
39799649,,Bödkaregatan,residential,30,False,True,70.735,"LINESTRING (14.0705448 56.2537537, 14.0715669 56.253665, 14.0716758 56.2536758)",
40868157,,Vegagatan,residential,30,False,False,122.681,"LINESTRING (14.0705448 56.2537537, 14.0704169 56.2533757, 14.0701779 56.2526694)",
39799631,,Snapphanegatan,residential,30,False,True,77.511,"LINESTRING (14.0701779 56.2526694, 14.0713247 56.2525625, 14.0714153 56.2525538)",
40868157,,Vegagatan,residential,30,False,True,122.681,"LINESTRING (14.0701779 56.2526694, 14.0704169 56.2533757, 14.0705448 56.2537537)",
1085799251,,,residential,50,False,False,17.403,"LINESTRING (14.0847451 56.257512, 14.0844691 56.2575435)",
477767917,M 2113,Njuravägen,tertiary,40,False,True,188.91199999999998,"LINESTRING (14.0847451 56.257512, 14.0846961 56.2572827, 14.0845993 56.2568293, 14.0843848 56.2558249)",
1085799251,,,residential,50,False,True,17.403,"LINESTRING (14.0844691 56.2575435, 14.0847451 56.257512)",
1085799251,,,residential,50,False,False,130.044,"LINESTRING (14.0844691 56.2575435, 14.0844784 56.2577744, 14.084357 56.2578237, 14.0842309 56.25786, 14.0840441 56.2578626, 14.0839927 56.2578392, 14.0839227 56.257738, 14.0838946 56.2575668, 14.083974 56.2575072, 14.0840908 56.2574968, 14.0844691 56.2575435)",
1085799251,,,residential,50,False,True,130.044,"LINESTRING (14.0844691 56.2575435, 14.0840908 56.2574968, 14.083974 56.2575072, 14.0838946 56.2575668, 14.0839227 56.257738, 14.0839927 56.2578392, 14.0840441 56.2578626, 14.0842309 56.25786, 14.084357 56.2578237, 14.0844784 56.2577744, 14.0844691 56.2575435)",
39863435,,Forsgatan,residential,30,False,True,97.68699999999998,"LINESTRING (14.0827446 56.2563525, 14.0830809 56.2561481, 14.082996 56.2561248, 14.0828286 56.2560362, 14.0828446 56.255984, 14.0831662 56.2556627)",
1103806572,,,residential,,False,False,82.032,"LINESTRING (14.0707162 56.2549964, 14.0720204 56.2548572)",
40868136,,Linnégatan,residential,30,False,False,95.191,"LINESTRING (14.0707162 56.2549964, 14.0707862 56.2552171, 14.0707911 56.2552325, 14.0708301 56.2553554, 14.0708696 56.2554798, 14.0709493 56.2557311, 14.0709458 56.2557959, 14.0709243 56.2558395)",
40868136,,Linnégatan,residential,30,False,True,51.87,"LINESTRING (14.0707162 56.2549964, 14.0706932 56.2549239, 14.0705705 56.254537)",
40117160,M 2500,Västergatan,tertiary,40,False,False,57.27,"LINESTRING (14.0720204 56.2548572, 14.0718552 56.2543504)",
40117160,M 2500,Västergatan,tertiary,40,False,True,99.794,"LINESTRING (14.0720204 56.2548572, 14.0723083 56.2557403)",
1103806572,,,residential,,False,True,82.032,"LINESTRING (14.0720204 56.2548572, 14.0707162 56.2549964)",
