osmid,lanes,name,highway,maxspeed,junction,oneway,reversed,length,geometry,bridge,ref
40823653,2,Trafikplats Glädjen,secondary,50,roundabout,True,False,11.652000000000001,"LINESTRING (17.9248999 59.5140849, 17.9249744 59.5141314, 17.9250247 59.5141683)",,
266079693,2,Trafikplats Glädjen,secondary,50,roundabout,True,False,50.454,"LINESTRING (17.9250247 59.5141683, 17.9251009 59.5142448, 17.925156 59.5143124, 17.9251892 59.5144151, 17.9251894 59.5145128, 17.9251702 59.5146054)",,
785650744,2,Trafikplats Glädjen,secondary,50,roundabout,True,False,14.3,"LINESTRING (17.9251702 59.5146054, 17.9250806 59.5147257)",,
785650743,2,Trafikplats Glädjen,secondary,50,roundabout,True,False,19.449,"LINESTRING (17.9235126 59.5148256, 17.9233028 59.5146868)",,
"[110938529, 266079694, 785650745]",2,Trafikplats Glädjen,secondary,50,roundabout,True,False,98.961,"LINESTRING (17.9233768 59.5142048, 17.9235287 59.5141001, 17.9236306 59.5140546, 17.9237497 59.514013, 17.9239243 59.5139807, 17.9240935 59.5139673, 17.9243167 59.5139682, 17.9245353 59.5139888, 17.9247093 59.5140181, 17.9248999 59.5140849)",yes,
785650740,2,Trafikplats Glädjen,secondary,50,roundabout,True,False,6.981,"LINESTRING (17.9233147 59.5142591, 17.9233768 59.5142048)",,
"[4252227, 785650742]",,Mälarvägen,secondary,50,,True,False,251.074,"LINESTRING (17.9233028 59.5146868, 17.9229839 59.5145706, 17.9226477 59.5145191, 17.922074 59.5145128, 17.9189422 59.5144671)",,AB 850
266079691,2,Trafikplats Glädjen,secondary,50,roundabout,True,False,48.415,"LINESTRING (17.9233028 59.5146868, 17.9232551 59.5145872, 17.9232383 59.5144859, 17.9232538 59.514371, 17.9233147 59.5142591)",,
4709881,,,secondary_link,50,,True,False,11.175,"LINESTRING (17.9189575 59.5143669, 17.9189422 59.5144671)",,
158298795,2,Mälarvägen,secondary,50,,True,False,250.58399999999997,"LINESTRING (17.9189575 59.5143669, 17.9225673 59.5144211, 17.9229971 59.5143752, 17.9231778 59.5143087, 17.9233147 59.5142591)",,AB 850
1133875270,,Mälarvägen,secondary,50,,True,False,11.776,"LINESTRING (17.9189422 59.5144671, 17.9187336 59.514463)",,AB 850
1133875259,,Husarvägen,tertiary,40,,True,False,85.694,"LINESTRING (17.9189422 59.5144671, 17.9189051 59.51459, 17.9188092 59.5152345)",,
308762857,,Husarvägen,tertiary,50,roundabout,True,False,8.979999999999999,"LINESTRING (17.9178313 59.5188902, 17.9178065 59.5188741, 17.9177629 59.5188415, 17.9177528 59.5188212)",,
158301648,,Husarvägen,tertiary,50,roundabout,True,False,12.638,"LINESTRING (17.9178985 59.5186868, 17.9179976 59.5186848, 17.9180691 59.5186938, 17.9181099 59.5187095)",,
307462948,,Husarvägen,tertiary,50,,True,False,27.772,"LINESTRING (17.9178985 59.5186868, 17.9179895 59.5185664, 17.9180405 59.5185038, 17.9180807 59.5184548)",,
282543509,,Husarvägen,tertiary,40,,False,False,209.717,"LINESTRING (17.9185591 59.5165848, 17.9183135 59.5176804, 17.9182631 59.5178327, 17.9180807 59.5184548)",,
282543509,,Husarvägen,tertiary,40,,False,True,77.448,"LINESTRING (17.9185591 59.5165848, 17.9185842 59.5164266, 17.9186842 59.5158912)",,
633925641,,Blå gatan,unclassified,,,False,False,306.668,"LINESTRING (17.9185591 59.5165848, 17.9183264 59.5165803, 17.9172312 59.5165359, 17.9160166 59.5165256, 17.9157482 59.5165263, 17.9149588 59.5165227, 17.9144323 59.5165227, 17.9140481 59.5165186, 17.9131265 59.5165144)",,
4967614,,Kyrkvägen,residential,30,,False,True,67.105,"LINESTRING (17.9148738 59.5191611, 17.9148701 59.5192061, 17.9148057 59.5193046, 17.9145224 59.5193787, 17.9144453 59.5194138, 17.9144169 59.5194539, 17.9143909 59.5196513)",,
158301641,,Kyrkvägen,tertiary,30,,False,False,247.10700000000003,"LINESTRING (17.9148738 59.5191611, 17.9145072 59.5191621, 17.914196 59.5191614, 17.9132049 59.5191624, 17.9130111 59.5191917, 17.9128265 59.5192653, 17.912721 59.5193303, 17.9126276 59.5194095, 17.9121642 59.5198025, 17.9120662 59.5198759, 17.9119902 59.5199186, 17.9119221 59.5199484, 17.9118136 59.5199723, 17.9116985 59.5199832, 17.9115682 59.5199848, 17.9112876 59.5199856)",,
158301641,,Kyrkvägen,tertiary,30,,False,True,81.94200000000001,"LINESTRING (17.9148738 59.5191611, 17.9153192 59.5191572, 17.9154911 59.5191471, 17.9157325 59.5190947, 17.9159572 59.5190426, 17.9162524 59.5189741)",,
158301641,,Kyrkvägen,tertiary,30,,False,False,81.94200000000001,"LINESTRING (17.9162524 59.5189741, 17.9159572 59.5190426, 17.9157325 59.5190947, 17.9154911 59.5191471, 17.9153192 59.5191572, 17.9148738 59.5191611)",,
"[158301641, 798787567]",,Kyrkvägen,tertiary,"['40', '30']",,False,"[False, True]",62.38000000000001,"LINESTRING (17.9162524 59.5189741, 17.9165018 59.5189295, 17.9170043 59.5188149, 17.9172841 59.5187752)",,
367094645,,Säterivägen,residential,50,,False,True,62.242,"LINESTRING (17.9162524 59.5189741, 17.9162856 59.5190235, 17.9162529 59.5195308)",,
