osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,access,junction,tunnel
201226341,True,2,Jalan K.K. Bypass,tertiary,40,False,11.605,"LINESTRING (116.0767791 5.9815585, 116.0766775 5.9815324)",,,,
117168874,True,,Jalan Tun Razak,trunk,,False,35.405,"LINESTRING (116.0728383 5.978924, 116.0729856 5.9792067)",,,,
199472713,True,,Jalan Dua Puluh,tertiary,,False,15.791,"LINESTRING (116.0728383 5.978924, 116.072956 5.9788436)",,,,
117168874,True,,Jalan Tun Razak,trunk,,False,36.5,"LINESTRING (116.0738856 5.9807944, 116.0740474 5.9810805)",,,,
175869556,True,,Jalan Sembilan Belas,unclassified,,False,25.327,"LINESTRING (116.0738856 5.9807944, 116.0739083 5.9808597, 116.0739023 5.9808947, 116.0738843 5.9809302, 116.0738485 5.9809576, 116.0738155 5.9809777)",,,,
175870899,True,,Jalan Dua Puluh,tertiary,,False,34.112,"LINESTRING (116.0727958 5.9788471, 116.0725281 5.9789995)",,,,
719127418,True,2,Jalan Coastal,trunk,,False,9.757,"LINESTRING (116.0727958 5.9788471, 116.0728383 5.978924)",1,yes,,
117168871,True,2,Bulatan Capitol,primary,,False,5.5969999999999995,"LINESTRING (116.0756901 5.9776029, 116.0757017 5.977581, 116.0757076 5.9775561)",,,roundabout,
117168871,True,2,Bulatan Capitol,primary,,False,33.565,"LINESTRING (116.0754308 5.9777158, 116.0754747 5.9777203, 116.0755416 5.9777128, 116.0755835 5.9777006, 116.0756189 5.9776798, 116.0756453 5.9776632, 116.0756676 5.9776414, 116.0756901 5.9776029)",,,roundabout,
148192828,True,,Jalan K.K. Bypass,primary,,False,391.5180000000001,"LINESTRING (116.0754308 5.9777158, 116.0754596 5.9777687, 116.0754872 5.9778068, 116.0755084 5.9778506, 116.0755315 5.9779174, 116.0755735 5.9780697, 116.0756067 5.9785136, 116.0756276 5.9787926, 116.075665 5.979204, 116.0757066 5.9795457, 116.0757401 5.9797965, 116.075766 5.9799534, 116.0758057 5.9801107, 116.0758656 5.9803345, 116.0760181 5.9807748, 116.0761048 5.9809943, 116.0761648 5.9811289)",,,,
117168871,True,2,Bulatan Capitol,primary,,False,38.87,"LINESTRING (116.0755603 5.9771889, 116.0755322 5.9771767, 116.0754789 5.977164, 116.0754274 5.9771632, 116.0753601 5.9771789, 116.0752979 5.9772143, 116.0752475 5.9772678)",,,roundabout,
