osmid,oneway,lanes,name,highway,reversed,length,geometry,ref,junction
237482159,False,2,Lorong Residen 6,tertiary,False,20.396,"LINESTRING (110.4927414 1.4560889, 110.4926225 1.4562286)",,
318730565,False,2,Jalan Residen,secondary,False,23.293,"LINESTRING (110.4927414 1.4560889, 110.4925707 1.4559674)",,
318730565,False,2,Jalan Residen,secondary,True,23.048,"LINESTRING (110.4927414 1.4560889, 110.4929137 1.4562042)",,
318730547,False,2,Jalan Kampung Muara Tuang,residential,True,91.864,"LINESTRING (110.4935611 1.4565957, 110.4939531 1.4558684)",,
318730565,False,2,Jalan Residen,secondary,False,84.135,"LINESTRING (110.4935611 1.4565957, 110.4932443 1.4564147, 110.4930968 1.4563236, 110.4929137 1.4562042)",,
318730565,False,2,Jalan Residen,secondary,True,131.87,"LINESTRING (110.4935611 1.4565957, 110.4937378 1.4567174, 110.4937921 1.4567589, 110.4938367 1.4567951, 110.4944858 1.4573374)",,
318730565,False,2,Jalan Residen,secondary,False,110.57499999999999,"LINESTRING (110.4952915 1.4580198, 110.4952234 1.4579376, 110.4945315 1.4573812)",,
326951616,False,2,Jalan Datuk Mohamad Musa,secondary,False,279.08799999999997,"LINESTRING (110.4952915 1.4580198, 110.4948389 1.4586322, 110.4947014 1.458787, 110.4945827 1.458898, 110.494465 1.4589969, 110.4943306 1.45909, 110.4942106 1.4591598, 110.4940738 1.4592134, 110.493937 1.4592516, 110.4933167 1.4593843)",802,
599346385,False,2,,secondary,False,67.268,"LINESTRING (110.4952915 1.4580198, 110.4953456 1.4580507, 110.4953814 1.4580684, 110.4958521 1.4582454)",,
599346385,False,2,,secondary,False,80.425,"LINESTRING (110.4963101 1.4584492, 110.4969764 1.4587311)",,
599346385,False,2,,secondary,True,55.727,"LINESTRING (110.4963101 1.4584492, 110.4958521 1.4582454)",,
515230922,False,,,residential,False,210.444,"LINESTRING (110.4963101 1.4584492, 110.4961766 1.4586087, 110.4955946 1.4592797, 110.4952385 1.4597074, 110.4951131 1.4598452, 110.4950756 1.4598837)",,
326315009,False,,Lorong Kampung Muara Tuang 3,residential,True,70.163,"LINESTRING (110.4969764 1.4587311, 110.4972321 1.4581542)",,
599346385,False,2,,secondary,False,79.861,"LINESTRING (110.4969764 1.4587311, 110.4976334 1.4590217)",,
599346385,False,2,,secondary,True,80.425,"LINESTRING (110.4969764 1.4587311, 110.4963101 1.4584492)",,
326314994,False,,Lorong Kampung Muara Tuang 4,residential,False,190.78,"LINESTRING (110.4976334 1.4590217, 110.4983428 1.4574594)",,
599346385,False,2,,secondary,True,79.861,"LINESTRING (110.4976334 1.4590217, 110.4969764 1.4587311)",,
515230920,False,,,residential,False,255.39899999999997,"LINESTRING (110.4976334 1.4590217, 110.4976268 1.4590387, 110.4976264 1.459045, 110.497629 1.4590569, 110.4976406 1.4590764, 110.4976884 1.4591396, 110.4980783 1.4596149, 110.498112 1.4596566, 110.4981439 1.4597015, 110.4981715 1.4597436, 110.4982185 1.4598489, 110.4982661 1.4599735, 110.4982924 1.4600528, 110.4983177 1.4601391, 110.4984827 1.4607937, 110.4985013 1.4608664, 110.4985159 1.4609113, 110.4985321 1.4609532, 110.4985497 1.4609797, 110.4986201 1.461033)",,
599346385,False,2,,secondary,False,155.452,"LINESTRING (110.4976334 1.4590217, 110.4977266 1.4590599, 110.4980622 1.4592027, 110.498549 1.4594165, 110.4989182 1.4595737)",,
771234435,True,1,,secondary,False,25.623,"LINESTRING (110.4991462 1.4596076, 110.4989182 1.4595737)",,
318730535,True,2,,secondary,False,11.076,"LINESTRING (110.4991462 1.4596076, 110.4991186 1.4596261, 110.4990986 1.4596527, 110.4990884 1.4596842)",,roundabout
318730535,True,2,,secondary,False,2.57,"LINESTRING (110.4990884 1.4596842, 110.4990876 1.4597073)",,roundabout
771234433,True,1,,secondary,False,29.991,"LINESTRING (110.4992331 1.4597893, 110.4995029 1.459788)",,
318730535,True,2,,secondary,False,13.509,"LINESTRING (110.4992331 1.4597893, 110.4992579 1.4597718, 110.4992764 1.4597477, 110.4992868 1.4597192, 110.4992883 1.4596888)",,roundabout
318730535,True,2,,secondary,False,7.301,"LINESTRING (110.4991689 1.4597981, 110.4992018 1.459799, 110.4992331 1.4597893)",,roundabout
326315035,False,,Lorong Kampung Muara Tuang 1,residential,False,167.527,"LINESTRING (110.4951983 1.4560098, 110.4944858 1.4573374)",,
318730547,False,2,Jalan Kampung Muara Tuang,residential,False,166.435,"LINESTRING (110.4951983 1.4560098, 110.4946608 1.455731, 110.494638 1.4557224, 110.4946216 1.4557191, 110.4946044 1.4557186, 110.4945932 1.4557221, 110.4945821 1.455727, 110.4945695 1.4557357, 110.4945261 1.4557779, 110.4944134 1.4559183, 110.494402 1.4559334, 110.4943852 1.4559472, 110.4943651 1.4559589, 110.494346 1.4559663, 110.4943138 1.4559636, 110.4942941 1.4559592, 110.4941294 1.4558335, 110.4940959 1.4558111, 110.4940704 1.4558037, 110.4940493 1.4558024, 110.4940295 1.4558051, 110.4940074 1.4558128, 110.4939836 1.4558319, 110.4939531 1.4558684)",,
318730547,False,2,Jalan Kampung Muara Tuang,residential,True,97.441,"LINESTRING (110.4951983 1.4560098, 110.4955637 1.4561969, 110.4959788 1.4564087)",,
318730547,False,2,Jalan Kampung Muara Tuang,residential,False,91.864,"LINESTRING (110.4939531 1.4558684, 110.4935611 1.4565957)",,
878797506,False,,,unclassified,False,108.099,"LINESTRING (110.4939531 1.4558684, 110.4932389 1.4552086)",,
