osmid,lanes,name,highway,oneway,reversed,length,geometry,bridge
39905729,2,Jalan Pandan Indah 4/4,unclassified,False,False,127.898,"LINESTRING (101.754466 3.1299416, 101.7556179 3.1299496)",
1154895339,2,Jalan Pandan Indah 4/5,unclassified,False,True,27.944,"LINESTRING (101.754466 3.1299416, 101.7544643 3.1301929)",
1154895339,2,Jalan Pandan Indah 4/5,unclassified,False,False,69.643,"LINESTRING (101.754466 3.1299416, 101.7544681 3.1296267, 101.7544702 3.1293153)",
66376562,2,Jalan Pandan Indah 4/6,unclassified,False,False,48.998,"LINESTRING (101.7529502 3.1305331, 101.7533915 3.1305362)",
"[724045748, 724045749]",,Jalan Pandan Indah 4/1,unclassified,False,False,179.885,"LINESTRING (101.7529502 3.1305331, 101.752955 3.129835, 101.7529581 3.1293955, 101.7529947 3.1293507, 101.7530434 3.1293109, 101.7530945 3.1292923, 101.7534001 3.1292946)",
724045750,,Jalan Pandan Indah 4/1,residential,False,True,70.955,"LINESTRING (101.7529502 3.1305331, 101.7529481 3.1308406, 101.7529458 3.1311712)",
230392662,,Jalan Pandan Indah 5/8,residential,False,False,11.07,"LINESTRING (101.7564792 3.1275357, 101.7565789 3.1275348)",
39921223,,Jalan Pandan Indah 5/5,residential,False,False,106.731,"LINESTRING (101.7564792 3.1275357, 101.7564765 3.1276099, 101.7564438 3.1284949)",
230392662,,Jalan Pandan Indah 5/8,residential,False,True,62.357,"LINESTRING (101.7564792 3.1275357, 101.7563461 3.1275369, 101.7559176 3.1275407)",
66376562,2,Jalan Pandan Indah 4/6,unclassified,False,True,60.301,"LINESTRING (101.7544619 3.1305435, 101.7539188 3.1305398)",
66376562,2,Jalan Pandan Indah 4/6,unclassified,False,False,127.67500000000001,"LINESTRING (101.7544619 3.1305435, 101.7547869 3.1305458, 101.7556118 3.1305515)",
1154895339,2,Jalan Pandan Indah 4/5,unclassified,False,False,38.986000000000004,"LINESTRING (101.7544619 3.1305435, 101.7544639 3.1302414, 101.7544643 3.1301929)",
39900500,2,Jalan Pandan Indah 4/6A,unclassified,False,False,67.774,"LINESTRING (101.7545266 3.1309272, 101.7542137 3.130925, 101.7539162 3.130923)",
39900500,2,Jalan Pandan Indah 4/6A,unclassified,False,True,120.769,"LINESTRING (101.7545266 3.1309272, 101.7547843 3.130929, 101.7556143 3.1309347)",
