osmid,oneway,lanes,ref,highway,reversed,length,name,geometry,tunnel
322459125,True,1,3,primary,False,8.084,,"LINESTRING (101.9767918 6.0207155, 101.9767377 6.0207644)",
155105246,True,1,,secondary,False,38.978,Jalan Besar,"LINESTRING (101.9767918 6.0207155, 101.9766272 6.0207153, 101.9765284 6.0207317, 101.9764532 6.0207766)",
762668707,False,,,secondary,False,36.029,Jalan Besar,"LINESTRING (101.972255 6.0175909, 101.9723598 6.0172841)",
762668707,False,,,secondary,True,28.453,Jalan Besar,"LINESTRING (101.972255 6.0175909, 101.9722647 6.0178466)",
155105256,False,,,residential,True,200.18300000000002,,"LINESTRING (101.972255 6.0175909, 101.9717073 6.0176416, 101.9716752 6.0176543, 101.9716584 6.017673, 101.9716477 6.017709, 101.9716396 6.017787, 101.9716376 6.017853, 101.9716872 6.0182618, 101.9717898 6.01875, 101.9717999 6.018784, 101.9718146 6.0188143, 101.971826 6.018826, 101.9718388 6.0188356)",
155105247,False,,,unclassified,False,67.397,Jalan Hulu Pasar,"LINESTRING (101.9730239 6.0177149, 101.972424 6.0178219)",
812783273,False,,,unclassified,True,81.181,,"LINESTRING (101.9730239 6.0177149, 101.9731601 6.0184323)",
"[155105249, 155105247]",False,,,unclassified,True,217.23100000000002,Jalan Hulu Pasar,"LINESTRING (101.9730239 6.0177149, 101.9739912 6.0175416, 101.9743252 6.0174943, 101.9743641 6.0174956, 101.9743936 6.0175056, 101.9744197 6.0175236, 101.9744365 6.0175496, 101.9744465 6.0175783, 101.974548 6.0180456)",
155105264,False,,,unclassified,True,68.631,,"LINESTRING (101.9762446 6.0177552, 101.9762356 6.0177498, 101.976222 6.0177447, 101.9762024 6.017741, 101.9756388 6.0178575)",
234323058,False,,,unclassified,False,68.14,,"LINESTRING (101.9762446 6.0177552, 101.9762554 6.0177653, 101.9762664 6.0177837, 101.9762725 6.017809, 101.9762798 6.0179137, 101.976282 6.018025, 101.9762886 6.0183593)",
234323235,False,,,residential,False,141.65300000000002,,"LINESTRING (101.9762446 6.0177552, 101.9762805 6.017709, 101.9762926 6.0176883, 101.9763032 6.0176525, 101.9763476 6.0172575, 101.9763558 6.0170947, 101.9763194 6.016502)",
155105247,False,,,unclassified,True,17.829,Jalan Hulu Pasar,"LINESTRING (101.9722647 6.0178466, 101.972424 6.0178219)",
762668707,False,,,secondary,False,28.453,Jalan Besar,"LINESTRING (101.9722647 6.0178466, 101.972255 6.0175909)",
762668707,False,,,secondary,True,88.266,Jalan Besar,"LINESTRING (101.9722647 6.0178466, 101.9723953 6.0186297)",
155105264,False,,,unclassified,True,95.656,,"LINESTRING (101.9756388 6.0178575, 101.9747865 6.0180045)",
155105254,False,,,unclassified,False,65.41900000000001,,"LINESTRING (101.9756388 6.0178575, 101.975681 6.0181351, 101.9757224 6.0184399)",
155105264,False,,,unclassified,False,68.631,,"LINESTRING (101.9756388 6.0178575, 101.9762024 6.017741, 101.976222 6.0177447, 101.9762356 6.0177498, 101.9762446 6.0177552)",
155105264,False,,,unclassified,False,26.767,,"LINESTRING (101.974548 6.0180456, 101.9747865 6.0180045)",
155105264,False,,,unclassified,True,159.387,,"LINESTRING (101.974548 6.0180456, 101.9731601 6.0184323)",
"[155105249, 155105247]",False,,,unclassified,False,217.231,Jalan Hulu Pasar,"LINESTRING (101.974548 6.0180456, 101.9744465 6.0175783, 101.9744365 6.0175496, 101.9744197 6.0175236, 101.9743936 6.0175056, 101.9743641 6.0174956, 101.9743252 6.0174943, 101.9739912 6.0175416, 101.9730239 6.0177149)",
155105259,False,,,unclassified,False,65.913,,"LINESTRING (101.974548 6.0180456, 101.9746395 6.0183889, 101.9746999 6.0186188)",
155105253,False,,,unclassified,True,70.059,,"LINESTRING (101.9731601 6.0184323, 101.9725469 6.0185907)",
155105264,False,,,unclassified,False,159.387,,"LINESTRING (101.9731601 6.0184323, 101.974548 6.0180456)",
812783273,False,,,unclassified,False,81.181,,"LINESTRING (101.9731601 6.0184323, 101.9730239 6.0177149)",
155105253,False,,,unclassified,False,17.316,,"LINESTRING (101.9723953 6.0186297, 101.9725469 6.0185907)",
155105258,False,,,residential,True,65.66,,"LINESTRING (101.9723953 6.0186297, 101.9718388 6.0188356)",
762668707,False,,,secondary,False,88.266,Jalan Besar,"LINESTRING (101.9723953 6.0186297, 101.9722647 6.0178466)",
762668707,False,,,secondary,True,45.794999999999995,Jalan Besar,"LINESTRING (101.9723953 6.0186297, 101.9724721 6.0189873, 101.9724865 6.0190312)",
155105259,False,,,unclassified,False,49.181,,"LINESTRING (101.9747154 6.0187126, 101.974784 6.0191496)",
155105259,False,,,unclassified,True,10.57,,"LINESTRING (101.9747154 6.0187126, 101.9746999 6.0186188)",
155105261,False,,,residential,False,238.975,,"LINESTRING (101.9747154 6.0187126, 101.9746216 6.0187189, 101.9743009 6.0187808, 101.9735046 6.0190147, 101.9726368 6.0192873)",
155105258,False,,,residential,False,65.66,,"LINESTRING (101.9718388 6.0188356, 101.9723953 6.0186297)",
155105256,False,,,residential,False,200.18300000000002,,"LINESTRING (101.9718388 6.0188356, 101.971826 6.018826, 101.9718146 6.0188143, 101.9717999 6.018784, 101.9717898 6.01875, 101.9716872 6.0182618, 101.9716376 6.017853, 101.9716396 6.017787, 101.9716477 6.017709, 101.9716584 6.017673, 101.9716752 6.0176543, 101.9717073 6.0176416, 101.972255 6.0175909)",
155105258,False,,,residential,True,29.942,,"LINESTRING (101.9718388 6.0188356, 101.9718679 6.0189253, 101.9718857 6.0189744, 101.9719045 6.0190267, 101.9719229 6.019051, 101.971941 6.0190654, 101.9719528 6.0190727)",
155105254,False,,,unclassified,True,14.752,,"LINESTRING (101.9763469 6.018868, 101.9762149 6.0188872)",
234323058,False,,,unclassified,True,23.021,,"LINESTRING (101.9763469 6.018868, 101.976312 6.0186639)",
