osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,access,junction
1266342011,2,P173,Jalan Ooi Kar Seng,secondary,False,True,8.091,"LINESTRING (100.4773871 5.1671323, 100.4773251 5.1671708)",,
651837008,2,P169,Jalan Atas,tertiary,True,False,130.342,"LINESTRING (100.4773871 5.1671323, 100.4773288 5.1670422, 100.4767754 5.1661309)",,
303464558,1,P169,,trunk_link,True,False,83.313,"LINESTRING (100.4791039 5.1696771, 100.4791453 5.1695784, 100.4791604 5.1694344, 100.4791455 5.1693823, 100.4790467 5.1692326, 100.4788976 5.1690141)",,
303464562,2,P169,Jalan Atas,trunk,False,False,226.656,"LINESTRING (100.4791039 5.1696771, 100.479058 5.1698732, 100.4790332 5.1700362, 100.4790426 5.1702185, 100.4791123 5.1704676, 100.4792187 5.1706687, 100.4792465 5.1707441, 100.4792523 5.1708017, 100.4792485 5.1708553, 100.4792076 5.1709167, 100.4791341 5.1709574, 100.4790754 5.1709684, 100.4790379 5.1709631, 100.4789936 5.1709402, 100.4789581 5.1709037, 100.478917 5.170823, 100.4788316 5.1706621, 100.4787712 5.1704881)",,
330005138,2,1,Jalan Nibong Tebal,trunk,True,False,57.531,"LINESTRING (100.4788881 5.1695314, 100.4788976 5.1690141)",permissive,
256337521,1,,,trunk_link,True,False,42.011,"LINESTRING (100.4788881 5.1695314, 100.4789512 5.1694918, 100.4790212 5.1694787, 100.4790636 5.1694993, 100.4790865 5.1695417, 100.4791036 5.1696108, 100.4791039 5.1696771)",,
303464559,,P175,Jalan Sungai Daun,tertiary,False,False,72.66499999999999,"LINESTRING (100.4782447 5.1703882, 100.4781861 5.1705461, 100.4780112 5.1709989)",,
303464560,1,,Jalan Sungai Daun,tertiary,True,False,27.826999999999998,"LINESTRING (100.4782447 5.1703882, 100.4783299 5.1703191, 100.4784057 5.170307, 100.4784694 5.1702961)",,
303464562,2,P169,Jalan Atas,trunk,False,True,226.65599999999995,"LINESTRING (100.4787712 5.1704881, 100.4788316 5.1706621, 100.478917 5.170823, 100.4789581 5.1709037, 100.4789936 5.1709402, 100.4790379 5.1709631, 100.4790754 5.1709684, 100.4791341 5.1709574, 100.4792076 5.1709167, 100.4792485 5.1708553, 100.4792523 5.1708017, 100.4792465 5.1707441, 100.4792187 5.1706687, 100.4791123 5.1704676, 100.4790426 5.1702185, 100.4790332 5.1700362, 100.479058 5.1698732, 100.4791039 5.1696771)",,
655154940,2,P169,Jalan Atas,trunk,True,False,41.107,"LINESTRING (100.4787712 5.1704881, 100.4787218 5.1703091, 100.4787049 5.1702389, 100.4786815 5.1701295)",,
1168189667,2,1,Jalan Nibong Tebal,trunk,True,False,55.383,"LINESTRING (100.4788239 5.1691429, 100.478798 5.1696403)",,
"[330005149, 303466543]",1,,,trunk_link,True,False,51.696,"LINESTRING (100.4788239 5.1691429, 100.478769 5.1692949, 100.4787335 5.1693483, 100.4786792 5.169383, 100.4786349 5.1694024, 100.4785833 5.1694109, 100.4785082 5.1694103)",,
607046254,2,P169,Jalan Atas,secondary,True,False,100.497,"LINESTRING (100.4785082 5.1694103, 100.4781266 5.1685903)",,
1168189666,2,1,Jalan Nibong Tebal,trunk,True,False,87.844,"LINESTRING (100.4788238 5.1683529, 100.4788238 5.1684978, 100.4788239 5.1687555, 100.4788239 5.1691429)",,
303466545,,,Jalan Baru,residential,False,False,16.055,"LINESTRING (100.4779295 5.1681474, 100.4779425 5.1680036)",,
