osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,junction,tunnel,bridge
45895598,False,2,67,Jalan Sungai Petani - Baling,primary,True,85.34,"LINESTRING (100.9159511 5.6730075, 100.9159592 5.6729595, 100.9160106 5.6727698, 100.9160223 5.6727238, 100.9160784 5.6725129, 100.9161266 5.6722607)",,,
654261153,True,2,67,Jalan Sungai Petani - Baling,primary,False,22.774,"LINESTRING (100.9159511 5.6730075, 100.915903 5.6730614, 100.9158856 5.673193)",,,
45895598,False,2,67,Jalan Sungai Petani - Baling,primary,True,17.982,"LINESTRING (100.9161266 5.6722607, 100.9161495 5.6721006)",,,
45895598,False,2,67,Jalan Sungai Petani - Baling,primary,False,85.34,"LINESTRING (100.9161266 5.6722607, 100.9160784 5.6725129, 100.9160223 5.6727238, 100.9160106 5.6727698, 100.9159592 5.6729595, 100.9159511 5.6730075)",,,
654261151,False,,K10,,primary,False,160.58000000000004,"LINESTRING (100.9157347 5.6741149, 100.9157218 5.6741981, 100.915716 5.6742434, 100.9156928 5.674426, 100.9156828 5.6745454, 100.9156747 5.674761, 100.9156707 5.6748176, 100.9156735 5.6749192, 100.9156774 5.6750352, 100.9156841 5.6751633, 100.9156908 5.6752647, 100.9157216 5.6754522, 100.9157284 5.6755523)",,,
654261163,True,,K10,,primary,False,45.882999999999996,"LINESTRING (100.9157347 5.6741149, 100.9157753 5.674069, 100.9158109 5.6739263, 100.9158559 5.6737268)",,,
214791984,False,,,Jalan Syed Sheh,secondary,True,135.661,"LINESTRING (100.9157284 5.6755523, 100.916351 5.6754832, 100.9167407 5.67544, 100.9169469 5.6754172)",,,
654261151,False,,K10,,primary,False,34.288,"LINESTRING (100.9157284 5.6755523, 100.9157444 5.6756997, 100.9157641 5.6758586)",,,
654261151,False,,K10,,primary,True,160.57999999999998,"LINESTRING (100.9157284 5.6755523, 100.9157216 5.6754522, 100.9156908 5.6752647, 100.9156841 5.6751633, 100.9156774 5.6750352, 100.9156735 5.6749192, 100.9156707 5.6748176, 100.9156747 5.674761, 100.9156828 5.6745454, 100.9156928 5.674426, 100.915716 5.6742434, 100.9157218 5.6741981, 100.9157347 5.6741149)",,,
654261151,False,,K10,,primary,False,6.547,"LINESTRING (100.9159593 5.6768158, 100.9159711 5.6768735)",,,
654261151,False,,K10,,primary,True,2.961,"LINESTRING (100.9159593 5.6768158, 100.915954 5.6767897)",,,
215985148,False,,,Jalan Kelab,unclassified,True,111.08699999999999,"LINESTRING (100.9159593 5.6768158, 100.9153148 5.6768598, 100.9149577 5.6768842)",,,
215985532,False,,,,residential,False,220.19899999999998,"LINESTRING (100.9209809 5.6707759, 100.9210244 5.6707139, 100.9210793 5.6706605, 100.9211853 5.6705618, 100.9212538 5.6704866, 100.9213717 5.6703416, 100.9215072 5.6701321, 100.9215353 5.670072, 100.9215447 5.6700227, 100.921542 5.669984, 100.921526 5.6699553, 100.921424 5.6698612, 100.9213127 5.6697638, 100.9212162 5.6696957, 100.921078 5.6695996, 100.921011 5.6695662, 100.9209238 5.6695355, 100.9208433 5.6695155, 100.9207065 5.6694928)",,,
518822701,False,,,Jalan Bukit Caruk Nau,tertiary,False,113.22800000000001,"LINESTRING (100.9209809 5.6707759, 100.9208782 5.6708381, 100.9207953 5.6709032, 100.9206891 5.6709982, 100.9204812 5.6711791, 100.9202062 5.6714379)",,,
215985501,False,,,,residential,True,69.867,"LINESTRING (100.9196444 5.6719951, 100.9194057 5.6719043, 100.9192863 5.6718456, 100.9192099 5.6718003, 100.9191524 5.6717553, 100.9190892 5.6717055)",,,
518822701,False,,,Jalan Bukit Caruk Nau,tertiary,False,89.596,"LINESTRING (100.9196444 5.6719951, 100.9196189 5.6720925, 100.9196061 5.6721888, 100.9196036 5.6722213, 100.9195907 5.6723901, 100.9195827 5.6725116, 100.9195974 5.6727144, 100.9196095 5.6727945)",,,
518822701,False,,,Jalan Bukit Caruk Nau,tertiary,True,88.351,"LINESTRING (100.9196444 5.6719951, 100.9196846 5.6719217, 100.9197557 5.6718336, 100.9198536 5.6717469, 100.9199971 5.6716241, 100.9200959 5.6715371, 100.9202062 5.6714379)",,,
761427757,False,,,,residential,True,118.92499999999998,"LINESTRING (100.9196444 5.6719951, 100.9198388 5.6720618, 100.9199703 5.6721092, 100.9200923 5.6721499, 100.9201909 5.6721919, 100.920262 5.6722206, 100.920331 5.6722527, 100.9203739 5.672286, 100.9204095 5.6723267, 100.9204517 5.6723908, 100.9204765 5.6724508, 100.9204866 5.6724922, 100.9204894 5.6725387)",,,
214792139,False,,,,residential,True,60.519999999999996,"LINESTRING (100.9204894 5.6725387, 100.9204732 5.672665, 100.9204598 5.6727491, 100.9204538 5.672862, 100.9204859 5.6730784)",,,
